Badlapur,,,,,,,,19:12,,,,,,,
Ambernath,,,,19:12,,,,19:19,,,,,,,
Ulhas nagar,,,,19:17,,,,19:23,,,,,,,
Vithalwadi,,,,19:20,,,,19:26,,,,,,,
Kalyan,18:54,,18:58,19:25,19:02,19:29,,19:32,19:08,19:12,,19:17,,19:47,19:26
Thakurli,19:00,,19:04,…,19:08,…,,…,19:15,19:19,,19:22,,…,19:32
Dombivli,19:03,,19:07,19:32,19:11,19:36,,19:39,19:18,19:22,,19:25,19:28,19:54,19:35
Kopar,19:06,,19:10,…,19:15,…,,…,19:22,19:26,,19:29,19:33,…,19:38
Diwa,19:11,,19:15,19:37,19:20,…,,…,19:27,19:31,,19:34,19:38,…,19:43
Mumbra,19:15,,19:19,…,19:24,…,,…,19:31,19:35,,19:38,19:42,…,19:47
Kalva,19:21,,19:25,…,19:30,…,,…,19:37,19:41,,19:44,19:48,…,19:53
Thane,19:26,19:29,19:30,19:48,19:35,19:51,19:38,19:54,19:42,19:46,19:49,19:49,19:53,20:09,19:58
Mulund,19:31,19:36,,19:52,19:40,...,19:44,...,19:47,19:51,19:55,,19:58,20:13,20:03
Nahur,19:34,19:39,,...,19:43,...,19:47,...,19:50,19:54,19:58,,20:01,...,20:06
Bhandup,19:37,19:42,,...,19:46,19:59,19:50,...,19:53,19:57,20:01,,20:04,...,20:09
Kanjur marg,19:40,19:45,,...,19:49,...,19:53,...,19:56,20:00,20:04,,20:07,...,20:12
Vikhroli,19:43,19:48,,20:00,19:52,...,19:56,20:07,19:59,20:03,20:07,,20:10,...,20:15
Ghatkopar,19:47,19:52,,...,19:56,20:07,20:00,20:11,20:03,20:07,20:11,,20:14,20:25,20:19
Vidyavihar,19:50,19:55,,...,19:59,...,20:03,...,20:06,20:10,20:14,,20:17,...,20:22
Kurla,19:53,19:58,,20:08,20:02,20:11,20:06,20:15,20:09,20:13,20:17,,20:20,20:29,20:25
Sion,19:57,20:02,,...,20:06,...,20:10,...,20:13,20:17,20:21,,20:24,...,20:29
Matunga,20:00,20:05,,...,20:09,...,20:13,...,20:16,20:20,20:24,,20:27,...,20:32
Dadar,20:04,20:09,,20:16,20:13,20:19,20:17,20:23,20:20,20:24,20:28,,20:31,20:37,20:36
Parel,20:07,20:12,,,20:16,…,20:20,…,20:23,20:27,20:31,,20:34,…,20:39
Currey road,20:11,20:15,,,20:19,…,20:23,…,,20:30,20:34,,20:37,…,20:42
Chinchpokli,20:15,20:18,,,20:21,…,20:26,,,20:32,20:36,,20:39,…,20:44
Byculla,20:17,20:20,,,20:23,20:26,20:28,20:32,,20:35,20:39,,20:42,20:43,20:46
Sandhurst road,20:20,20:23,,,20:26,…,20:31,…,,20:38,20:42,,20:45,…,20:49
Masjid,20:23,20:26,,,20:29,…,20:34,…,,20:41,20:45,,20:48,…,20:52
CSMT,20:26,20:30,,,20:34,20:35,20:38,20:41,,20:44,20:48,,20:52,20:55,20:56
