,,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,95133,96217,97415,95517,97163,96641,97417,96331,97165,97259,97167,95915,96643,97419,96219,96333,97635,97169,95011,95421,95333,97261,97421,96519,97171,97423
,S 37,BL 49,T 115,AN 27,K 121,TL 53,T 117,A 51,PK 31,DL 45,K 123,DT 3,TL 55,T 119,TBL 9,A 53,C 35,PK 33,KP 11,N 31,A 55,DL 47,T 121,AN 29,K 125,T 123
,,,,,AC,,,,,,,,,,,,,,,,,,,,,
,,,,,,,X,,,X,,,,X,,,,,,,,X,,,X,
Dolavli,,,,,,,,,,,,,,,,,,,22:56,,,,,,,
Lowjee,,,,,,,,,,,,,,,,,,,23:00,,,,,,,
Khopoli,,,,,,,,,,,,,,,,,,,23:06,,,,,,,
Shahad,,,,21:21,,21:37,,,,,,,22:06,,,,,,,21:57,,,,22:29,,
Ambivli,,,,21:24,,21:40,,,,,,,22:09,,,,,,,22:00,,,,22:32,,
Titwala,,,,21:30,,21:48,,,,,,,22:17,,,,,,,22:06,,,,22:38,,
Khadavli,,,,21:37,,,,,,,,,,,,,,,,22:13,,,,22:45,,
Vasind,,,,21:44,,,,,,,,,,,,,,,,22:20,,,,22:52,,
Asangaon,,,,21:52,,,,,,,,,,,,,,,,22:26,,,,23:00,,
Atgaon,,,,,,,,,,,,,,,,,,,,22:35,,,,,,
Thansit,,,,,,,,,,,,,,,,,,,,22:40,,,,,,
Khardi,,,,,,,,,,,,,,,,,,,,22:45,,,,,,
Umbermalli,,,,,,,,,,,,,,,,,,,,22:51,,,,,,
Kasara,,,,,,,,,,,,,,,,,,,,23:04,,,,,,
