Bhivpuri road,,,,20:47,,,,,,21:19,,,,
Neral,,,,20:54,,,,,,21:26,,,,
Shelu,,,,20:58,,,,,,21:30,,,,
Vangani,,,,21:02,,,,,,21:34,,,,
Badlapur,,,,21:10,,,,21:06,21:37,21:42,,,,
Ambernath,,,,21:18,,,,21:14,21:45,21:49,,,,21:35
Ulhas nagar,,,,21:23,,,,21:19,21:49,21:53,,,,21:40
Vithalwadi,,,,21:26,,,,21:22,21:52,21:56,,,,21:43
Kalyan,21:04,,21:26,21:33,21:16,21:19,,21:27,21:57,22:02,21:36,21:40,,21:48
Thakurli,21:10,,,,21:21,21:25,,21:34,…,…,21:42,21:46,,21:54
Dombivli,21:13,,21:34,21:40,21:24,21:28,,21:37,22:03,22:08,21:45,21:49,,21:57
Kopar,21:16,,…,…,21:27,21:31,,21:40,…,…,21:48,21:52,,22:00
Diwa,21:21,,…,…,21:32,21:36,,21:45,…,…,21:53,21:57,,22:05
Mumbra,21:25,,…,…,21:36,21:40,,21:49,…,…,21:57,22:01,,22:09
Kalva,21:31,,…,…,21:42,21:46,,21:55,…,…,22:03,22:07,,22:15
Thane,21:36,21:39,21:50,21:55,21:47,21:51,,22:00,22:19,22:24,22:08,22:12,22:15,22:20
Mulund,21:41,21:45,21:54,21:59,21:52,21:56,,22:05,22:23,22:28,22:13,22:17,22:21,22:24
Nahur,21:44,21:48,...,...,21:55,21:59,,22:08,...,...,22:16,22:20,22:24,22:27
Bhandup,21:47,21:51,...,...,21:58,22:02,,22:11,...,...,22:19,22:23,22:27,22:30
Kanjur marg,21:50,21:54,...,...,22:01,22:05,,22:14,...,...,22:22,22:26,22:30,22:33
Vikhroli,21:53,21:57,...,...,22:04,22:08,,22:17,...,...,22:25,22:29,22:33,22:36
Ghatkopar,21:57,22:01,22:06,22:09,22:08,22:12,,22:21,22:32,22:37,22:29,22:33,22:37,22:40
Vidyavihar,22:00,22:04,...,...,22:11,22:15,,22:24,...,...,22:32,22:36,22:40,22:43
Kurla,22:03,22:07,22:10,22:13,22:14,22:18,22:22,22:27,22:36,22:41,22:35,22:39,22:43,22:46
Sion,,22:11,...,...,22:18,22:22,22:26,22:31,...,...,22:39,22:43,22:47,22:50
Matunga,,22:14,...,...,22:21,22:25,22:29,22:34,...,...,22:42,22:46,22:50,22:53
Dadar,,22:18,22:18,22:22,22:25,22:29,22:33,22:38,22:44,22:49,22:46,22:50,22:54,22:57
Parel,,22:21,…,…,22:28,22:32,22:36,22:41,…,…,22:49,22:53,22:57,23:00
Currey road,,,…,…,22:31,,22:39,22:44,…,…,22:52,22:56,,23:03
Chinchpokli,,,…,,22:33,,22:41,22:46,,…,22:54,22:58,,23:05
Byculla,,,22:24,22:28,22:35,,22:43,22:48,22:52,22:55,22:56,23:00,,23:08
Sandhurst road,,,…,…,22:38,,22:46,22:51,…,…,22:59,23:03,,23:11
Masjid,,,…,…,22:41,,22:49,22:54,…,…,23:02,23:06,,23:14
CSMT,,,22:35,22:41,22:45,,22:53,22:57,23:01,23:04,23:05,23:09,,23:18
