Khadavli,,,,,,,,,,,,,,,
Titwala,,,,,,,,,17:36,,,,,,
Ambivli,,,,,,,,,17:42,,,,,,
Shahad,,,,,,,,,17:46,,,,,,
Khopoli,,,,,,,,16:30,,,,,,,
Lowjee,,,,,,,,16:34,,,,,,,
Dolavli,,,,,,,,16:38,,,,,,,
Kelavli,,,,,,,,16:41,,,,,,,
Palasdhari,,,,,,,,16:48,,,,,,,
Karjat,,,,,,,,16:57,,,,,,,
Bhivpuri road,,,,,,,,17:06,,,,,,,
Neral,,,,,,,,17:13,,,,,,,
Shelu,,,,,,,,17:17,,,,,,,
Vangani,,,,,,,,17:21,,,,,,,
Badlapur,17:16,,,,,,,17:29,,,,,,,
Ambernath,17:24,,,,17:32,,,17:36,,,,,,17:49,
Ulhas nagar,17:28,,,,17:37,,,17:41,,,,,,17:55,
Vithalwadi,17:31,,,,17:40,,,17:44,,,,,,17:58,
Kalyan,17:36,,17:39,17:13,17:45,,,17:50,17:53,17:27,,,17:37,18:05,
Thakurli,,,,17:19,,,,,,17:34,,,17:44,,
Dombivli,17:42,,17:47,17:22,17:51,,17:32,17:56,17:59,17:37,,,17:47,18:12,
Kopar,…,,…,17:25,…,,17:36,…,…,17:40,,,17:50,…,
Diwa,…,,…,17:30,…,,17:41,…,…,17:45,,,17:55,…,
Mumbra,…,,…,17:34,…,,17:45,…,…,17:49,,,17:59,…,
Kalva,…,,…,17:40,…,,17:51,…,…,17:55,,,18:05,…,
Thane,17:57,17:41,18:02,17:45,18:06,17:52,17:56,18:11,18:14,18:00,,18:07,18:11,18:27,18:16
Mulund,18:01,17:47,18:06,17:51,18:10,17:58,18:02,...,...,18:06,,18:13,18:17,18:31,18:22
Nahur,...,17:50,...,17:54,...,18:01,18:05,...,...,18:09,,18:16,18:20,...,18:25
Bhandup,...,17:53,...,17:57,...,18:04,18:08,...,...,18:12,,18:19,18:23,...,18:28
Kanjur marg,...,17:56,...,18:00,...,18:07,18:11,...,...,18:15,,18:22,18:26,...,18:31
Vikhroli,...,17:59,...,18:03,...,18:10,18:14,...,...,18:18,,18:25,18:29,18:38,18:34
Ghatkopar,18:13,18:03,18:17,18:07,18:21,18:14,18:18,18:25,18:28,18:22,,18:29,18:33,...,18:38
Vidyavihar,...,18:06,...,18:10,...,18:17,18:21,...,...,18:25,,18:32,18:36,...,18:41
Kurla,18:17,18:10,18:21,18:14,18:25,18:20,18:24,18:29,18:32,18:29,18:32,18:36,18:40,18:45,18:44
Sion,...,18:14,...,18:18,...,18:24,18:28,...,...,18:33,18:36,18:40,18:44,...,18:48
Matunga,...,18:17,...,18:21,...,18:27,18:31,...,...,18:36,18:39,18:43,18:47,...,18:51
Dadar,18:24,18:21,18:28,18:25,18:32,18:31,18:35,18:36,18:39,18:40,18:43,18:47,18:51,18:53,18:55
Parel,…,18:24,…,18:28,…,18:34,18:38,…,…,18:43,18:46,18:50,18:54,…,18:58
Currey road,…,18:27,…,18:31,…,18:37,,…,…,18:46,18:49,18:53,18:57,…,19:01
Chinchpokli,…,18:29,…,18:33,…,18:39,,…,…,18:48,18:51,18:55,18:59,…,19:03
Byculla,18:30,18:31,18:34,18:35,18:38,18:41,,18:42,18:45,18:50,18:53,18:57,19:01,18:59,19:05
Sandhurst road,…,18:34,…,18:38,…,18:44,,…,…,18:53,18:56,19:00,19:04,…,19:08
Masjid,…,18:37,…,18:41,…,18:47,,…,…,18:56,18:59,19:03,19:07,…,19:11
CSMT,18:38,18:40,18:42,18:45,18:46,18:50,,18:51,18:54,18:59,19:02,19:06,19:10,19:11,19:14
