Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,,,,,,,,09:45,,,,,,,
Bhivpuri road,,,,,,,,09:54,,,,,,,
Neral,,,,,,,,10:01,,,,,,,
Shelu,,,,,,,,10:05,,,,,,,
Vangani,,,,,,,,10:09,,,,,,,
Badlapur,,,,,,,,10:18,,,,,,,
Ambernath,,,,,10:15,,,10:25,,,,,,,
Ulhas nagar,,,,,10:20,,,10:29,,,,,,,
Vithalwadi,,,,,10:23,,,10:32,,,,,,,
Kalyan,09:50,09:55,,,10:28,10:09,,10:39,10:15,,10:25,,10:36,10:40,10:43
Thakurli,09:56,10:00,,,…,10:15,,…,10:21,,10:31,,10:41,10:45,10:49
Dombivli,09:59,10:03,,,10:34,10:18,,10:46,10:24,,10:34,10:40,10:44,10:48,10:52
Kopar,10:03,10:07,,,…,10:21,,…,10:27,,10:37,10:44,10:47,10:51,10:55
Diwa,10:08,10:12,,,…,10:26,,10:51,10:32,,10:42,10:49,10:52,10:56,11:00
Mumbra,10:12,10:16,,,…,10:30,,…,10:36,,10:46,10:53,10:56,11:00,11:04
Kalva,10:18,10:22,,,…,10:36,,…,10:42,,10:52,10:59,11:02,11:06,11:10
Thane,10:23,10:27,10:46,10:33,10:50,10:41,10:44,11:03,10:48,10:52,10:58,11:04,11:07,11:11,11:15
Mulund,10:28,10:32,10:52,10:39,...,10:46,10:50,11:07,10:53,10:58,11:02,11:08,11:11,11:15,11:19
Nahur,10:31,10:35,...,10:42,...,10:49,10:53,...,10:56,11:01,11:05,11:11,11:14,11:18,11:22
Bhandup,10:34,10:38,...,10:45,...,10:52,10:56,...,10:59,11:04,11:08,11:14,11:17,11:21,11:25
Kanjur marg,10:37,10:41,...,10:48,...,10:55,10:59,...,11:02,11:07,11:11,11:17,11:20,11:24,11:28
Vikhroli,10:40,10:44,...,10:51,...,10:58,11:02,...,11:05,11:10,11:14,11:20,11:23,11:27,11:31
Ghatkopar,10:44,10:48,11:03,10:55,11:06,11:02,11:06,11:17,11:09,11:14,11:18,11:24,11:27,11:31,11:35
Vidyavihar,10:47,10:51,...,10:58,...,11:05,11:09,...,11:12,11:17,11:21,11:27,11:30,11:34,11:38
Kurla,10:50,10:54,11:07,11:01,11:10,11:08,11:12,11:21,11:15,11:20,11:24,11:30,11:33,11:37,11:41
Sion,10:54,10:58,...,11:05,...,11:12,11:16,...,11:19,11:24,11:28,11:34,11:37,11:41,
Matunga,10:57,11:01,...,11:08,...,11:15,11:19,...,11:22,11:27,11:31,11:37,11:40,11:44,
Dadar,11:01,11:05,11:14,11:12,11:18,11:19,11:23,11:29,11:26,11:31,11:35,11:41,11:44,11:48,
Parel,11:04,11:08,…,11:15,…,11:22,11:26,…,11:29,11:34,11:38,11:44,11:47,11:51,
Currey road,11:07,11:11,…,11:18,…,,11:29,…,11:32,11:37,11:41,11:47,11:50,11:54,
Chinchpokli,11:09,11:13,…,11:20,…,,11:31,…,11:34,11:39,11:43,11:49,11:52,11:56,
Byculla,11:11,11:15,11:20,11:22,11:24,,11:33,11:35,11:36,11:41,11:45,11:51,11:54,11:58,
Sandhurst road,11:14,11:18,…,11:25,…,,11:36,…,11:39,11:44,11:48,11:54,11:57,12:01,
Masjid,11:17,11:21,…,11:28,…,,11:39,…,11:42,11:47,11:51,11:57,12:00,12:04,
CSMT,11:20,11:24,11:29,11:31,11:33,,11:42,11:44,11:45,11:50,11:54,12:00,12:03,12:07,
