,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,99030,98734,98338,98080,98834,98340,99032,98736,98082,91392,98084,98086,98342,98088,98836,98090,98738,98344,98092
,TPL 30,GN 34,BR 36,PL 62,B 34,BR 38,TPL 32,GN 36,PL 64,WGN 2,PLVD 20,PL 66,BR 40,PLVD 22,B 36,PL 68,GN 38,BR 42,PL 70
,,,X,,,X,,,,X,X,,,,,,,X,
Panvel,10:41,,,10:49,,,11:02,,11:06,,11:10,11:16,,11:28,,11:32,,,11:43
Khandeshwar,10:46,,,10:54,,,11:07,,11:11,,11:15,11:21,,11:33,,11:37,,,11:48
Mansarovar,10:49,,,10:57,,,11:10,,11:14,,11:18,11:24,,11:36,,11:40,,,11:51
Kharghar,10:52,,,11:00,,,11:13,,11:17,,11:21,11:27,,11:39,,11:43,,,11:54
Belapur CBD,10:56,,10:59,11:04,,11:13,11:17,,11:21,,11:25,11:31,11:39,11:43,,11:47,,11:54,11:58
Seawood Darave,11:00,,11:04,11:08,,11:17,11:21,,11:25,,11:29,11:35,11:43,11:47,,11:51,,11:58,12:02
Nerul,11:04,,11:07,11:11,,11:20,11:25,,11:28,,11:32,11:38,11:46,11:50,,11:54,,12:01,12:05
Juinagar,,,11:10,11:14,,11:23,,,11:31,,11:35,11:41,11:49,11:53,,11:57,,12:04,12:08
Sanpada,,,11:13,11:17,,11:26,,,11:34,,11:38,11:44,11:52,11:56,,12:00,,12:07,12:11
Vashi,,,11:15,11:19,,11:28,,,11:36,,11:40,11:46,11:54,11:58,,12:02,,12:09,12:13
Mankhurd,,,11:23,11:27,,11:36,,,11:44,,11:48,11:54,12:02,12:06,,12:10,,12:17,12:21
Govandi,,,11:26,11:30,,11:39,,,11:47,,11:51,11:57,12:05,12:09,,12:13,,12:20,12:24
Chembur,,,11:28,11:32,,11:41,,,11:49,,11:53,11:59,12:07,12:11,,12:15,,12:22,12:26
Tilaknagar,,,11:31,11:35,,11:44,,,11:52,,11:56,12:02,12:10,12:14,,12:18,,12:25,12:29
Kurla,,,11:34,11:38,,11:47,,,11:55,,11:59,12:05,12:13,12:17,,12:21,,12:28,12:32
Chunabhatti,,,11:37,11:41,,11:50,,,11:58,,12:02,12:08,12:16,12:20,,12:24,,12:31,12:35
GTB Nagar,,,11:40,11:44,,11:53,,,12:01,,12:05,12:11,12:19,12:23,,12:27,,12:34,12:38
Goregaon,,11:00,,,,,,11:23,,11:34,,,,,,,11:54,,
