Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,,,,19:43,,
Bhivpuri road,,,,,,,,,,,,,19:52,,
Neral,,,,,,,,,,,,,19:59,,
Shelu,,,,,,,,,,,,,20:03,,
Vangani,,,,,,,,,,,,,20:07,,
Badlapur,19:34,,,,,,,,,20:03,,,20:15,,
Ambernath,19:42,,,,,,19:37,20:05,,20:11,,,20:22,,
Ulhas nagar,19:46,,,,,,19:42,20:10,,20:15,,,20:26,,
Vithalwadi,19:49,,,,,,19:45,20:13,,20:18,,,20:29,,
Kalyan,19:55,,19:38,,19:45,19:48,19:51,20:19,19:56,20:23,20:03,20:10,20:35,,20:41
Thakurli,…,,19:44,,19:51,19:54,19:58,,20:03,,20:10,20:17,,,…
Dombivli,20:02,,19:47,19:50,19:54,19:57,20:01,20:25,20:07,20:29,20:14,20:20,20:42,20:23,20:48
Kopar,…,,19:50,19:54,19:57,20:01,20:05,…,20:10,…,20:17,20:23,…,20:27,…
Diwa,…,,19:55,19:59,20:02,20:06,20:10,…,20:15,…,20:22,20:28,…,20:32,…
Mumbra,…,,19:59,20:03,20:06,20:10,20:14,…,20:19,…,20:26,20:32,…,20:36,…
Kalva,…,,20:05,20:09,20:12,20:16,20:20,…,20:25,…,20:32,20:38,…,20:42,…
Thane,20:17,20:01,20:10,20:14,20:17,20:21,20:26,20:40,20:30,20:44,20:37,20:43,20:57,20:47,21:04
Mulund,...,20:07,20:14,20:19,20:22,,20:31,...,20:35,20:48,20:42,20:49,...,20:53,…
Nahur,...,20:10,20:17,20:22,20:25,,20:34,...,20:38,...,20:45,20:52,...,20:56,...
Bhandup,...,20:13,20:20,20:25,20:29,,20:37,20:51,20:41,...,20:48,20:55,...,20:59,...
Kanjur marg,...,20:16,20:23,20:28,20:32,,20:40,...,20:44,...,20:51,20:58,...,21:02,...
Vikhroli,...,20:19,20:26,20:31,20:35,,20:43,...,20:47,...,20:54,21:01,...,21:05,...
Ghatkopar,20:32,20:23,20:30,20:35,20:39,,20:47,20:57,20:51,21:00,20:58,21:05,21:12,21:09,21:17
Vidyavihar,...,20:26,20:33,20:38,20:42,,20:50,...,20:54,...,21:01,21:08,...,21:12,...
Kurla,20:36,20:29,20:36,20:41,20:45,,20:53,21:01,20:57,21:04,21:04,21:11,21:16,21:15,21:22
Sion,...,20:33,20:40,20:45,20:49,,20:57,...,21:01,...,21:08,21:15,...,21:19,...
Matunga,...,20:36,20:43,20:48,20:52,,21:00,...,21:04,...,21:11,21:18,...,21:22,...
Dadar,20:44,20:40,20:47,20:52,20:56,,21:04,21:09,21:08,21:13,21:15,21:22,21:24,21:26,21:30
Parel,…,20:43,20:50,20:55,20:59,,21:07,…,21:11,…,21:18,21:25,…,21:29,
Currey road,…,20:46,,20:58,21:02,,21:10,…,21:14,…,21:21,,…,21:32,
Chinchpokli,…,20:48,,21:00,21:04,,21:12,…,21:16,,21:23,,,21:34,
Byculla,20:50,20:50,,21:03,21:06,,21:14,21:17,21:18,21:21,21:25,,21:30,21:36,
Sandhurst road,…,20:53,,21:06,21:09,,21:17,…,21:21,…,21:28,,…,21:39,
Masjid,…,20:56,,21:09,21:12,,21:20,…,21:24,…,21:31,,…,21:42,
CSMT,20:59,20:59,,21:12,21:16,,21:24,21:27,21:28,21:32,21:35,,21:39,21:45,
