,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97405,95913,97153,97255,96113,96015,97407,95243,97155,95419,97157,97409,95245,95329,95739,95621,97159,97257,96329,96215,97161,95331,97411,97413,95623
,T 107,T 109,K 111,DL 43,TS 9,SKP 15,PT 7,BL 43,K 113,N 29,K 115,T 111,BL 45,DA 5,K 117,TL 49,CK 29,PDL13,TA 3,BL 47,K 119,A 49,PT 9,T 113,TL 51
,,,,,,,,,,,,,,AC,15 C,,,,,,,,,,
,,X,,X,,,,,,,,,,X,X,,,,,,,,X,X,
CSMT,18:58,19:00,19:03,19:07,,,,19:14,19:14,19:18,19:18,19:22,19:23,,19:29,19:30,,,,19:34,19:38,19:42,,19:45,19:46
Masjid,19:01,…,19:06,19:10,,,,…,19:17,…,19:21,19:25,…,,…,…,,,,19:37,19:41,…,,19:48,…
Sandhurst Road,19:03,…,19:08,19:12,,,,…,19:19,…,19:23,19:27,…,,…,…,,,,19:39,19:43,…,,19:50,…
Byculla,19:06,…,19:11,19:15,,,,19:21,19:22,19:25,19:26,19:30,19:30,,19:38,19:40,,,,19:43,19:46,19:49,,19:53,19:53
Chinchpokli,19:08,…,19:13,19:17,,,,…,19:24,…,19:28,19:32,…,,…,,,,,19:45,19:48,…,,19:55,…
Currey Road,19:10,…,19:15,19:19,,,,…,19:26,…,19:30,19:34,…,,…,…,,,,19:47,19:50,…,,19:57,…
Parel,19:13,…,19:18,19:22,,,19:25,…,19:29,…,19:33,19:37,…,,…,…,,19:47,,19:50,19:53,…,19:56,20:00,…
Dadar,19:17,19:16,19:21,19:25,,,19:28,19:28,19:32,19:31,19:36,19:40,19:36,19:39,19:44,19:47,,19:49,,19:53,19:56,19:56,19:59,20:03,19:59
Matunga,19:20,…,19:24,19:28,,,19:31,…,19:35,…,19:39,19:43,…,,…,…,,19:51,,19:56,20:00,…,20:03,20:06,…
Sion,19:23,…,19:27,19:31,,,19:34,…,19:38,…,19:42,19:46,…,…,…,…,,19:54,,19:59,20:03,…,20:06,20:09,…
Kurla,19:27,…,19:31,19:35,,,19:38,19:35,19:42,19:38,19:46,19:50,19:43,19:46,19:51,19:54,19:54,19:57,,20:03,20:07,20:04,20:10,20:13,20:07
Vidyavihar,19:30,…,19:34,19:38,,,19:41,…,19:45,…,19:49,19:53,…,…,…,…,19:58,20:01,,20:06,20:10,…,20:13,20:16,…
Ghatkopar,19:33,,19:37,19:41,,,19:44,19:39,19:48,19:42,19:52,19:56,19:47,19:50,19:55,…,20:01,20:04,,20:09,20:13,20:08,20:16,20:19,20:11
Vikhroli,19:37,19:30,19:41,19:45,,,19:48,…,19:52,…,19:56,20:00,…,…,…,20:01,20:05,20:08,,20:13,20:17,…,20:20,20:23,…
Kanjur Marg,19:40,…,19:44,19:48,,,19:51,…,19:55,…,19:59,20:03,…,…,…,…,20:08,20:11,,20:16,20:20,…,20:23,20:26,…
Bhandup,19:43,19:35,19:47,19:51,,,19:54,…,19:58,…,20:02,20:06,…,19:57,…,…,20:11,20:14,,20:19,20:23,20:16,20:26,20:29,…
Nahur,19:46,…,19:50,19:54,,,19:57,…,20:01,…,20:05,20:09,…,…,…,…,20:14,20:17,,20:22,20:26,…,20:29,20:32,…
Mulund,19:49,19:40,19:53,19:57,,,20:00,19:50,20:04,19:54,20:08,20:12,…,…,20:05,20:08,20:17,20:20,,20:25,20:29,…,20:32,20:35,…
Thane,19:54,19:44,19:58,20:02,20:05,,20:06,19:54,20:09,19:58,20:13,20:17,20:02,20:05,20:09,20:12,20:22,20:25,20:28,20:31,20:34,20:24,20:37,20:40,20:27
Kalva,,,20:04,20:08,20:11,,,…,20:15,…,20:19,,…,…,…,…,20:27,20:30,20:34,20:37,20:40,…,,,…
Mumbra,,,20:10,20:14,20:17,,,…,20:21,…,20:25,,…,…,…,…,20:33,20:36,20:40,20:43,20:46,…,,,…
Diva,,,20:14,20:18,20:21,,,…,20:25,…,20:29,,…,…,…,…,20:37,20:40,20:44,20:47,20:50,20:35,,,…
Kopar,,,20:19,20:23,20:26,,,…,20:31,…,20:35,,…,…,…,…,20:42,20:45,20:49,20:52,20:55,…,,,…
