,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98314,98810,98901,98018,98316,98714,99010,98020,98812,98522,98022,98716,98524,99012,98814,98024,98026,98318,98718
,BR 12,B 10,PLGN 1,PL 18,BR 14,GN 14,TPL 10,PL 20,B 12,VVD 6,PL 22,GN 16,V 18,TPL 12,B 14,PLVD 2,PL 24,BR 16,GN 18
,,,,,,,,X,,X,,,,,,,,X,
Panvel,,,05:57,06:02,,,06:13,06:17,,,06:29,,,06:37,,06:41,06:45,,
Khandeshwar,,,06:02,06:07,,,06:18,06:22,,,06:34,,,06:42,,06:46,06:50,,
Mansarovar,,,06:05,06:10,,,06:21,06:25,,,06:37,,,06:45,,06:49,06:53,,
Kharghar,,,06:08,06:13,,,06:24,06:28,,,06:40,,,06:48,,06:52,06:56,,
Belapur CBD,06:08,,06:12,06:17,06:22,,06:28,06:32,,,06:44,,,06:52,,06:56,07:00,07:04,
Seawood Darave,06:12,,06:16,06:21,06:26,,06:32,06:36,,,06:48,,,06:56,,07:00,07:04,07:08,
Nerul,06:15,,06:19,06:24,06:29,,06:36,06:39,,,06:51,,,07:00,,07:03,07:07,07:11,
Juinagar,06:18,,06:22,06:27,06:32,,,06:42,,,06:54,,,,,07:06,07:10,07:14,
Sanpada,06:21,,06:25,06:30,06:35,,,06:45,,,06:57,,,,,07:09,07:13,07:17,
Vashi,06:23,,06:27,06:32,06:37,,,06:47,,06:55,06:59,,07:07,,,07:11,07:15,07:19,
Mankhurd,06:31,,06:35,06:40,06:45,,,06:55,,07:03,07:07,,07:15,,,07:19,07:23,07:27,
Govandi,06:34,,06:38,06:43,06:48,,,06:58,,07:06,07:10,,07:18,,,07:22,07:26,07:30,
Chembur,06:36,,06:40,06:45,06:50,,,07:00,,07:08,07:12,,07:20,,,07:24,07:28,07:32,
Tilaknagar,06:39,,06:43,06:48,06:53,,,07:03,,07:11,07:15,,07:23,,,07:27,07:31,07:35,
Kurla,06:42,,06:46,06:51,06:56,,,07:06,,07:14,07:18,,07:26,,,07:30,07:34,07:38,
Chunabhatti,06:45,,06:49,06:54,06:59,,,07:09,,07:17,07:21,,07:29,,,07:33,07:37,07:41,
GTB Nagar,06:48,,06:52,06:57,07:02,,,07:12,,07:20,07:24,,07:32,,,07:36,07:40,07:44,
Goregaon,,,,,,06:35,,,,,,06:57,,,,,,,07:17
