,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98906,98323,98081,98827,98083,99019,98517,98085,98729,98087,98325,98519,98089,98829,98327,98091,98521,98731,99021,98093
,GNPL 6,BR 17,PL 67,B 27,PL 69,TPL 19,V 15,PL 71,GN 29,PLVD 15,BR 19,V 17,PL 73,B 29,BRVD 7,PL 75,V 19,GN 31,TPL 21,PL 77
,,X,,,,X,,,,X,,X,,,X,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,,09:59,10:03,10:06,10:10,TNA,10:14,10:18,10:22,,10:26,10:30,10:34,10:38,,10:41,10:45,10:48,TNA,10:52
Masjid,,10:02,10:06,10:09,10:13,10:39,10:17,10:21,10:25,,10:29,10:33,10:37,10:41,,10:44,10:48,10:51,11:14,10:55
Sandhurst Road,,10:05,10:09,10:12,10:16,,10:20,10:24,10:28,,10:32,10:36,10:40,10:44,,10:47,10:51,10:54,,10:58
Dockyard Road,,10:07,10:11,10:14,10:18,,10:22,10:26,10:30,,10:34,10:38,10:42,10:46,,10:49,10:53,10:56,,11:00
Reay Road,,10:09,10:13,10:16,10:20,,10:24,10:28,10:32,,10:36,10:40,10:44,10:48,,10:51,10:55,10:58,,11:02
Cotton Green,,10:11,10:15,10:18,10:22,,10:26,10:30,10:34,,10:38,10:42,10:46,10:50,,10:53,10:57,11:00,,11:04
Sewri,,10:14,10:18,10:21,10:25,,10:29,10:33,10:37,,10:41,10:45,10:49,10:53,,10:56,11:00,11:03,,11:07
Vadala Road,10:14,10:18,10:22,10:25,10:28,,10:32,10:36,10:40,10:40,10:44,10:48,10:52,10:56,10:56,10:59,11:03,11:06,,11:10
King's Circle,,,,10:30,,,,,10:44,,,,,11:00,,,,11:10,,
Mahim Jn,,,,10:33,,,,,10:47,,,,,11:03,,,,11:13,,
Bandra,,,,10:37,,,,,10:51,,,,,11:07,,,,11:16,,
Khar Road,,,,,,,,,10:55,,,,,,,,,11:20,,
Santacruz,,,,,,,,,10:58,,,,,,,,,11:23,,
Vileparle,,,,,,,,,11:01,,,,,,,,,11:26,,
Andheri,,,,,,,,,11:05,,,,,,,,,11:30,,
Jogeshwari,,,,,,,,,11:09,,,,,,,,,11:34,,
Ramnagar,,,,,,,,,11:12,,,,,,,,,11:37,,
Goregaon,,,,,,,,,11:16,,,,,,,,,11:41,,
GTB Nagar,10:19,10:23,10:27,,10:33,,10:37,10:41,,10:45,10:49,10:53,10:57,,11:01,11:05,11:09,,,11:15
