,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,99036,98108,91394,98110,98112,98352,98846,98114,98116,98746,98118,98354,98848,98120,99038,98542,98122,98124,98748
,TPL 36,PL 82,WGN 4,PL 84,PL 86,BRVD 4,B 46,PL 88,PL 90,GN 46,PL 92,BR 50,B 48,PL 94,TPL 38,V 36,PL 96,PLVD 28,GN 48
,,,X,,X,,,X,,,X,,,,,,,,
Panvel,13:04,13:09,,13:19,13:23,,,13:33,13:37,,13:45,,,13:57,14:01,,14:05,14:09,
Khandeshwar,13:09,13:14,,13:24,13:28,,,13:38,13:42,,13:50,,,14:02,14:06,,14:10,14:14,
Mansarovar,13:12,13:17,,13:27,13:31,,,13:41,13:45,,13:53,,,14:05,14:09,,14:13,14:17,
Kharghar,13:15,13:20,,13:30,13:34,,,13:44,13:48,,13:56,,,14:08,14:12,,14:16,14:20,
Belapur CBD,13:19,13:24,,13:34,13:38,13:41,,13:48,13:52,,14:00,14:04,,14:12,14:16,,14:20,14:24,
Seawood Darave,13:23,13:28,,13:38,13:42,13:46,,13:52,13:56,,14:04,14:08,,14:16,14:20,,14:24,14:28,
Nerul,13:27,13:31,,13:41,13:45,13:49,,13:55,13:59,,14:07,14:11,,14:19,14:24,,14:27,14:31,
Juinagar,,13:34,,13:44,13:48,13:52,,13:58,14:02,,14:10,14:14,,14:22,,,14:30,14:34,
Sanpada,,13:37,,13:47,13:51,13:55,,14:01,14:05,,14:13,14:17,,14:25,,,14:33,14:37,
Vashi,,13:39,,13:49,13:53,13:57,,14:03,14:07,,14:15,14:19,,14:27,,14:31,14:35,14:39,
Mankhurd,,13:47,,13:57,14:01,14:05,,14:11,14:15,,14:23,14:27,,14:35,,14:39,14:43,14:47,
Govandi,,13:50,,14:00,14:04,14:08,,14:14,14:18,,14:26,14:30,,14:38,,14:42,14:46,14:50,
Chembur,,13:52,,14:02,14:06,14:10,,14:16,14:20,,14:28,14:32,,14:40,,14:44,14:48,14:52,
Tilaknagar,,13:55,,14:05,14:09,14:13,,14:19,14:23,,14:31,14:35,,14:43,,14:47,14:51,14:55,
Kurla,,13:58,,14:08,14:12,14:16,,14:22,14:26,,14:34,14:38,,14:46,,14:50,14:54,14:58,
Chunabhatti,,14:01,,14:11,14:15,14:19,,14:25,14:29,,14:37,14:41,,14:49,,14:53,14:57,15:01,
GTB Nagar,,14:04,,14:14,14:18,14:22,,14:28,14:32,,14:40,14:44,,14:52,,14:56,15:00,15:04,
Goregaon,,,13:38,,,,,,,14:05,,,,,,,,,14:33
