,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,96221,97263,97173,96645,95135,97175,96223,96411,97637,96335,95741,96225,97177,97179,97181,97639,95013,96647,95743,97183,97425,97185,97427,97187,95247
,BL 51,DL 49,K 127,TL 57,S 39,PK 35,BL 53,N 33,C 37,A 57,K 129,BL 55,PK 37,K 131,CK 31,C 39,KP 13,TL 59,DK 9,K 133,T 125,K 135,T 127,K 137,BL 57
,,,AC,,,AC,,,,,AC,,,,,,,,15 C,,,,AC,,
,,,X,,,X,,,X,,X,,,,,X,,,X,,,X,X,,
CSMT,21:08,21:12,21:16,21:20,21:26,,21:28,21:32,21:36,21:40,21:42,21:44,,21:52,,21:56,21:58,22:00,,22:04,22:08,22:16,22:20,22:24,22:25
Masjid,21:11,21:15,21:19,21:23,…,,21:31,21:35,21:39,21:43,…,21:47,,21:55,,21:59,…,22:03,,22:07,22:11,22:19,22:23,22:27,…
Sandhurst Road,21:13,21:17,21:21,21:25,…,,21:33,21:37,21:41,21:45,…,21:49,,21:57,,22:01,…,22:05,,22:09,22:13,22:21,22:25,22:29,…
Byculla,21:16,21:20,21:24,21:28,21:33,,21:36,21:40,21:44,21:48,21:49,21:52,,22:00,,22:04,22:07,22:08,,22:12,22:16,22:24,22:28,22:32,22:32
Chinchpokli,21:18,21:22,21:26,21:30,…,,21:38,21:42,21:46,21:50,…,21:54,,22:02,,22:06,…,22:10,,22:14,22:18,22:26,22:30,22:34,…
Currey Road,21:20,21:24,21:28,21:32,…,,21:40,21:44,21:48,21:52,…,21:56,,22:04,,22:08,…,22:12,,22:16,22:20,22:28,22:32,22:36,…
Parel,21:23,21:27,21:31,21:35,…,21:39,21:43,21:47,21:51,21:55,…,21:59,22:03,22:07,,22:11,…,22:15,,22:19,22:23,22:31,22:35,22:39,…
Dadar,21:26,21:30,21:34,21:38,21:40,21:42,21:46,21:50,21:54,21:58,21:55,22:02,22:06,22:10,,22:14,22:15,22:18,22:18,22:22,22:26,22:34,22:38,22:42,22:38
Matunga,21:29,21:33,21:37,21:41,…,21:45,21:49,21:53,21:57,22:01,…,22:05,22:09,22:13,,22:17,…,22:21,…,22:25,22:29,22:37,22:42,22:46,…
Sion,21:32,21:36,21:40,21:44,…,21:48,21:52,21:56,22:00,22:04,…,22:08,22:12,22:16,,22:20,…,22:24,…,22:28,22:32,22:40,22:45,22:49,…
Kurla,21:36,21:40,21:44,21:48,21:47,21:52,21:56,22:00,22:04,22:08,22:03,22:12,22:16,22:20,22:23,22:25,22:22,22:28,22:26,22:32,22:36,22:44,22:49,22:53,22:45
Vidyavihar,21:39,21:43,21:47,21:51,…,21:55,21:59,22:03,,22:11,,22:15,22:19,22:23,22:27,,…,22:31,…,22:35,22:39,22:47,22:52,22:56,…
Ghatkopar,21:42,21:46,21:50,21:54,21:51,21:58,22:02,22:06,,22:14,22:10,22:18,22:22,22:26,22:30,,22:26,22:34,22:30,22:38,22:42,22:50,22:55,22:59,22:49
Vikhroli,21:46,21:50,21:54,21:58,…,22:02,22:06,22:10,,22:18,22:14,22:22,22:26,22:30,22:34,,…,22:38,…,22:42,22:46,22:54,22:59,23:03,…
Kanjur Marg,21:49,21:53,21:57,22:01,…,22:05,22:09,22:13,,22:21,22:17,22:25,22:29,22:33,22:37,,…,22:41,…,22:45,22:49,22:57,23:02,23:06,…
Bhandup,21:52,21:56,22:00,22:04,…,22:08,22:12,22:16,,22:24,22:20,22:28,22:32,22:36,22:40,,22:34,22:44,…,22:48,22:52,23:00,23:05,23:09,…
Nahur,21:55,21:59,22:03,22:07,…,22:11,22:15,22:19,,22:27,22:23,22:31,22:35,22:39,22:43,,…,22:47,…,22:51,22:55,23:03,23:08,23:12,…
Mulund,21:58,22:02,22:06,22:10,22:03,22:14,22:18,22:22,,22:30,22:26,22:34,22:38,22:42,22:46,,…,22:50,22:42,22:54,22:58,23:06,23:11,23:15,23:01
