Umbermali,,,
Khardi,,,
Thansit,,,
Atgaon,,,
Asangaon,8:30,,
Vasind,8:39,,
Khadavli,8:46,,
Titwala,8:53,8:33,9:04
Ambivli,8:59,8:40,9:10
Shahad,9:02,8:44,9:13
Khopoli,,,
