,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98141,98143,98747,99035,98145,98343,98849,98147,98149,98345,98151,98749,98153,98155,99037,98851,98531,98157,98159,98751
,PL 117,PL 119,GN 47,TPL 35,PL 121,BR 31,B 49,PLVD 25 PL 123,,BR 33,PL 125,GN 49,PL 127,PL 129,TPL 37,B 51,VVD 3,PL 131,PL 133,GN 51
,,X,,,,X,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,14:44,14:48,14:52,TNA,14:56,15:00,15:04,,15:08,15:12,15:16,15:20,15:24,15:28,TNA,15:32,,15:36,15:44,15:48
Masjid,14:47,14:51,14:55,15:20,14:59,15:03,15:07,,15:11,15:15,15:19,15:23,15:27,15:31,16:00,15:35,,15:39,15:47,15:51
Sandhurst Road,14:50,14:54,14:58,,15:02,15:06,15:10,,15:14,15:18,15:22,15:26,15:30,15:34,,15:38,,15:42,15:50,15:54
Dockyard Road,14:52,14:56,15:00,,15:04,15:08,15:12,,15:16,15:20,15:24,15:28,15:32,15:36,,15:40,,15:44,15:52,15:56
Reay Road,14:54,14:58,15:02,,15:06,15:10,15:14,,15:18,15:22,15:26,15:30,15:34,15:38,,15:42,,15:46,15:54,15:58
Cotton Green,14:56,15:00,15:04,,15:08,15:12,15:16,,15:20,15:24,15:28,15:32,15:36,15:40,,15:44,,15:48,15:56,16:00
Sewri,14:59,15:03,15:07,,15:11,15:15,15:19,,15:23,15:27,15:31,15:35,15:39,15:43,,15:47,,15:51,15:59,16:03
Vadala Road,15:02,15:06,15:10,,15:14,15:18,15:22,15:22,15:26,15:30,15:34,15:38,15:42,15:46,,15:50,15:50,15:54,16:02,16:06
King's Circle,,,15:14,,,,15:26,,,,,15:42,,,,15:54,,,,16:10
Mahim Jn,,,15:17,,,,15:29,,,,,15:45,,,,15:57,,,,16:13
Bandra,,,15:21,,,,15:33,,,,,15:49,,,,16:01,,,,16:17
Khar Road,,,15:25,,,,,,,,,15:53,,,,,,,,16:21
Santacruz,,,15:28,,,,,,,,,15:56,,,,,,,,16:24
Vileparle,,,15:31,,,,,,,,,15:59,,,,,,,,16:27
Andheri,,,15:35,,,,,,,,,16:03,,,,,,,,16:31
Jogeshwari,,,15:39,,,,,,,,,16:07,,,,,,,,16:35
Ramnagar,,,15:42,,,,,,,,,16:10,,,,,,,,16:38
Goregaon,,,15:46,,,,,,,,,16:14,,,,,,,,16:42
GTB Nagar,15:07,15:11,,,15:19,15:23,,15:27,15:31,15:35,15:39,,15:47,15:51,,,15:55,15:59,16:07,
