,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97145,97251,95129,96013,97631,95327,97147,97399,97149,95417,95515,96327,95733,97401,95617,97253,95241,97403,95735,97633,95131,95619,95737,96213,97151
,K 105,DL 39,S 33,SKP 13,C 31,A 45,TK 11,T 101,PK 27,N 27,AN 25,A 47,K 107,T 103,TL 45,DL 41,BL 41,T 105,K 109,C 33,S 35,TL 47,DK 7,TBL 7,PK 29
,,AC,,,,,,,AC,,,,AC,,,,,,,,,,,,
,,X,,,X,,,X,X,,,,X,X,,,,X,,X,,,,,X
CSMT,18:14,18:18,18:21,,18:22,18:25,,18:26,,18:28,18:32,18:33,18:36,18:37,18:39,18:41,18:42,18:45,18:50,18:49,18:53,18:57,,,
Masjid,18:17,18:21,…,,18:25,…,,18:29,,…,…,18:36,…,18:40,…,18:44,…,18:48,…,18:52,…,…,,,
Sandhurst Road,18:19,18:23,…,,18:27,…,,18:31,,…,…,18:38,…,18:42,…,18:46,…,18:50,…,18:54,…,…,,,
Byculla,18:22,18:26,18:29,,18:30,18:33,,18:34,,18:36,18:40,18:41,18:43,18:45,18:46,18:49,18:49,18:53,18:58,18:57,19:01,19:04,,,
Chinchpokli,18:24,18:28,…,,18:32,…,,18:36,,…,…,18:43,…,18:47,…,18:51,…,18:55,…,18:59,…,…,,,
Currey Road,18:26,18:30,…,,18:34,…,,18:38,,…,…,18:45,…,18:49,…,18:53,…,18:57,…,19:01,…,…,,,
Parel,18:29,18:33,…,,18:37,…,,18:41,18:45,…,…,18:48,…,18:52,…,18:56,…,19:00,…,19:04,…,…,,,19:10
Dadar,18:32,18:36,18:36,,18:40,18:40,,18:44,18:48,18:43,18:46,18:51,18:49,18:55,18:52,18:59,18:55,19:03,19:04,19:07,19:07,19:10,19:13,,19:14
Matunga,18:35,18:39,…,,18:43,…,,18:47,18:51,…,…,18:54,…,18:58,…,19:02,…,19:06,…,19:10,…,…,…,,19:17
Sion,18:38,18:42,…,,18:46,…,,18:50,18:54,…,…,18:57,…,19:01,…,19:05,…,19:09,…,19:13,…,…,…,,19:20
Kurla,18:42,18:46,18:43,,18:50,18:47,,18:54,18:58,18:50,18:53,19:01,18:56,19:05,18:59,19:09,19:02,19:13,19:11,19:17,19:14,19:17,19:20,,19:24
Vidyavihar,18:45,18:49,…,,,…,,18:57,19:01,…,…,19:04,…,19:08,…,19:12,…,19:16,…,,…,…,…,,19:27
Ghatkopar,18:48,18:52,18:47,,,18:51,,19:00,19:04,18:54,…,19:07,19:00,19:11,19:03,19:15,19:06,19:19,19:15,,19:18,…,19:24,,19:30
Vikhroli,18:52,18:56,…,,,…,,19:04,19:08,…,19:01,19:11,,19:15,…,19:19,…,19:23,…,,…,19:24,…,,19:34
Kanjur Marg,18:55,18:59,…,,,…,,19:07,19:11,…,…,19:14,…,19:18,…,19:22,…,19:26,…,,…,…,…,,19:37
Bhandup,18:58,19:02,…,,,…,,19:10,19:14,…,…,19:17,19:07,19:21,19:11,19:25,…,19:29,19:23,,…,…,…,,19:40
Nahur,19:01,19:05,…,,,…,,19:13,19:17,…,…,19:20,…,19:24,…,19:28,…,19:32,…,,…,…,…,,19:43
Mulund,19:04,19:08,…,,,19:02,,19:17,19:20,19:05,,19:24,,19:27,…,19:31,19:18,19:35,…,,…,19:32,19:35,,19:46
Thane,19:09,19:13,18:59,,,19:06,19:20,19:23,19:25,19:09,19:15,19:29,19:18,19:33,19:21,19:36,19:24,19:42,19:33,,19:36,19:39,19:42,19:45,19:51
Kalva,19:14,19:18,…,,,…,19:25,,19:30,…,…,19:34,…,,…,19:42,19:29,,19:39,,…,…,19:47,19:51,19:57
Mumbra,19:20,19:24,…,,,…,19:31,,19:36,…,…,19:40,…,,…,19:48,…,,19:45,,…,19:47,19:53,19:57,20:03
Diva,19:24,19:28,19:10,,,…,19:35,,19:40,…,…,19:44,…,,19:32,19:52,…,,19:49,,…,…,19:57,20:01,20:07
Kopar,19:29,19:33,…,,,…,19:40,,19:45,…,…,19:49,…,,…,19:57,…,,19:54,,…,…,20:02,20:06,20:12
Dombivli,19:32,19:37,19:16,,,19:21,19:43,,19:48,19:24,19:31,19:52,19:34,,19:38,20:01,19:41,,19:58,,19:52,19:56,20:06,20:10,20:16
Thakurli,19:36,,…,,,…,19:47,,19:52,…,…,19:56,…,,…,,…,,20:02,,…,…,20:10,20:14,20:20
Kalyan,19:42,,19:23,,,19:29,19:53,,19:58,19:34,19:39,20:03,19:41,,19:46,,19:49,,20:08,,20:00,20:04,20:16,20:20,20:26
Vithalwadi,,,19:27,,,19:34,,,,,,20:08,,,,,19:53,,,,20:04,,,20:25,
Ulhas Nagar,,,19:30,,,19:37,,,,,,20:11,,,,,19:56,,,,20:07,,,20:28,
Ambernath,,,19:34,,,19:42,,,,,,20:18,,,,,20:00,,,,20:12,,,20:32,
Badlapur,,,19:41,,,,,,,,,,,,,,20:08,,,,20:19,,,20:41,
Vangani,,,19:49,,,,,,,,,,,,,,,,,,20:27,,,,
Shelu,,,19:53,,,,,,,,,,,,,,,,,,20:31,,,,
Neral,,,19:57,,,,,,,,,,,,,,,,,,20:35,,,,
Bhivpuri Road,,,20:04,,,,,,,,,,,,,,,,,,20:42,,,,
Karjat,,,20:13,20:36,,,,,,,,,,,,,,,,,20:52,,,,
Palasdhari,,,,20:41,,,,,,,,,,,,,,,,,,,,,
Kelavli,,,,20:48,,,,,,,,,,,,,,,,,,,,,
Dolavli,,,,20:51,,,,,,,,,,,,,,,,,,,,,
Lowjee,,,,20:55,,,,,,,,,,,,,,,,,,,,,
Khopoli,,,,21:01,,,,,,,,,,,,,,,,,,,,,
Shahad,,,,,,,,,,19:39,19:44,,,,19:50,,,,,,,20:08,,,
Ambivli,,,,,,,,,,19:42,19:47,,,,19:53,,,,,,,20:11,,,
Titwala,,,,,,,,,,19:48,19:53,,,,20:01,,,,,,,20:20,,,
Khadavli,,,,,,,,,,19:55,20:00,,,,,,,,,,,,,,
Vasind,,,,,,,,,,20:02,20:07,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,20:08,20:17,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,20:17,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,20:22,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,20:27,,,,,,,,,,,,,,,
Umbermalli,,,,,,,,,,20:33,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,20:46,,,,,,,,,,,,,,,
