Neral,,,08:08,,,,,,,,,,,
Shelu,,,08:12,,,,,,,,,,,
Vangani,,,08:16,,,,,,,,,,,
Badlapur,,,08:25,,,,,,,,,,,08:45
Ambernath,,,08:32,,,,,,,,,08:49,,08:54
Ulhas nagar,,,08:36,,,,,,,,,08:54,,08:58
Vithalwadi,,,08:39,,,,,,,,,08:57,,09:01
Kalyan,,08:20,08:46,,08:25,08:54,,08:46,,08:36,,09:02,,09:06
Thakurli,,08:27,…,,08:31,…,,08:52,,08:42,,…,,…
Dombivli,,08:30,08:52,,08:34,08:59,,08:55,08:41,08:45,,09:08,,09:13
Kopar,,08:33,…,,08:37,…,,08:58,08:45,08:48,,…,,…
Diwa,,08:38,…,,08:42,…,,09:03,08:50,08:53,,09:13,,09:18
Mumbra,,08:42,…,,08:46,…,,09:07,08:54,08:57,,…,,…
Kalva,,08:48,…,,08:52,…,,09:13,09:00,09:03,,…,,…
Thane,09:03,08:53,09:07,,08:57,09:16,09:00,09:19,09:05,09:08,09:08,09:25,,09:29
Mulund,09:09,08:57,...,,09:02,09:20,09:06,09:23,09:11,,09:14,...,,...
Nahur,...,09:00,...,,09:05,...,09:09,...,09:14,,09:17,...,,...
Bhandup,...,09:03,...,,09:08,...,09:12,...,09:17,,09:20,09:34,,...
Kanjur marg,...,09:06,...,,09:11,...,09:15,...,09:20,,09:23,...,,...
Vikhroli,...,09:09,...,,09:14,...,09:18,09:32,09:23,,09:26,...,,...
Ghatkopar,09:20,09:13,09:23,09:16,09:19,09:32,09:23,09:36,09:27,,09:30,09:42,,09:46
Vidyavihar,...,09:16,...,09:20,09:23,...,09:26,...,09:30,,09:33,...,,...
Kurla,09:24,09:19,09:27,09:23,09:26,09:36,09:29,09:40,09:33,,09:36,09:46,09:39,09:50
Sion,...,09:23,...,09:27,09:30,...,09:33,...,09:37,,09:40,...,09:44,...
Matunga,...,09:26,...,09:30,09:33,...,09:36,...,09:40,,09:43,...,09:47,...
Dadar,09:32,09:30,09:35,09:34,09:37,09:44,09:40,09:48,09:44,,09:47,09:55,09:51,09:59
Parel,…,09:33,…,09:37,09:40,…,09:43,…,09:47,,09:50,…,09:54,…
Currey road,…,09:36,…,09:40,,…,09:46,…,09:50,,09:53,…,09:57,…
Chinchpokli,…,09:38,…,09:42,,…,09:48,…,09:52,,09:55,…,09:59,…
Byculla,09:38,09:40,09:41,09:44,,09:50,09:50,09:54,09:54,,09:57,10:01,10:01,10:05
Sandhurst road,…,09:43,…,09:47,,…,09:53,…,09:57,,10:00,…,10:04,…
Masjid,…,09:46,…,09:50,,…,09:56,…,10:00,,10:03,…,10:07,…
CSMT,09:47,09:49,09:51,09:53,,09:59,09:59,10:03,10:03,,10:06,10:10,10:10,10:13
