Khadavli,,,,,22:10,,,,,,,,,,
Titwala,,,,,22:17,,,22:06,,,,,,,22:25
Ambivli,,,,,22:23,,,22:12,,,,,,,22:31
Shahad,,,,,22:26,,,22:16,,,,,,,22:35
Khopoli,,,,,,,,,,,,21:09,,,
Lowjee,,,,,,,,,,,,21:13,,,
Dolavli,,,,,,,,,,,,21:17,,,
Kelavli,,,,,,,,,,,,21:20,,,
Palasdhari,,,,,,,,,,,,21:27,,,
Karjat,,,,,,,,,,22:03,,21:34,21:43,,
Bhivpuri road,,,,,,,,,,22:12,,,21:52,,
Neral,,,,,,,,,,22:19,,,21:59,,
Shelu,,,,,,,,,,22:23,,,22:03,,
Vangani,,,,,,,,,,22:27,,,22:07,,
Badlapur,,21:58,,,,,,,,22:35,,,22:15,,
Ambernath,,22:05,,,,,22:01,,,22:42,22:15,,22:22,,
Ulhas nagar,,22:10,,,,,22:06,,,22:46,22:20,,22:26,,
Vithalwadi,,22:13,,,,,22:09,,,22:49,22:23,,22:29,,
Kalyan,,22:21,21:59,22:06,22:33,,22:14,22:22,22:26,22:54,22:29,,22:34,,22:42
Thakurli,,…,22:06,22:12,…,,22:20,22:28,22:32,…,22:36,,22:41,,22:50
Dombivli,22:00,22:28,22:10,22:15,22:41,22:18,22:23,22:31,22:35,23:00,22:39,,22:44,22:48,22:53
Kopar,22:04,…,22:13,22:18,…,22:22,22:26,22:34,22:39,…,22:43,,22:47,22:52,22:56
Diwa,22:09,…,22:18,22:23,…,22:27,22:31,22:39,22:44,23:05,22:48,,22:52,22:57,23:01
Mumbra,22:13,…,22:22,22:27,…,22:31,22:35,22:43,22:48,…,22:52,,22:56,23:01,23:05
Kalva,22:19,…,22:28,22:33,…,22:37,22:41,22:49,22:54,…,22:58,,23:02,23:07,23:11
Thane,22:24,22:44,22:33,22:38,22:58,22:42,22:46,22:54,22:59,23:15,23:03,,23:07,23:12,23:16
Mulund,22:29,22:48,22:37,22:43,23:02,22:47,22:51,22:59,23:04,…,23:08,,23:12,23:16,
Nahur,22:32,...,22:40,22:46,...,22:50,22:54,23:02,23:07,...,23:11,,23:15,23:19,
Bhandup,22:35,...,22:43,22:49,...,22:53,22:57,23:05,23:10,...,23:14,,23:18,23:22,
Kanjur marg,22:38,...,22:46,22:52,...,22:56,23:00,23:08,23:13,...,23:17,,23:21,23:25,
Vikhroli,22:41,...,22:49,22:55,...,22:59,23:03,23:11,23:16,...,23:20,,23:24,23:28,
Ghatkopar,22:45,22:58,22:53,22:59,23:12,23:03,23:07,23:15,23:20,23:29,23:25,,23:29,23:32,
Vidyavihar,22:48,...,22:56,23:02,...,23:06,23:10,23:18,23:23,...,23:28,,23:32,23:35,
Kurla,22:51,23:02,22:59,23:05,23:16,23:09,23:13,23:21,23:26,23:33,23:31,,23:35,23:38,
Sion,22:55,...,23:03,23:09,...,23:13,23:17,23:25,23:30,...,23:35,,23:39,23:42,
Matunga,22:58,...,23:06,23:12,...,23:16,23:20,23:28,23:33,...,23:39,,23:43,23:46,
Dadar,23:02,23:10,23:10,23:16,23:24,23:20,23:24,23:32,23:37,23:43,23:42,,23:46,23:49,
Parel,23:05,…,23:13,23:19,…,23:23,23:27,23:35,23:40,…,23:45,,23:49,23:52,
Currey road,23:08,…,23:16,23:22,…,23:26,23:30,23:38,23:43,…,23:48,,23:52,,
Chinchpokli,23:10,,23:18,23:24,…,23:28,23:32,23:40,23:45,…,23:50,,23:54,,
Byculla,23:12,23:17,23:20,23:27,23:30,23:31,23:35,23:43,23:48,23:50,23:52,,23:56,,
Sandhurst road,23:15,…,23:23,23:30,…,23:34,23:38,23:46,23:51,…,23:55,,23:59,,
Masjid,23:18,…,23:26,23:33,…,23:37,23:41,23:49,23:54,…,23:58,,00:02,,
CSMT,23:22,23:27,23:30,23:36,23:38,23:40,23:44,23:53,23:58,23:59,00:02,,00:06,,
