,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97627,97133,95613,97393,95009,97135,95803,95323,97247,97629,95513,95729,97137,97395,97139,95615,96211,97249,95239,95731,97141,97397,95325,97143,95911
,C 27,CK 25,TL 41,T 93,KP 9,K 97,DL 35,A 41,PDL11,C 29,AN 23,DK 5,CK 27,T 95,K 99,TL 43,TBL 5,DL 37,BL 39,K 101,PK 25,T 97,A 43,K 103,T 99
,,,,,,,,,,,,,,,,,,,,$,,,,L SPL,AC
,X,,,,,,,,X,,,,X,X,,,,,,,,X,,X,
CSMT,17:28,,17:29,17:32,17:33,17:36,17:37,17:41,,17:44,17:45,,,17:48,17:52,17:56,,17:57,17:59,18:03,,18:03,18:06,18:07,18:10
Masjid,17:31,,…,17:35,…,17:39,…,…,,17:47,…,,,17:51,17:55,…,,18:00,…,…,,18:06,…,18:10,…
Sandhurst Road,17:33,,…,17:37,…,17:41,…,…,,17:49,…,,,17:53,17:57,…,,18:02,…,…,,18:08,…,18:12,…
Byculla,17:36,,17:36,17:40,17:40,17:44,17:44,17:48,,17:52,17:52,,,17:56,18:00,18:03,,18:05,18:06,…,,18:11,18:13,18:15,…
Chinchpokli,17:38,,…,17:42,…,17:46,…,…,,17:54,…,,,17:58,18:02,…,,18:07,…,…,,18:13,…,18:17,
Currey Road,17:40,,…,17:44,…,17:48,…,…,,17:56,…,,,18:00,18:04,…,,18:09,…,…,,18:15,…,18:19,…
Parel,17:43,,…,17:47,…,17:51,…,…,17:55,17:59,…,,,18:03,18:07,…,,18:12,…,…,18:15,18:18,…,18:22,…
Dadar,17:46,,17:43,17:50,17:47,17:54,17:51,17:54,17:58,18:02,17:58,18:01,,18:06,18:10,18:10,,18:15,18:13,18:16,18:19,18:23,18:20,18:26,18:23
Matunga,17:49,,…,17:53,…,17:57,…,…,18:01,18:05,…,…,,18:09,18:13,…,,18:18,…,…,18:23,18:27,…,18:30,…
Sion,17:52,,…,17:56,…,18:00,…,…,18:04,18:08,…,…,,18:12,18:16,…,,18:21,…,…,18:26,18:30,…,18:33,…
Kurla,17:56,,17:50,18:00,17:54,18:04,17:58,18:01,18:08,18:12,18:05,18:08,,18:16,18:20,18:18,,18:25,18:21,18:24,18:30,18:34,18:27,18:37,18:30
Vidyavihar,,17:59,…,18:03,…,18:07,…,…,18:11,,…,…,18:15,18:19,18:23,…,,18:28,…,…,18:33,18:37,…,18:40,…
Ghatkopar,,18:02,17:54,18:06,17:58,18:10,18:02,…,18:14,,18:09,18:12,18:18,18:22,18:26,18:22,,18:31,18:25,…,18:36,18:40,18:31,18:43,…
Vikhroli,,18:06,…,18:10,…,18:14,…,18:09,18:18,,…,…,18:22,18:26,18:30,…,,18:35,…,18:32,18:40,18:44,…,18:47,…
Kanjur Marg,,18:09,…,18:13,…,18:17,…,…,18:21,,…,…,18:25,18:29,18:33,…,,18:38,…,…,18:43,18:47,…,18:50,…
Bhandup,,18:12,…,18:16,…,18:20,18:10,…,18:24,,…,…,18:28,18:32,18:36,…,,18:41,…,…,18:46,18:50,…,18:53,18:40
Nahur,,18:15,…,18:19,…,18:23,…,…,18:27,,…,…,18:31,18:35,18:39,…,,18:44,…,…,18:49,18:53,…,18:56,…
Mulund,,18:18,18:06,18:22,…,18:26,…,18:17,18:30,,…,18:24,18:34,18:38,18:42,…,,18:49,…,18:40,18:53,18:57,…,19:00,18:45
Thane,,18:23,18:10,18:28,18:13,18:31,18:19,18:22,18:35,,18:25,18:28,18:39,18:44,18:46,18:37,18:50,18:55,18:41,18:44,18:58,19:02,18:47,19:05,18:52
Kalva,,18:28,…,,…,18:36,18:24,…,18:40,,…,18:33,18:44,,18:52,…,18:55,19:00,…,18:49,19:03,,…,19:09,
Mumbra,,18:34,…,,…,18:42,18:30,…,18:46,,…,18:39,18:50,,18:58,…,19:01,19:06,…,18:55,19:09,,…,19:15,
Diva,,18:38,…,,…,18:46,18:34,…,18:50,,…,18:43,18:54,,19:02,18:47,19:05,19:10,…,18:59,19:13,,…,19:19,
Kopar,,18:43,…,,…,18:51,18:39,…,18:55,,…,18:48,18:59,,19:07,…,19:10,19:15,…,19:04,19:18,,…,19:24,
Dombivli,,18:47,18:25,,18:28,18:54,18:43,18:37,18:58,,18:40,18:51,19:02,,19:11,18:53,19:14,19:19,18:56,19:08,19:22,,19:01,19:27,
Thakurli,,18:51,…,,…,18:58,,…,,,…,18:55,19:06,,19:15,…,19:18,,…,19:12,19:26,,…,19:31,
Kalyan,,18:57,18:34,,18:38,19:04,,18:46,,,18:50,19:01,19:13,,19:21,19:02,19:26,,19:05,19:18,19:32,,19:10,19:37,
Vithalwadi,,,,,18:42,,,18:50,,,,,,,,,19:31,,19:09,,,,19:14,,
Ulhas Nagar,,,,,18:45,,,18:52,,,,,,,,,19:34,,19:12,,,,19:17,,
Ambernath,,,,,18:49,,,18:57,,,,,,,,,19:38,,19:16,,,,19:22,,
Badlapur,,,,,18:56,,,,,,,,,,,,19:47,,19:26,,,,,,
Vangani,,,,,19:04,,,,,,,,,,,,,,,,,,,,
Shelu,,,,,19:08,,,,,,,,,,,,,,,,,,,,
Neral,,,,,19:12,,,,,,,,,,,,,,,,,,,,
Bhivpuri Road,,,,,19:19,,,,,,,,,,,,,,,,,,,,
Karjat,,,,,19:28,,,,,,,,,,,,,,,,,,,,
Palasdhari,,,,,19:33,,,,,,,,,,,,,,,,,,,,
Kelavli,,,,,19:40,,,,,,,,,,,,,,,,,,,,
Dolavli,,,,,19:43,,,,,,,,,,,,,,,,,,,,
Lowjee,,,,,19:47,,,,,,,,,,,,,,,,,,,,
Khopoli,,,,,19:55,,,,,,,,,,,,,,,,,,,,
Shahad,,,18:38,,,,,,,,18:55,,,,,19:07,,,,,,,,,
