,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97065,97221,97067,95801,97355,96311,95409,97357,95223,97069,96625,96313,97223,97071,95225,96203,97073,97225,95005,97359,95717,97075,95411,97077,97227
,PK 13,DL 15,CK 15,DL 17,T 57,A 23,N 15,T 59,BL 21,K 47,TL 27,A 25,PDL 3,K 49,DBL 3,TBL 1,K 51,PDL5,KP 5,T 61,K 53,K 55,N 17,K 57,DL 19
,,,,15 C,,,,,,,,AC,,,AC,,,,,,,,,,
,,,,XX,X,,,X,,X,,X,,,,,,,,X,,,,X,
CSMT,,11:30,,11:37,11:36,11:40,11:42,11:45,11:50,11:50,11:54,11:58,,12:07,,,12:15,,12:20,12:24,12:25,12:27,12:30,12:32,12:38
Masjid,,11:33,,…,11:39,11:43,…,11:48,…,11:53,11:57,12:01,,12:10,,,12:18,,…,12:27,…,12:30,…,12:35,12:41
Sandhurst Road,,11:35,,…,11:41,11:45,,11:50,…,11:55,11:59,12:03,,12:12,,,12:20,,…,12:29,…,12:32,…,12:37,12:43
Byculla,,11:38,,11:44,11:44,11:48,11:49,11:53,11:57,11:58,12:02,12:06,,12:15,,,12:23,,12:27,12:32,12:32,12:35,12:37,12:40,12:46
Chinchpokli,,11:40,,…,11:46,11:50,…,11:55,…,12:00,12:04,12:08,,12:17,,,12:25,,…,12:34,…,12:37,…,12:42,12:48
Currey Road,,11:42,,…,11:48,11:52,…,11:57,…,12:02,12:06,12:10,,12:19,,,12:27,,…,12:36,…,12:39,…,12:44,12:50
Parel,11:42,11:45,,…,11:51,11:55,…,12:00,…,12:05,12:09,12:13,12:17,12:22,,,12:30,12:34,…,12:39,…,12:42,…,12:47,12:53
Dadar,11:45,11:48,,11:51,11:54,11:58,11:55,12:03,12:03,12:08,12:12,12:16,12:20,12:25,12:30,,12:33,12:37,12:33,12:42,12:38,12:45,12:43,12:50,12:56
Matunga,11:48,11:51,,…,11:57,12:01,…,12:06,…,12:11,12:15,12:19,12:24,12:28,…,,12:36,12:41,…,12:45,…,12:48,…,12:53,12:59
Sion,11:51,11:54,,…,12:00,12:04,…,12:09,…,12:14,12:18,12:22,12:27,12:31,…,,12:39,12:44,…,12:48,…,12:51,…,12:56,13:02
Kurla,11:55,11:58,12:01,11:58,12:04,12:08,12:02,12:13,12:10,12:18,12:22,12:26,12:31,12:35,12:38,,12:43,12:48,12:41,12:52,12:46,12:55,12:50,13:00,13:06
Vidyavihar,11:58,12:01,12:05,…,12:08,12:12,…,12:17,…,12:21,12:25,12:29,12:34,12:38,…,,12:46,12:51,…,12:55,…,12:58,…,13:03,13:09
