Bhivpuri road,,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,,
Badlapur,,,,,,,,08:10,,,,,,,,07:56
Ambernath,,,,08:10,,,,08:18,,,,,,08:27,,08:05
Ulhas nagar,,,,08:15,,,,08:22,,,,,,08:32,,08:09
Vithalwadi,,,,08:18,,,,08:25,,,,,,08:35,,08:12
Kalyan,08:14,,,08:23,07:57,08:14,08:01,08:30,,08:33,08:09,08:36,,08:40,,08:17
Thakurli,…,,,…,08:03,08:20,08:07,…,,,08:15,…,,…,,08:23
Dombivli,08:20,08:14,,08:29,08:06,08:23,08:10,08:36,,08:39,08:18,08:42,,08:46,,08:26
Kopar,…,08:18,,…,08:09,08:26,08:13,…,,…,08:21,…,,…,,08:29
Diwa,,08:23,,…,08:14,08:31,08:18,…,,…,08:26,08:46,,…,,08:34
Mumbra,…,08:27,,…,08:18,08:35,08:22,…,,…,08:30,…,,…,,08:38
Kalva,…,08:33,,…,08:24,08:41,08:28,…,,…,08:36,…,,08:56,,08:44
Thane,08:36,08:39,08:25,08:44,08:29,08:47,08:33,08:51,08:36,08:54,08:42,08:58,,09:01,08:47,08:49
Mulund,08:40,...,08:30,08:48,08:34,...,08:38,08:55,08:41,08:58,08:47,09:02,,...,08:53,
Nahur,...,...,08:33,...,08:37,...,08:41,...,08:44,...,08:50,...,,...,08:56,
Bhandup,,08:47,08:36,...,08:40,08:56,08:44,...,08:47,...,08:53,...,,09:09,08:59,
Kanjur marg,...,...,08:39,...,08:43,...,08:47,...,08:50,...,08:56,...,,...,09:02,
Vikhroli,...,...,08:42,08:56,08:46,...,08:50,09:03,08:53,...,08:59,09:10,,...,09:05,
Ghatkopar,08:52,08:55,08:46,...,08:50,09:04,08:54,09:07,08:57,09:11,09:02,...,,09:17,09:09,
Vidyavihar,...,...,08:49,...,08:53,...,08:57,...,09:00,...,09:05,...,,...,09:12,
Kurla,08:56,08:59,08:52,09:04,08:56,09:08,09:00,09:11,09:03,09:15,09:08,09:18,09:11,09:21,09:15,
Sion,...,...,08:56,...,09:00,...,09:04,...,09:07,...,09:12,...,09:15,...,09:19,
Matunga,...,...,08:59,...,09:03,...,09:07,...,09:10,...,09:15,...,09:18,...,09:22,
Dadar,09:04,09:07,09:03,09:12,09:07,09:16,09:11,09:19,09:14,09:23,09:19,09:26,09:22,09:29,09:26,
Parel,…,…,09:06,…,09:10,…,09:14,…,09:17,…,09:22,…,09:25,…,09:29,
Currey road,…,…,09:09,…,09:13,…,09:17,…,09:20,…,09:25,…,09:28,…,09:32,
Chinchpokli,…,…,09:12,…,09:15,…,09:19,…,09:22,…,09:27,…,09:30,…,09:34,
Byculla,09:10,09:13,09:14,09:18,09:17,09:22,09:21,09:25,09:24,09:29,09:29,09:32,09:32,09:35,09:36,
Sandhurst road,…,…,09:17,…,09:20,…,09:24,…,09:27,…,09:32,…,09:35,…,09:39,
Masjid,…,…,09:20,…,09:23,…,09:27,…,09:30,…,09:35,…,09:38,…,09:42,
CSMT,09:18,09:21,09:23,09:26,09:26,09:30,09:30,09:33,09:33,09:37,09:38,09:40,09:41,09:44,09:45,
