Lowjee,,,,,,,,,,,06:20,,,,
Dolavli,,,,,,,,,,,06:24,,,,
Kelavli,,,,,,,,,,,06:27,,,,
Palasdhari,,,,,,,,,,,06:34,,,,
Karjat,,,,,,06:33,,,,,06:42,,,,
Bhivpuri road,,,,,,06:42,,,,,06:51,,,,
Neral,,,,,,06:49,,,,,06:58,,,,
Shelu,,,,,,06:53,,,,,07:02,,,,
Vangani,,,,,,06:57,,,,,07:06,,,,
Badlapur,,,,,,07:06,,06:46,,,07:14,,,,
Ambernath,,,,,,07:13,,06:53,07:17,,07:21,,,,
Ulhas nagar,,,,,,07:17,,06:57,07:22,,07:25,,,,
Vithalwadi,,,,,,07:20,,07:00,07:25,,07:28,,,,
Kalyan,06:47,06:51,06:54,07:22,07:18,07:26,07:02,07:05,07:30,07:09,07:34,,07:15,07:37,
Thakurli,06:54,06:58,07:01,…,…,…,07:07,07:11,…,07:15,…,,07:21,…,
Dombivli,06:57,07:01,07:04,07:28,07:25,07:32,07:10,07:14,07:36,07:18,07:40,,07:24,07:44,07:29
Kopar,07:00,07:04,07:07,…,…,…,07:13,07:17,…,07:21,…,,07:27,…,07:32
Diwa,07:05,07:09,07:12,07:33,…,…,07:18,07:22,…,07:26,…,,07:32,…,07:37
Mumbra,07:09,07:13,07:16,…,…,…,07:22,07:26,…,07:30,…,,07:36,…,07:41
Kalva,07:15,07:19,07:22,…,…,…,07:28,07:32,…,07:36,…,,07:42,…,07:47
Thane,07:20,07:24,07:28,07:43,07:40,07:47,07:33,07:37,07:51,07:41,07:55,07:44,07:47,07:59,07:52
Mulund,07:25,07:29,07:33,...,07:44,07:51,07:38,07:42,...,07:46,07:59,07:49,07:53,08:03,07:57
Nahur,07:28,07:32,07:36,...,...,...,07:41,07:45,...,07:49,...,07:52,07:56,...,08:00
Bhandup,07:31,07:35,07:39,07:51,...,...,07:44,07:48,...,07:52,...,07:55,07:59,...,08:03
Kanjur marg,07:34,07:38,07:42,...,...,...,07:47,07:51,...,07:55,...,07:58,08:02,...,08:06
Vikhroli,07:37,07:41,07:45,...,...,...,07:50,07:54,08:03,07:58,...,08:01,08:05,...,08:09
Ghatkopar,07:41,07:45,07:49,07:59,07:56,08:03,07:54,07:58,...,08:02,08:11,08:05,08:09,08:15,08:13
Vidyavihar,07:44,07:48,07:52,...,...,...,07:57,08:01,...,08:05,...,08:08,08:12,...,08:16
Kurla,07:47,07:51,07:55,08:03,08:00,08:07,08:00,08:04,08:11,08:08,08:15,08:11,08:15,08:19,08:19
Sion,07:51,07:55,07:59,...,...,...,08:04,08:08,...,08:12,...,08:15,08:19,...,08:23
Matunga,07:54,07:58,08:02,...,...,...,08:07,08:11,...,08:15,...,08:18,08:22,...,08:26
Dadar,07:58,08:03,08:07,08:11,08:08,08:15,08:11,08:15,08:19,08:19,08:23,08:22,08:26,08:27,08:30
Parel,08:01,08:06,08:10,…,…,…,08:14,08:18,…,08:22,…,08:25,08:29,…,08:33
Currey road,,08:09,,…,…,…,08:17,08:21,…,,…,08:28,08:32,…,08:36
Chinchpokli,,08:11,,,…,…,08:19,08:23,…,,…,08:30,08:34,…,08:38
Byculla,,08:13,,08:17,08:14,08:21,08:21,08:25,08:25,,08:29,08:32,08:36,08:33,08:40
Sandhurst road,,08:16,,…,…,…,08:24,08:28,…,,…,08:35,08:39,…,08:43
Masjid,,08:19,,…,…,…,08:27,08:31,…,,…,08:38,08:42,…,08:46
CSMT,,08:22,,08:25,08:26,08:29,08:31,08:34,08:36,,08:40,08:41,08:45,08:47,08:49
