Lowjee,,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,,
Karjat,,,,,,07:00,,,,,,,,07:19,,
Bhivpuri road,,,,,,07:09,,,,,,,,07:28,,
Neral,,,,,,07:16,,,,,,,,07:35,,
Shelu,,,,,,07:20,,,,,,,,07:39,,
Vangani,,,,,,07:24,,,,,,,,07:43,,
Badlapur,,,,,,07:33,,,,,,,,07:51,,
Ambernath,,,,07:35,,07:40,,,,,07:51,,,07:58,,
Ulhas nagar,,,,07:40,,07:44,,,,,07:56,,,08:02,,
Vithalwadi,,,,07:43,,07:47,,,,,07:59,,,08:05,,
Kalyan,07:26,,07:21,07:49,,07:53,07:42,07:34,,,08:04,08:07,,08:10,07:47,07:50
Thakurli,07:32,,07:27,…,,…,07:48,07:40,,,…,…,,…,07:52,07:56
Dombivli,07:35,,07:32,07:55,,07:59,07:51,07:43,,07:47,08:10,08:13,,08:16,07:55,07:59
Kopar,07:39,,07:35,…,,…,07:54,07:46,,07:51,…,…,,…,07:58,08:02
Diwa,07:43,,07:40,…,,…,07:59,07:51,,07:56,…,…,,…,08:03,08:07
Mumbra,07:48,,07:44,…,,…,08:03,07:55,,08:00,…,…,,…,08:07,08:11
Kalva,07:54,,07:50,…,,…,08:09,08:01,,08:06,…,…,,…,08:13,08:17
Thane,08:02,08:05,07:55,08:10,08:01,08:14,08:16,08:06,08:20,08:11,08:26,08:29,08:14,08:32,08:18,08:22
Mulund,...,08:10,08:01,...,08:05,08:18,08:22,08:11,08:26,08:16,...,08:33,08:19,...,08:23,08:27
Nahur,...,...,08:04,...,08:08,...,...,08:14,...,08:19,...,...,08:22,...,08:26,08:30
Bhandup,08:10,...,08:07,08:18,08:11,...,...,08:17,...,08:22,08:34,,08:25,08:40,08:29,08:33
Kanjur marg,...,...,08:10,...,08:14,...,...,08:20,...,08:25,...,...,08:28,...,08:32,08:36
Vikhroli,...,08:18,08:13,...,08:17,08:26,08:30,08:23,08:34,08:28,...,...,08:31,...,08:35,08:39
Ghatkopar,08:18,...,08:17,08:26,08:21,...,...,08:27,...,08:32,08:42,08:45,08:35,08:48,08:39,08:43
Vidyavihar,...,...,08:20,...,08:24,...,...,08:30,...,08:35,...,...,08:38,...,08:42,08:46
Kurla,08:22,08:26,08:23,08:30,08:27,08:34,08:38,08:33,08:42,08:38,08:46,08:49,08:41,08:52,08:45,08:49
Sion,...,...,08:27,...,08:31,...,...,08:37,...,08:42,...,...,08:45,...,08:49,08:53
Matunga,...,...,08:30,...,08:34,...,...,08:40,...,08:45,...,...,08:48,08:57,08:52,08:56
Dadar,08:30,08:33,08:34,08:38,08:38,08:42,08:46,08:44,08:50,08:49,08:54,08:57,08:52,09:00,08:55,09:00
Parel,,…,08:37,…,08:41,…,…,08:47,…,08:52,…,…,08:55,…,08:58,09:03
Currey road,,…,08:40,…,08:44,…,…,08:50,…,08:55,…,…,08:58,…,09:01,
Chinchpokli,,…,08:42,…,08:46,…,…,08:53,…,08:58,…,…,09:01,…,09:04,
Byculla,,08:41,08:44,08:44,08:48,08:48,08:53,08:56,08:56,09:00,09:00,09:03,09:03,09:06,09:06,
Sandhurst road,,…,08:47,…,08:51,…,…,08:59,…,09:03,…,…,09:06,…,09:09,
Masjid,,…,08:50,…,08:54,…,…,09:02,…,09:06,…,…,09:09,…,09:12,
CSMT,,08:50,08:53,08:54,08:57,08:58,09:03,09:05,09:05,09:09,09:09,09:12,09:12,09:15,09:15,
