,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,95907,97613,95213,97337,95307,96619,97505,95113,96007,97615,95713,97053,95215,97339,95309,97055,95407,97341,95217,97217,95311,97057,95715,97343,97617
,T 37,C 13,BL 13,T 39,A 13,TL 17,G 5,S 17,SKP 7,C 15,K 37,K 39,BL 15,T 41,A 15,K 41,N 13,T 43,BL 17,DL 11,A 17,PK 9,DK 1,T 45,C 17
,15 C,,,,AC,,,,,,AC,,,,,,,,,AC,,,15 C,,
,X,X,,,X,,,,,,,,,,,,,X,,X,,,X,X,X
Lowjee,,,,,,,,,12:19,,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,12:25,,,,,,,,,,,,,,,,
Shahad,,,,,,11:29,,,,,,,,,,,11:26,,,,,,,,
Ambivli,,,,,,11:33,,,,,,,,,,,11:29,,,,,,,,
Titwala,,,,,,11:41,,,,,,,,,,,11:35,,,,,,,,
Khadavli,,,,,,,,,,,,,,,,,11:42,,,,,,,,
Vasind,,,,,,,,,,,,,,,,,11:49,,,,,,,,
Asangaon,,,,,,,,,,,,,,,,,11:55,,,,,,,,
Atgaon,,,,,,,,,,,,,,,,,12:04,,,,,,,,
Thansit,,,,,,,,,,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,,,12:14,,,,,,,,
Umbermalli,,,,,,,,,,,,,,,,,12:20,,,,,,,,
Kasara,,,,,,,,,,,,,,,,,12:34,,,,,,,,
