Khadavli,,,,,,,,,,,11:08,,,,
Titwala,10:45,,,,,,,,,,11:15,,,10:58,
Ambivli,10:51,,,,,,,,,,11:21,,,11:04,
Shahad,10:55,,,,,,,,,,11:24,,,11:08,
Khopoli,,,,,,,,,,,,10:00,,,
Lowjee,,,,,,,,,,,,10:04,,,
Dolavli,,,,,,,,,,,,10:08,,,
Kelavli,,,,,,,,,,,,10:11,,,
Palasdhari,,,,,,,,,,,,10:18,,,
Karjat,,,,,,,,,,,,10:25,10:43,,
Bhivpuri road,,,,,,,,,,,,,10:52,,
Neral,,,,,,,,,,,,,10:59,,
Shelu,,,,,,,,,,,,,11:03,,
Vangani,,,,,,,,,,,,,11:07,,
Badlapur,,10:42,10:26,,,,,,,,,,11:15,,
Ambernath,,10:51,10:35,,,,,,,,,,11:22,,11:03
Ulhas nagar,,10:55,10:39,,,,,,,,,,11:27,,11:08
Vithalwadi,,10:58,10:42,,,,,,,,,,11:30,,11:11
Kalyan,11:02,11:05,10:47,10:50,,,11:02,,11:22,11:10,11:31,,11:36,11:15,11:19
Thakurli,…,…,10:53,10:57,,,11:08,,…,11:16,…,,…,11:20,11:24
Dombivli,11:09,11:12,10:56,11:00,,11:06,11:11,,11:29,11:19,11:38,,11:43,11:23,11:27
Kopar,…,…,10:59,11:03,,11:10,11:14,,…,11:22,…,,…,11:26,11:30
Diwa,…,11:17,11:04,11:08,,11:15,11:19,,11:34,11:27,11:43,,…,11:31,11:35
Mumbra,…,…,11:08,11:12,,11:19,11:23,,…,11:31,…,,…,11:35,11:39
Kalva,…,…,11:14,11:18,,11:25,11:29,,…,11:37,…,,…,11:41,11:45
Thane,11:25,11:29,11:19,11:23,11:25,11:30,11:34,11:36,11:45,11:42,11:55,,11:59,11:46,11:50
Mulund,...,...,11:23,11:27,11:31,11:35,,11:42,...,11:47,11:59,,...,11:51,11:55
Nahur,...,...,11:26,11:30,11:34,11:38,,11:45,...,11:50,...,,...,11:54,11:58
Bhandup,...,...,11:29,11:33,11:37,11:41,,11:48,...,11:53,...,,...,11:57,12:01
Kanjur marg,...,...,11:32,11:36,11:40,11:44,,11:51,...,11:56,...,,...,12:00,12:04
Vikhroli,...,...,11:35,11:39,11:43,11:47,,11:54,...,11:59,...,,...,12:03,12:07
Ghatkopar,11:39,11:43,11:39,11:43,11:47,11:51,,11:58,12:01,12:03,12:12,,12:15,12:07,12:11
Vidyavihar,...,...,11:42,11:46,11:50,11:54,,12:01,...,12:06,...,,...,12:10,12:14
Kurla,11:43,11:47,11:45,11:49,11:53,11:57,,12:04,12:05,12:09,12:17,,12:20,12:13,12:17
Sion,...,...,11:49,11:53,11:57,12:01,,12:08,...,12:13,...,,...,12:17,12:21
Matunga,...,...,11:52,11:56,12:00,12:04,,12:11,...,12:16,...,,...,12:20,12:24
Dadar,11:51,11:55,11:56,12:00,12:04,12:08,,12:14,12:15,12:20,12:26,,12:29,12:24,12:28
Parel,…,…,11:59,12:03,12:07,12:11,,12:17,,12:23,…,,…,12:27,12:31
Currey road,…,…,12:02,,12:10,12:14,,12:20,,,…,,…,12:30,12:34
Chinchpokli,,…,12:04,,12:12,12:16,,12:22,,,…,,…,12:32,12:36
Byculla,11:59,12:03,12:06,,12:14,12:18,,12:24,,,12:32,,12:35,12:34,12:38
Sandhurst road,…,…,12:09,,12:17,12:21,,12:27,,,…,,…,12:37,12:41
Masjid,…,…,12:12,,12:20,12:24,,12:30,,,…,,…,12:40,12:44
CSMT,12:08,12:12,12:15,,12:23,12:27,,12:34,,,12:40,,12:44,12:44,12:48
