Tilaknagar,,12:38,,12:42,,12:49,12:53,,13:00,13:10,,13:19,,13:27,13:35,,13:42,
Kurla,,12:41,,12:45,,12:52,12:56,,13:03,13:13,,13:22,,13:30,13:38,,13:45,
Chunabhatti,,12:44,,12:48,,12:55,12:59,,13:06,13:16,,13:25,,13:33,13:41,,13:48,
GTB Nagar,,12:47,,12:51,,12:58,13:02,,13:09,13:19,,13:28,,13:36,13:44,,13:51,
Goregaon,,,12:14,,12:27,,,,,,12:53,,,,,13:15,,
Ramnagar,,,12:18,,12:31,,,,,,12:57,,,,,13:19,,
Jogeshwari,,,12:21,,12:34,,,,,,13:00,,,,,13:22,,
Andheri,,,12:25,,12:38,,,,,,13:04,,,,,13:26,,
Vileparle,,,12:30,,12:42,,,,,,13:08,,,,,13:30,,
Santacruz,,,12:33,,12:45,,,,,,13:11,,,,,13:33,,
Khar Road,,,12:36,,12:48,,,,,,13:14,,,,,13:36,,
Bandra,12:37,,12:41,,12:52,,,12:58,,,13:18,,13:24,,,13:40,,13:51
Mahim Jn,12:40,,12:45,,12:55,,,13:02,,,13:21,,13:28,,,13:43,,13:55
King's Circle,12:43,,12:48,,12:58,,,13:05,,,13:24,,13:32,,,13:46,,13:58
Vadala Road,12:49,12:53,12:55,12:57,13:04,13:04,13:08,13:12,13:16,13:25,13:30,13:34,13:38,13:42,13:50,13:51,13:57,14:04
Sewri,12:52,12:56,,13:00,13:07,,13:11,13:15,13:19,13:28,13:33,13:37,13:41,13:45,,13:54,14:00,14:07
Cotton Green,12:55,12:59,,13:03,13:10,,13:14,13:18,13:22,13:31,13:36,13:40,13:44,13:48,,13:57,14:03,14:10
Reay Road,12:57,13:01,,13:05,13:12,,13:16,13:20,13:24,13:33,13:38,13:42,13:46,13:50,,13:59,14:05,14:12
Dockyard Road,13:00,13:04,,13:08,13:15,,13:19,13:23,13:27,13:36,13:41,13:45,13:49,13:53,,14:02,14:08,14:15
Sandhurst Road,13:02,13:06,,13:10,13:17,,13:21,13:25,13:29,13:38,13:43,13:47,13:51,13:55,,14:04,14:10,14:17
Masjid,13:04,13:08,,13:12,13:19,,13:23,13:27,13:31,13:40,13:45,13:49,13:53,13:57,,14:06,14:12,14:19
Mumbai CSMT,13:07,13:11,,13:15,13:22,,13:26,13:30,13:34,13:43,13:48,13:52,13:56,14:00,,14:09,14:16,14:22
