Ghatkopar,07:13,07:26,07:19,07:30,07:34,07:30,07:42,07:46,07:50,07:46,07:58,07:51,08:02,07:54,08:06,08:10,08:16,08:07,08:20,08:19,08:24,08:28,08:32,08:28,
Vikhroli,…,07:30,…,07:34,07:38,…,07:46,07:50,07:54,…,08:02,…,08:06,…,08:10,08:14,08:20,…,08:24,…,08:28,08:32,08:36,…,
Kanjur Marg,…,07:33,…,07:37,07:41,…,07:49,07:53,07:57,…,08:05,…,08:09,…,08:13,08:17,08:23,…,08:27,…,08:31,08:35,08:39,…,
Bhandup,…,07:36,…,07:40,07:44,07:38,07:52,07:56,08:00,07:54,08:08,,08:12,…,08:16,08:20,08:26,…,08:30,…,08:34,08:38,08:42,…,
Nahur,…,07:39,…,07:43,07:47,…,07:55,07:59,08:03,…,08:11,…,08:15,…,08:19,08:23,08:29,…,08:33,…,08:37,08:41,08:45,…,
Mulund,07:24,07:42,07:30,07:46,07:50,…,07:58,08:02,08:06,…,08:14,07:59,08:18,08:06,08:22,08:26,08:32,…,08:36,08:30,08:40,08:44,08:48,…,
Thane,07:28,07:47,07:34,07:51,07:55,07:46,08:03,08:07,08:11,08:02,08:19,08:07,08:24,08:10,08:27,08:31,08:37,08:23,08:42,08:38,08:44,08:48,08:54,08:46,08:56
Kalva,…,07:52,…,07:56,,…,08:08,,08:16,…,08:24,…,,…,08:32,08:36,08:42,…,,…,08:49,08:53,,,09:01
Mumbra,…,07:58,…,08:02,,…,08:14,,08:22,…,08:30,…,,…,08:38,08:42,08:48,…,,…,08:55,08:59,,,09:07
Diva,…,08:02,07:45,08:06,,…,08:18,,08:26,…,08:34,…,,…,08:42,08:46,08:52,…,,08:49,08:59,09:03,,,09:11
Kopar,…,08:07,…,08:11,,…,08:23,,08:31,…,08:39,…,,…,08:47,08:51,08:57,…,,…,09:04,09:08,,,09:16
Dombivli,07:43,08:11,07:49,08:15,,08:01,08:27,,08:35,08:17,08:43,08:23,,08:26,08:51,08:55,09:01,08:39,,08:55,09:07,09:11,,,09:19
Thakurli,…,08:15,…,08:19,,…,08:31,,,…,08:47,…,,…,08:55,,09:05,…,,…,09:11,09:15,,,09:23
Kalyan,07:51,08:20,07:57,08:26,,08:09,08:37,,,08:25,08:53,08:32,,08:35,09:01,,09:11,08:46,,09:03,09:17,09:21,,,09:30
Vithalwadi,7:55,,,,,8:13,,,,,,,,8:39,,,,,,9:07,,,,,
Ulhas Nagar,7:58,,,,,8:16,,,,,,,,8:42,,,,,,9:10,,,,,
Ambernath,8:04,,,,,8:22,,,,,,,,8:46,,,,,,9:14,,,,,
Badlapur,8:11,,,,,8:32,,,,,,,,8:53,,,,,,9:22,,,,,
Vangani,8:19,,,,,,,,,,,,,9:01,,,,,,,,,,,
Shelu,8:23,,,,,,,,,,,,,9:05,,,,,,,,,,,
Neral,8:27,,,,,,,,,,,,,9:09,,,,,,,,,,,
Bhivpuri Road,8:33,,,,,,,,,,,,,9:16,,,,,,,,,,,
Karjat,8:44,,,,,,,,,,,,,9:26,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,9:31,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,9:38,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,9:41,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,9:45,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,9:51,,,,,,,,,,,
Shahad,,,8:02,8:30,,,,,,,,8:36,,,,,9:15,,,,,,,,9:34
Ambivli,,,8:05,8:33,,,,,,,,8:39,,,,,9:18,,,,,,,,9:37
Titwala,,,8:12,8:41,,,,,,,,8:47,,,,,9:24,,,,,,,,9:45
Khadavli,,,8:19,,,,,,,,,8:54,,,,,9:31,,,,,,,,
Vasind,,,8:26,,,,,,,,,9:01,,,,,9:38,,,,,,,,
Asangaon,,,8:36,,,,,,,,,9:09,,,,,9:46,,,,,,,,
Atgaon,,,8:45,,,,,,,,,,,,,,,,,,,,,,
Thansit,,,8:50,,,,,,,,,,,,,,,,,,,,,,
Khardi,,,8:55,,,,,,,,,,,,,,,,,,,,,,
Umbermalli,,,9:02,,,,,,,,,,,,,,,,,,,,,,
Kasara,,,9:14,,,,,,,,,,,,,,,,,,,,,,
