,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,95105,97023,95401,96613,97307,95203,97025,97309,97207,95705,97027,95501,97311,95003,97029,97209,96511,95707,97313,95205,97031,97033,97315,95901,96615
,S 9,CK 11,N 7,TL 9,T 5,BL 3,K 9,T 7,DL 3,K 11,K 13,AN 5,T 9,KP 3,K 15,DL 5,AN 7,K 17,T 11,BL 5,PK 5,K 19,T 13,T 15,TTL 3
,,,,,,,,,,15 C,,,,,,,,AC,,,,,,AC,
,,,,,X,,,,,X,,,X,,,,,,,,X,,,X,
CSMT,06:49,,06:55,06:56,07:00,07:05,07:08,07:12,07:16,07:22,07:24,07:26,07:28,07:30,07:32,07:36,07:42,07:43,07:46,07:55,,07:53,07:58,08:04,
Masjid,…,,…,06:59,07:03,…,07:11,07:15,07:19,…,07:27,…,07:31,…,07:35,07:39,07:45,…,07:49,…,,07:56,08:01,…,
Sandhurst Road,…,,…,07:01,07:05,…,07:13,07:17,07:21,…,07:29,…,07:33,…,07:37,07:41,07:47,…,07:51,…,,07:58,08:03,…,
Byculla,06:56,,07:02,07:04,07:08,07:12,07:16,07:20,07:24,07:29,07:32,07:33,07:36,07:37,07:40,07:44,07:50,07:50,07:54,08:02,,08:01,08:06,08:11,
Chinchpokli,…,,…,07:06,07:10,…,07:18,07:22,07:26,…,07:34,…,07:38,…,07:42,07:46,07:52,…,07:56,…,,08:03,08:08,…,
Currey Road,…,,…,07:08,07:12,…,07:20,07:24,07:28,…,07:36,…,07:40,…,07:44,07:48,07:54,…,07:58,…,,08:05,08:10,…,
Parel,…,,…,07:11,07:15,…,07:23,07:27,07:31,…,07:39,…,07:43,…,07:47,07:51,07:57,…,08:01,…,08:05,08:09,08:13,…,
Dadar,07:02,,07:08,07:14,07:18,07:19,07:26,07:30,07:34,07:35,07:42,07:40,07:46,07:43,07:50,07:54,08:00,07:56,08:04,08:08,08:08,08:12,08:16,08:17,
Matunga,…,,…,07:17,07:21,…,07:29,07:33,07:37,…,07:45,…,07:49,…,07:53,07:57,08:03,…,08:07,…,08:11,08:15,08:19,…,
Sion,…,,…,07:20,07:24,…,07:32,07:36,07:40,…,07:48,…,07:52,…,07:56,08:00,08:06,…,08:10,…,08:14,08:18,08:22,…,
Kurla,07:09,,07:15,07:24,07:28,07:26,07:36,07:40,07:44,07:42,07:52,07:47,07:56,07:50,08:00,08:04,08:10,08:03,08:14,08:15,08:18,08:22,08:26,08:24,
Vidyavihar,…,07:23,…,07:27,07:31,…,07:39,07:43,07:47,…,07:55,…,07:59,…,08:03,08:07,08:13,…,08:17,…,08:21,08:25,08:29,`,
