Kelavli,,,,8:12,,,
Dolavli,,,,8:15,,,
Lowjee,,,,8:19,,,
Khopoli,,,,8:25,,,
Shahad,7:00,7:26,7:36,,7:47,8:05,8:08
Ambivli,7:03,7:29,7:39,,7:50,8:08,8:11
Titwala,7:11,7:37,7:45,,7:58,8:15,8:18
Khadavli,,,7:52,,,,8:25
Vasind,,,7:59,,,,8:32
Asangaon,,,8:07,,,,8:39
Atgaon,,,,,,,
