,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98903,98028,99014,98526,98902,98320,98030,98816,98032,98528,99016,98034,98720,98602,98036,98322,98905,98818,99018
,PLGN 3,PL 26,TPL 14,V 20,GNPL 2,BR 18,PLVD 4,B 16,PL 28,V 22,TPL 16,PLVD 6,GN 20,M 2,PL 30,BR 20,PLGN 5,B 18,TPL 18
,,,,,,,X,,,,,X,,,,,,,
Panvel,06:53,06:57,07:01,,,,07:09,,07:14,,07:18,07:22,,,07:31,,07:39,,07:43
Khandeshwar,06:58,07:02,07:06,,,,07:14,,07:19,,07:23,07:27,,,07:36,,07:44,,07:48
Mansarovar,07:01,07:05,07:09,,,,07:17,,07:22,,07:26,07:30,,,07:39,,07:47,,07:51
Kharghar,07:04,07:08,07:12,,,,07:20,,07:25,,07:29,07:33,,,07:42,,07:50,,07:54
Belapur CBD,07:08,07:12,07:16,,,07:20,07:24,,07:29,,07:33,07:37,,,07:46,07:50,07:54,,07:58
Seawood Darave,07:12,07:16,07:20,,,07:24,07:28,,07:33,,07:37,07:41,,,07:50,07:54,07:58,,08:02
Nerul,07:15,07:19,07:24,,,07:27,07:31,,07:36,,07:41,07:44,,,07:53,07:57,08:01,,08:06
Juinagar,07:18,07:22,,,,07:30,07:34,,07:39,,,07:47,,,07:56,08:00,08:04,,
Sanpada,07:21,07:25,,,,07:33,07:37,,07:42,,,07:50,,,07:59,08:03,08:07,,
Vashi,07:23,07:27,,07:31,,07:35,07:39,,07:44,07:48,,07:52,,,08:01,08:05,08:09,,
Mankhurd,07:31,07:35,,07:39,,07:43,07:47,,07:52,07:56,,08:00,,08:05,08:09,08:13,08:17,,
Govandi,07:34,07:38,,07:42,,07:46,07:50,,07:55,07:59,,08:03,,08:08,08:12,08:16,08:20,,
Chembur,07:36,07:40,,07:44,,07:48,07:52,,07:57,08:01,,08:05,,08:10,08:14,08:18,08:22,,
Tilaknagar,07:39,07:43,,07:47,,07:51,07:55,,08:00,08:04,,08:08,,08:13,08:17,08:21,08:25,,
Kurla,07:42,07:46,,07:50,,07:54,07:58,,08:03,08:07,,08:11,,08:16,08:20,08:24,08:28,,
Chunabhatti,07:45,07:49,,07:53,,07:57,08:01,,08:06,08:10,,08:14,,08:19,08:23,08:27,08:31,,
GTB Nagar,07:48,07:52,,07:56,,08:00,08:04,,08:09,08:13,,08:17,,08:22,08:26,08:30,08:34,,
Goregaon,,,,,07:30,,,,,,,,07:47,,,,,,
