Tilaknagar,16:10,,16:14,16:18,,16:27,16:31,16:35,16:39,,16:43,16:47,16:51,,16:56,17:00
Kurla,16:13,,16:17,16:21,,16:30,16:34,16:38,16:42,,16:46,16:50,16:54,,16:59,17:03
Chunabhatti,16:16,,16:20,16:24,,16:33,16:37,16:41,16:45,,16:49,16:53,16:57,,17:02,17:06
GTB Nagar,16:19,,16:23,16:27,,16:36,16:40,16:44,16:48,,16:52,16:56,17:00,,17:05,17:09
Goregaon,,,,,16:01,,,,,,,,,16:29,,
Ramnagar,,,,,16:05,,,,,,,,,16:33,,
Jogeshwari,,,,,16:08,,,,,,,,,16:36,,
Andheri,,,,,16:12,,,,,,,,,16:40,,
Vileparle,,,,,16:16,,,,,,,,,16:44,,
Santacruz,,,,,16:19,,,,,,,,,16:47,,
Khar Road,,,,,16:22,,,,,,,,,16:50,,
Bandra,,16:12,,,16:26,,,,,16:41,,,,16:54,,
Mahim Jn,,16:16,,,16:29,,,,,16:45,,,,16:57,,
King's Circle,,16:19,,,16:32,,,,,16:48,,,,17:00,,
Vadala Road,16:26,16:25,16:29,16:33,16:38,16:42,16:46,16:50,16:54,16:54,16:58,17:02,17:06,17:06,17:11,17:15
Sewri,,16:28,16:32,16:36,16:41,16:45,16:49,16:53,,16:57,17:01,17:05,,17:09,17:14,17:18
Cotton Green,,16:31,16:35,16:39,16:44,16:48,16:52,16:56,,17:00,17:04,17:08,,17:12,17:17,17:21
Reay Road,,16:33,16:37,16:41,16:46,16:50,16:54,16:58,,17:02,17:06,17:10,,17:14,17:19,17:23
Dockyard Road,,16:36,16:40,16:44,16:49,16:53,16:57,17:01,,17:05,17:09,17:13,,17:17,17:22,17:26
Sandhurst Road,,16:38,16:42,16:46,16:51,16:55,16:59,17:03,,17:07,17:11,17:15,,17:19,17:24,17:28
Masjid,,16:40,16:44,16:48,16:53,16:57,17:01,17:05,,17:09,17:13,17:17,,17:21,17:26,17:30
Mumbai CSMT,,16:43,16:47,16:51,16:56,17:00,17:04,17:08,,17:12,17:16,17:20,,17:24,17:30,17:33
