,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,96627,96315,97079,97081,95719,95317,97361,97083,96629,97363,96407,95505,96317,95119,95227,97229,97085,96515,97365,95121,96011,97087,96631,97089,95229
,TL 29,A 27,K 59,PK 15,K 61,DA 3,T 63,K 63,TTL 7,T 65,N 19,AN 11,A 29,S 23,BL 23,PDL7,K 65,AN 13,T 67,S 25,SKP 11,TK 7,TL 31,K 67,BL 25
,,,,,15 C,,,,,AC,,,AC,,,,,,,,,,,,
,,,,,X,,X,,,X,,,X,,,,,,,,,,,,
CSMT,12:44,12:48,12:52,,12:53,,12:58,13:02,,13:06,13:10,13:15,13:15,13:19,13:23,,13:26,13:30,13:38,13:40,,,13:42,13:46,13:50
Masjid,12:47,12:51,12:55,,…,,13:01,13:05,,13:09,13:13,…,13:18,…,…,,13:29,13:33,13:41,…,,,13:45,13:49,…
Sandhurst Road,12:49,12:53,12:57,,…,,13:03,13:07,,13:11,13:15,…,13:20,…,…,,13:31,13:35,13:43,…,,,13:47,13:51,…
Byculla,12:52,12:56,13:00,,13:01,,13:06,13:10,,13:14,13:18,13:22,13:23,13:26,13:30,,13:34,13:38,13:46,13:47,,,13:50,13:54,13:57
Chinchpokli,12:54,12:58,13:02,,…,,13:08,13:12,,13:16,13:20,…,13:25,…,,,13:36,13:40,13:48,…,,,13:52,13:56,…
Currey Road,12:56,13:00,13:04,,…,,13:10,13:14,,13:18,13:22,…,13:27,…,…,,13:38,13:42,13:50,…,,,13:54,13:58,…
Parel,12:59,13:03,13:07,13:10,…,,13:13,13:17,,13:21,13:25,…,13:30,…,…,13:35,13:41,13:45,13:53,…,,,13:57,14:01,…
Dadar,13:02,13:06,13:10,13:13,13:07,13:10,13:17,13:21,,13:25,13:29,13:28,13:34,13:32,13:36,13:38,13:44,13:48,13:56,13:53,,,14:00,14:04,14:03
Matunga,13:05,13:09,13:13,13:17,…,…,13:21,13:25,,13:29,13:33,…,13:37,…,…,13:42,13:47,13:51,13:59,…,,,14:03,14:07,…
Sion,13:08,13:12,13:16,13:20,…,…,13:24,13:28,,13:32,13:36,…,13:40,…,…,13:45,13:50,13:54,14:02,…,,,14:06,14:10,…
Kurla,13:12,13:16,13:20,13:24,13:14,13:17,13:28,13:32,,13:36,13:40,13:35,13:44,13:39,13:43,13:49,13:54,13:58,14:06,14:00,,,14:10,14:14,14:11
Vidyavihar,13:15,13:19,13:23,13:27,…,…,13:31,13:35,,13:39,13:43,…,13:47,…,…,13:52,13:57,14:01,14:09,…,,,14:13,14:17,…
Ghatkopar,13:18,13:22,13:26,13:30,13:18,13:21,13:34,13:38,,13:42,13:46,13:39,13:50,13:43,13:47,13:55,14:00,14:04,14:12,14:04,,,14:16,14:20,14:15
Vikhroli,13:22,13:26,13:30,13:34,…,…,13:38,13:42,,13:46,13:50,…,13:54,…,…,13:59,14:04,14:08,14:16,…,,,14:20,14:24,…
Kanjur Marg,13:25,13:29,13:33,13:37,…,…,13:42,13:46,,13:50,13:54,…,13:57,…,…,14:02,14:07,14:11,14:19,…,,,14:23,14:27,…
Bhandup,13:28,13:32,13:36,13:40,…,13:29,13:45,13:49,,13:53,13:57,13:47,14:00,…,…,14:05,14:10,14:14,14:22,…,,,14:26,14:30,…
Nahur,13:31,13:35,13:39,13:43,…,…,13:48,13:52,,13:56,14:00,…,14:03,…,…,14:08,14:13,14:17,14:25,…,,,14:29,14:33,…
Mulund,13:34,13:38,13:42,13:46,…,…,13:52,13:56,,14:00,14:04,…,14:07,13:55,…,14:11,14:16,14:20,14:28,14:16,,,14:32,14:36,14:27
Thane,13:39,13:42,13:46,13:50,13:34,13:37,13:58,14:01,14:05,14:06,14:09,13:55,14:12,13:59,14:02,14:17,14:22,14:26,14:34,14:20,,14:33,14:37,14:41,14:31
Kalva,13:44,13:47,13:51,13:55,…,…,,14:06,14:11,,14:15,…,14:18,…,…,14:22,14:27,14:31,,…,,14:38,14:42,14:46,…
Mumbra,13:50,13:53,13:57,14:01,…,…,,14:12,14:17,,14:21,…,14:24,…,…,14:28,14:33,14:37,,…,,14:44,14:48,14:52,…
Diva,13:54,13:57,14:01,14:05,…,…,,14:16,14:21,,14:25,…,14:28,14:10,,14:32,14:37,14:41,,…,,14:48,14:52,14:56,14:42
Kopar,13:59,14:02,14:06,14:10,…,…,,14:21,14:26,,14:30,…,14:33,…,…,14:37,14:42,14:46,,…,,14:53,14:57,15:01,…
Dombivli,14:02,14:05,14:09,14:13,13:49,13:53,,14:24,14:29,,14:33,14:11,14:36,14:16,14:19,14:40,14:45,14:49,,14:35,,14:56,15:00,15:04,14:47
Thakurli,14:06,14:09,14:13,14:17,…,…,,14:28,14:34,,14:38,…,14:41,…,…,,14:49,14:53,,…,,15:00,15:04,15:08,…
Kalyan,14:14,14:15,14:19,14:23,13:57,14:02,,14:33,14:43,,14:47,14:19,14:49,14:24,14:28,,14:55,15:00,,14:43,,15:06,15:10,15:14,14:54
Vithalwadi,,14:19,,,,14:06,,,,,,,14:53,14:28,14:32,,,,,14:47,,,,,14:59
Ulhas Nagar,,14:22,,,,14:09,,,,,,,14:56,14:31,14:35,,,,,14:50,,,,,15:02
Ambernath,,14:28,,,,14:14,,,,,,,15:02,14:37,14:40,,,,,14:54,,,,,15:06
Badlapur,,,,,,,,,,,,,,14:44,14:49,,,,,15:01,,,,,15:15
Vangani,,,,,,,,,,,,,,14:52,,,,,,15:09,,,,,
Shelu,,,,,,,,,,,,,,14:56,,,,,,15:13,,,,,
Neral,,,,,,,,,,,,,,15:00,,,,,,15:17,,,,,
Bhivpuri Road,,,,,,,,,,,,,,15:07,,,,,,15:24,,,,,
Karjat,,,,,,,,,,,,,,15:15,,,,,,15:35,15:39,,,,
Palasdhari,,,,,,,,,,,,,,,,,,,,,15:44,,,,
Kelavli,,,,,,,,,,,,,,,,,,,,,15:51,,,,
Dolavli,,,,,,,,,,,,,,,,,,,,,15:54,,,,
Lowjee,,,,,,,,,,,,,,,,,,,,,15:58,,,,
Khopoli,,,,,,,,,,,,,,,,,,,,,16:04,,,,
Shahad,14:18,,,,,,,,14:49,,14:53,14:23,,,,,,15:04,,,,,15:14,,
Ambivli,14:21,,,,,,,,14:52,,14:56,14:26,,,,,,15:07,,,,,15:17,,
Titwala,14:29,,,,,,,,14:59,,15:02,14:32,,,,,,15:13,,,,,15:24,,
Khadavli,,,,,,,,,,,15:09,14:39,,,,,,15:20,,,,,,,
Vasind,,,,,,,,,,,15:16,14:46,,,,,,15:27,,,,,,,
Asangaon,,,,,,,,,,,15:22,14:54,,,,,,15:35,,,,,,,
Atgaon,,,,,,,,,,,15:31,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,15:37,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,15:42,,,,,,,,,,,,,,
Umbermalli,,,,,,,,,,,15:48,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,15:59,,,,,,,,,,,,,,
