,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98719,98313,98057,98505,99011,98817,98059,98315,98061,98905,98819,98063,98605,98721,98507,99013,98065,98821,98067,98317
,GN 19,BRVD 3,PL 49,V 3,TPL 11,B 17,PLVD 9,BR 11,PL 51,PLGN 5,B 19,PL 53,CM 1,GN 21,V 5,TPL 13,PLVD 11,B 21,PL 55,BR 13
,,X,,,$,,X,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,08:04,,08:08,08:12,TNA,08:16,,08:20,08:24,,08:29,08:33,08:37,08:42,08:46,TNA,,08:50,08:54,08:58
Masjid,08:07,,08:11,08:15,08:41,08:19,,08:23,08:27,,08:32,08:36,08:40,08:45,08:49,09:14,,08:53,08:57,09:01
Sandhurst Road,08:10,,08:14,08:18,,08:22,,08:26,08:30,,08:35,08:39,08:43,08:48,08:52,,,08:56,09:00,09:04
Dockyard Road,08:12,,08:16,08:20,,08:24,,08:28,08:32,,08:37,08:41,08:45,08:50,08:54,,,08:58,09:02,09:06
Reay Road,08:14,,08:18,08:22,,08:26,,08:30,08:34,,08:39,08:43,08:47,08:52,08:56,,,09:00,09:04,09:08
Cotton Green,08:16,,08:20,08:24,,08:28,,08:32,08:36,,08:41,08:45,08:49,08:54,08:58,,,09:02,09:06,09:10
Sewri,08:19,,08:23,08:27,,08:31,,08:35,08:39,,08:44,08:48,08:52,08:57,09:01,,,09:05,09:09,09:13
Vadala Road,08:22,08:22,08:26,08:30,,08:34,08:34,08:38,08:42,08:45,08:48,08:52,08:55,09:00,09:04,,09:08,09:08,09:12,09:16
King's Circle,08:26,,,,,08:38,,,,08:50,08:53,,,09:04,,,,09:12,,
Mahim Jn,08:29,,,,,08:41,,,,08:53,08:56,,,09:08,,,,09:15,,
Bandra,08:33,,,,,08:45,,,,08:57,09:00,,,09:12,,,,09:19,,
Khar Road,08:37,,,,,,,,,09:01,,,,09:16,,,,,,
Santacruz,08:40,,,,,,,,,09:04,,,,09:19,,,,,,
Vileparle,08:43,,,,,,,,,09:07,,,,09:22,,,,,,
Andheri,08:47,,,,,,,,,09:11,,,,09:26,,,,,,
Jogeshwari,08:51,,,,,,,,,09:15,,,,09:30,,,,,,
Ramnagar,08:54,,,,,,,,,09:18,,,,09:33,,,,,,
Goregaon,08:58,,,,,,,,,09:22,,,,09:37,,,,,,
GTB Nagar,,08:27,08:31,08:35,,,08:39,08:43,08:47,,,08:57,09:00,,09:09,,09:13,,09:17,09:21
