Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,,,,,,,,,,11:19,,,,,
Bhivpuri road,,,,,,,,,,11:28,,,,,
Neral,,,,,,,,,,11:35,,,,,
Shelu,,,,,,,,,,11:39,,,,,
Vangani,,,,,,,,,,11:43,,,,,
Badlapur,,,,,10:58,,,,,11:51,11:25,,,,
Ambernath,,,11:38,,11:09,11:17,,,,11:58,11:34,,,,
Ulhas nagar,,,11:43,,11:14,11:22,,,,12:02,11:38,,,,
Vithalwadi,,,11:46,,11:17,11:25,,,,12:05,11:41,,,,
Kalyan,11:22,11:46,11:52,,11:25,11:31,11:35,,11:42,12:11,11:47,11:50,12:22,11:54,
Thakurli,11:29,…,…,,11:32,11:38,11:41,,11:49,…,11:54,11:57,…,12:01,
Dombivli,11:32,11:53,11:58,,11:35,11:41,11:44,11:48,11:53,12:17,11:58,12:01,12:28,12:05,12:08
Kopar,11:35,…,…,,11:38,11:44,11:47,11:52,11:56,…,12:01,12:04,…,12:08,12:12
Diwa,11:40,…,…,,11:43,11:49,11:52,11:57,12:01,12:22,12:06,12:09,…,12:13,12:17
Mumbra,11:44,…,…,,11:47,11:53,11:56,12:01,12:05,…,12:10,12:13,…,12:17,12:21
Kalva,11:50,…,…,,11:53,11:59,12:02,12:07,12:11,…,12:16,12:19,…,12:23,12:27
Thane,11:55,12:09,12:14,11:56,11:59,12:05,12:08,12:13,12:17,12:33,12:22,12:25,12:43,12:29,12:33
Mulund,,...,12:18,12:02,12:05,12:10,12:13,12:18,12:22,...,12:27,12:30,12:47,12:34,12:38
Nahur,,...,...,12:05,12:08,12:13,12:16,12:21,12:25,...,12:30,12:33,...,12:37,12:41
Bhandup,,...,...,12:08,12:11,12:16,12:19,12:24,12:28,...,12:33,12:36,...,12:40,12:44
Kanjur marg,,...,...,12:11,12:14,12:19,12:22,12:27,12:31,...,12:36,12:39,...,12:43,12:47
Vikhroli,,...,...,12:14,12:17,12:22,12:25,12:30,12:34,...,12:39,12:42,...,12:46,12:50
Ghatkopar,,12:20,12:24,12:18,12:21,12:26,12:29,12:34,12:38,12:48,12:43,12:46,12:57,12:50,12:54
Vidyavihar,,...,...,12:21,12:24,12:29,12:32,12:37,12:41,...,12:46,12:49,...,12:53,12:57
Kurla,,12:24,12:28,12:24,12:27,12:32,12:35,12:40,12:44,12:52,12:49,12:52,13:01,12:56,13:00
Sion,,...,...,12:28,12:31,12:36,12:39,12:44,12:48,...,12:53,12:56,...,13:00,13:04
Matunga,,...,...,12:31,12:34,12:39,12:42,12:47,12:51,...,12:56,12:59,...,13:03,13:07
Dadar,,12:32,12:36,12:35,12:38,12:43,12:46,12:51,12:55,13:00,13:00,13:03,13:09,13:07,13:11
Parel,,…,,12:38,12:41,12:46,12:49,12:54,12:58,…,13:03,13:06,…,13:10,13:14
Currey road,,…,,12:41,12:44,12:49,12:52,12:57,,…,13:06,13:09,…,13:13,13:17
Chinchpokli,,…,,12:43,12:46,12:51,12:54,12:59,,…,13:08,13:11,…,13:15,13:19
Byculla,,12:38,,12:45,12:48,12:53,12:56,13:01,,13:06,13:10,13:13,13:15,13:17,13:21
Sandhurst road,,…,,12:48,12:51,12:56,12:59,13:04,,…,13:13,13:16,…,13:20,13:24
Masjid,,…,,12:51,12:54,12:59,13:02,13:07,,…,13:16,13:19,…,13:23,13:27
CSMT,,12:48,,12:54,12:57,13:02,13:05,13:10,,13:15,13:19,13:22,13:25,13:26,13:30
