,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98039,98041,98715,98043,98501,98045,98047,98813,98049,98309,98503,98717,99009,98051,98903,98311,98815,98902,98053,98055
,PL 33,PL 35,GN 15,PL 37,V 1,PL 39,PLVD 7,B 13,PL 41,BR 7,VVD 1,GN 17,TPL 9,PL 43,PLGN 3,BR 9,B 15,GNPL 2,PL 45,PL 47
,X,,,,,,X,,,X,,,,,,,,,,X
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,06:54,06:59,07:05,07:09,07:13,07:17,,07:21,07:26,07:30,,07:36,TNA,07:40,,07:48,07:51,,07:56,08:00
Masjid,06:57,07:02,07:08,07:12,07:16,07:20,,07:24,07:29,07:33,,07:39,08:03,07:43,,07:51,07:54,,07:59,08:03
Sandhurst Road,07:00,07:05,07:11,07:15,07:19,07:23,,07:27,07:32,07:36,,07:42,,07:46,,07:54,07:57,,08:02,08:06
Dockyard Road,07:02,07:07,07:13,07:17,07:21,07:25,,07:29,07:34,07:38,,07:44,,07:48,,07:56,07:59,,08:04,08:08
Reay Road,07:04,07:09,07:15,07:19,07:23,07:27,,07:31,07:36,07:40,,07:46,,07:50,,07:58,08:01,,08:06,08:10
Cotton Green,07:06,07:11,07:17,07:21,07:25,07:29,,07:33,07:38,07:42,,07:48,,07:52,,08:00,08:03,,08:08,08:12
Sewri,07:09,07:14,07:20,07:24,07:28,07:32,,07:36,07:41,07:45,,07:51,,07:55,,08:03,08:06,,08:11,08:15
Vadala Road,07:13,07:17,07:23,07:27,07:31,07:35,07:39,07:39,07:44,07:48,07:54,07:54,,07:58,08:02,08:06,08:09,08:10,08:14,08:18
King's Circle,,,07:29,,,,,07:43,,,,07:58,,,08:09,,08:13,,,
Mahim Jn,,,07:32,,,,,07:46,,,,08:01,,,08:12,,08:16,,,
Bandra,,,07:36,,,,,07:50,,,,08:05,,,08:16,,08:20,,,
Khar Road,,,07:40,,,,,,,,,08:09,,,08:21,,,,,
Santacruz,,,07:43,,,,,,,,,08:12,,,08:24,,,,,
Vileparle,,,07:46,,,,,,,,,08:15,,,08:27,,,,,
Andheri,,,07:50,,,,,,,,,08:19,,,08:31,,,,,
Jogeshwari,,,07:54,,,,,,,,,08:23,,,08:35,,,,,
Ramnagar,,,07:57,,,,,,,,,08:26,,,08:38,,,,,
Goregaon,,,08:01,,,,,,,,,08:30,,,08:43,,,,,
GTB Nagar,07:18,07:22,,07:32,07:36,07:40,07:44,,07:49,07:53,07:59,,,08:03,,08:11,,08:15,08:19,08:23
