Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,,,,,,,08:27,,,,,,,,
Bhivpuri road,,,,,,,08:36,,,,,,,,
Neral,,,,,,,08:43,,,,,,,,
Shelu,,,,,,,08:47,,,,,,,,
Vangani,,,,,,,08:51,,,,,,,,
Badlapur,,,,,,,08:59,,,,,,,08:52,
Ambernath,,,,,,,09:06,,,,,,,09:01,
Ulhas nagar,,,,,,,09:10,,,,,,,09:05,
Vithalwadi,,,,,,,09:13,,,,,,,09:08,
Kalyan,,09:09,08:51,09:02,,,09:19,,,09:07,09:20,,,09:13,
Thakurli,,…,08:56,09:08,,,…,,,09:12,09:25,,,09:20,
Dombivli,,09:16,08:59,09:11,,09:04,09:25,,,09:15,09:28,,,09:23,
Kopar,,…,09:02,09:14,,09:07,…,,,09:18,09:31,,,09:26,
Diwa,,…,09:07,09:19,,09:12,…,,,09:23,09:36,,,09:31,
Mumbra,,09:23,09:11,09:23,,09:16,…,,,09:27,09:40,,,09:35,
Kalva,,…,09:17,09:29,,09:22,…,,,09:33,09:46,,,09:41,
Thane,09:16,09:32,09:22,09:35,,09:27,09:43,09:30,,09:38,09:51,09:54,09:41,09:46,09:50
Mulund,09:22,...,09:26,09:40,,09:32,...,09:36,,09:43,...,09:59,09:47,09:51,09:56
Nahur,09:25,...,09:29,...,,09:35,...,09:39,,09:46,...,...,09:50,09:54,09:59
Bhandup,09:28,09:40,09:32,...,,09:38,...,09:42,,09:49,10:00,...,09:53,09:57,10:02
Kanjur marg,09:31,...,09:35,...,,09:41,...,09:45,,09:52,...,...,09:56,10:00,10:05
Vikhroli,09:34,...,09:38,...,,09:44,...,09:48,,09:55,...,...,09:59,10:03,10:08
Ghatkopar,09:38,09:49,09:42,09:52,09:46,09:49,09:58,09:53,,09:59,10:08,10:11,10:03,10:07,10:12
Vidyavihar,09:41,...,09:45,...,09:50,09:53,...,09:57,,10:02,...,...,10:06,10:10,10:15
Kurla,09:44,09:53,09:48,09:56,09:53,09:56,10:03,10:00,10:03,10:06,10:12,10:15,10:09,10:13,10:18
Sion,09:48,...,09:52,...,09:57,10:00,...,10:04,10:07,10:10,...,...,10:13,10:17,10:22
Matunga,09:51,...,09:55,...,10:00,10:03,...,10:07,10:10,10:13,...,...,10:16,10:20,10:25
Dadar,09:55,10:02,09:59,10:05,10:03,10:07,10:14,10:11,10:14,10:17,10:20,10:24,10:20,10:24,10:29
Parel,09:58,…,10:02,…,10:06,10:10,…,10:14,10:17,10:20,…,…,10:23,10:27,10:32
Currey road,10:01,…,10:05,…,10:09,10:13,…,10:17,10:20,,…,…,10:26,10:30,10:35
Chinchpokli,10:03,…,10:07,…,10:11,10:15,…,10:19,10:22,,…,…,10:28,10:32,10:37
Byculla,10:05,10:08,10:09,10:11,10:13,10:17,10:20,10:21,10:24,,10:26,10:30,10:30,10:34,10:39
Sandhurst road,10:08,…,10:12,…,10:16,10:20,…,10:24,10:27,,…,…,10:33,10:37,10:42
Masjid,10:11,…,10:15,…,10:19,10:23,…,10:27,10:30,,…,…,10:36,10:40,10:45
CSMT,10:14,10:16,10:18,10:20,10:22,10:26,10:29,10:30,10:34,,10:34,10:40,10:40,10:44,10:48
