Tilaknagar,08:29,08:33,08:37,,08:41,08:45,08:49,,08:56,09:01,,09:05,,09:12,,09:18,09:22
Kurla,08:32,08:36,08:40,,08:44,08:48,08:52,,08:59,09:04,,09:08,,09:15,,09:21,09:25
Chunabhatti,08:35,08:39,08:43,,08:47,08:51,08:55,,09:02,09:07,,09:11,,09:18,,09:24,09:28
GTB Nagar,08:38,08:42,08:46,,08:50,08:54,08:58,,09:05,09:10,,09:14,,09:21,,09:27,09:31
Goregaon,,,,08:17,,,,,,,08:39,,,,08:51,,
Ramnagar,,,,08:21,,,,,,,08:43,,,,08:55,,
Jogeshwari,,,,08:24,,,,,,,08:46,,,,08:58,,
Andheri,,,,08:28,,,,,,,08:50,,,,09:02,,
Vileparle,,,,08:32,,,,,,,08:54,,,,09:07,,
Santacruz,,,,08:35,,,,,,,08:57,,,,09:10,,
Khar Road,,,,08:38,,,,,,,09:00,,,,09:13,,
Bandra,,,,08:43,,,,08:53,,,09:05,,09:08,,09:17,,
Mahim Jn,,,,08:47,,,,08:57,,,09:08,,09:12,,09:21,,
King's Circle,,,,08:50,,,,09:01,,,09:11,,09:16,,09:24,,
Vadala Road,08:44,08:48,08:52,08:56,08:56,09:00,09:04,09:07,09:11,09:16,09:17,09:20,09:24,09:27,09:30,09:33,09:37
Sewri,08:47,08:51,08:55,08:59,,09:03,09:07,09:10,09:14,09:19,,09:23,09:27,09:30,09:33,09:36,09:40
Cotton Green,08:50,08:54,08:58,09:02,,09:06,09:10,09:13,09:17,09:22,,09:26,09:30,09:33,09:36,09:39,09:43
Reay Road,08:52,08:56,09:00,09:04,,09:08,09:12,09:15,09:19,09:24,,09:28,09:32,09:35,09:38,09:41,09:45
Dockyard Road,08:55,08:59,09:03,09:07,,09:11,09:15,09:18,09:22,09:27,,09:31,09:35,09:38,09:41,09:44,09:48
Sandhurst Road,08:57,09:01,09:05,09:09,,09:13,09:17,09:20,09:24,09:29,,09:33,09:37,09:40,09:43,09:46,09:50
Masjid,08:59,09:03,09:07,09:11,,09:15,09:19,09:22,09:26,09:31,,09:35,09:39,09:42,09:45,09:48,09:52
Mumbai CSMT,09:02,09:06,09:10,09:14,,09:18,09:22,09:26,09:30,09:34,,09:38,09:42,09:45,09:48,09:52,09:55
