,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97119,97381,97241,97383,97625,97121,95235,97123,95415,97385,95321,96111,97243,97125,97127,97387,97245,97389,95725,97129,95511,95237,97131,97391,95727
,TK 9,T 81,DL 31,T 83,C 25,CK 21,BL 35,K 89,N 25,T 85,A 39,TS 7,PDL9,CK 23,K 91,T 87,DL 33,T 89,DK 3,K 93,AN 21,BL 37,PK 23,T 91,K 95
,,,,,,,,,,,AC,,,,,,,,15 C,,,,,,$
,,X,,X,X,,,,,,X,,,,,,,X,X,,,,,X,
CSMT,,16:30,16:34,16:38,16:43,,16:42,16:48,16:50,16:52,17:00,,,,17:00,17:04,17:08,17:12,,17:16,17:19,17:22,,17:24,17:25
Masjid,,16:33,16:37,16:41,16:46,,…,16:51,…,16:55,…,,,,17:03,17:07,17:11,17:15,,17:19,…,…,,17:27,…
Sandhurst Road,,16:35,16:39,16:43,16:48,,…,16:53,…,16:57,…,,,,17:05,17:09,17:13,17:17,,17:21,…,…,,17:29,…
Byculla,,16:38,16:42,16:46,16:51,,16:49,16:56,16:57,17:00,…,,,,17:08,17:12,17:16,17:20,,17:24,17:28,17:30,,17:32,17:33
Chinchpokli,,16:40,16:44,16:48,16:53,,…,16:58,…,17:02,…,,,,17:10,17:14,17:18,17:22,,17:26,,…,,17:34,…
Currey Road,,16:42,16:46,16:50,16:55,,…,17:00,…,17:04,…,,,,17:12,17:16,17:20,17:24,,17:28,…,…,,17:36,…
Parel,,16:45,16:49,16:53,16:58,,…,17:03,…,17:07,…,,17:10,,17:15,17:19,17:23,17:27,,17:31,…,…,17:35,17:39,…
Dadar,,16:48,16:52,16:56,17:01,,16:55,17:06,17:04,17:10,17:12,,17:13,,17:19,17:22,17:26,17:30,17:30,17:34,17:34,17:37,17:38,17:42,17:40
Matunga,,16:51,16:55,16:59,17:04,,…,17:09,…,17:13,…,,17:17,,17:23,17:26,17:30,17:33,…,17:37,…,…,17:41,17:45,…
Sion,,16:54,16:58,17:02,17:07,,…,17:12,…,17:16,…,,17:20,,17:26,17:29,17:33,17:36,…,17:40,…,…,17:44,17:48,…
Kurla,,16:58,17:02,17:06,17:11,,17:02,17:16,17:11,17:20,…,,17:24,,17:30,17:33,17:37,17:40,17:37,17:44,17:41,17:44,17:48,17:52,17:47
Vidyavihar,,17:01,17:05,17:09,,17:15,…,17:19,…,17:23,…,,17:27,17:30,17:33,17:36,17:40,17:43,…,17:47,…,…,17:51,17:55,…
