Tilaknagar,05:31,05:35,,05:43,05:51,,05:59,06:03,,06:11,06:17,,06:21,06:26,06:32,
Kurla,05:34,05:38,,05:46,05:54,,06:02,06:06,,06:14,06:20,,06:24,06:29,06:35,
Chunabhatti,05:37,05:41,,05:49,05:57,,06:05,06:09,,06:17,06:23,,06:27,06:32,06:38,
GTB Nagar,05:40,05:44,,05:52,06:00,,06:08,06:12,,06:20,06:26,,06:30,06:35,06:41,
Goregaon,,,05:17,,,05:33,,,,,,05:59,,,,06:14
Ramnagar,,,05:21,,,05:37,,,,,,06:03,,,,06:18
Jogeshwari,,,05:24,,,05:40,,,,,,06:06,,,,06:21
Andheri,,,05:28,,,05:44,,,,,,06:10,,,,06:25
Vileparle,,,05:32,,,05:48,,,,,,06:14,,,,06:29
Santacruz,,,05:35,,,05:51,,,,,,06:17,,,,06:32
Khar Road,,,05:38,,,05:54,,,,,,06:20,,,,06:35
Bandra,,,05:42,,,05:58,,,06:10,,,06:24,,,,06:39
Mahim Jn,,,05:45,,,06:01,,,06:13,,,06:27,,,,06:42
King's Circle,,,05:48,,,06:04,,,06:16,,,06:30,,,,06:45
Vadala Road,05:46,05:50,05:54,05:58,06:06,06:10,06:14,06:18,06:22,06:26,06:32,06:36,06:36,06:41,06:47,06:51
Sewri,05:49,05:53,05:57,06:01,06:09,06:13,06:17,06:21,06:25,06:29,06:35,06:39,,06:44,06:50,06:54
Cotton Green,05:52,05:56,06:00,06:04,06:12,06:16,06:20,06:24,06:28,06:32,06:38,06:42,,06:47,06:53,06:57
Reay Road,05:54,05:58,06:02,06:06,06:14,06:18,06:22,06:26,06:30,06:34,06:40,06:44,,06:49,06:55,06:59
Dockyard Road,05:57,06:01,06:05,06:09,06:17,06:21,06:25,06:29,06:33,06:37,06:43,06:47,,06:52,06:58,07:02
Sandhurst Road,05:59,06:03,06:07,06:11,06:19,06:23,06:27,06:31,06:35,06:39,06:45,06:49,,06:54,07:00,07:04
Masjid,06:01,06:05,06:09,06:13,06:21,06:25,06:29,06:33,06:37,06:41,06:47,06:51,,06:56,07:02,07:06
Mumbai CSMT,06:04,06:08,06:12,06:16,06:24,06:28,06:32,06:36,06:40,06:44,06:50,06:54,,06:59,07:05,07:09
