Tilaknagar,,11:31,11:35,,11:44,,11:52,,11:56,12:02,12:10,12:14,,12:18,,12:25,12:29
Kurla,,11:34,11:38,,11:47,,11:55,,11:59,12:05,12:13,12:17,,12:21,,12:28,12:32
Chunabhatti,,11:37,11:41,,11:50,,11:58,,12:02,12:08,12:16,12:20,,12:24,,12:31,12:35
GTB Nagar,,11:40,11:44,,11:53,,12:01,,12:05,12:11,12:19,12:23,,12:27,,12:34,12:38
Goregaon,11:00,,,,,11:23,,11:34,,,,,,,11:54,,
Ramnagar,11:04,,,,,11:28,,11:38,,,,,,,11:59,,
Jogeshwari,11:07,,,,,11:31,,11:41,,,,,,,12:02,,
Andheri,11:11,,,,,11:35,,11:45,,,,,,,12:06,,
Vileparle,11:15,,,,,11:39,,11:49,,,,,,,12:11,,
Santacruz,11:18,,,,,11:43,,11:52,,,,,,,12:15,,
Khar Road,11:21,,,,,11:46,,11:55,,,,,,,12:18,,
Bandra,11:25,,,11:41,,11:51,,11:59,,,,,12:16,,12:23,,
Mahim Jn,11:29,,,11:45,,11:54,,12:02,,,,,12:20,,12:27,,
King's Circle,11:32,,,11:48,,11:57,,12:05,,,,,12:23,,12:30,,
Vadala Road,11:38,11:46,11:50,11:54,11:59,12:03,12:07,12:11,12:11,12:17,12:25,12:29,12:29,12:33,12:36,12:40,12:44
Sewri,11:41,11:49,11:53,11:57,12:02,12:06,12:10,12:14,,12:20,12:28,,12:32,12:36,12:39,12:43,12:47
Cotton Green,11:44,11:52,11:56,12:00,12:05,12:09,12:13,12:17,,12:23,12:31,,12:35,12:39,12:42,12:46,12:50
Reay Road,11:46,11:54,11:58,12:02,12:07,12:11,12:15,12:19,,12:25,12:33,,12:37,12:41,12:44,12:48,12:52
Dockyard Road,11:49,11:57,12:01,12:05,12:10,12:14,12:18,12:22,,12:28,12:36,,12:40,12:44,12:47,12:51,12:55
Sandhurst Road,11:51,11:59,12:03,12:07,12:12,12:16,12:20,12:24,,12:30,12:38,,12:42,12:46,12:49,12:53,12:57
Masjid,11:53,12:01,12:05,12:09,12:14,12:18,12:22,12:26,,12:32,12:40,,12:44,12:48,12:51,12:55,12:59
Mumbai CSMT,11:56,12:04,12:08,12:12,12:17,12:21,12:25,12:28,,12:35,12:43,,12:47,12:51,12:54,12:58,13:02
