,,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,96205,97231,97367,95909,97091,96633,97093,96207,95413,97095,97097,97369,96319,97099,95507,95123,97101,96409,96321,97103,97371,95231,96209,97105,96635,95007
,BL 27,DL 21,T 69,DT 1,CK 17,TL 33,K 69,BL 29,N 21,K 71,K 73,T 71,A 31,K 75,AN 15,S 27,PK 17,N 23,A 33,K 77,T 73,BL 31,TBL 3,PK 19,TL 35,KP 7
,,,,AC,,,,,,,,,,,,,,,,,,,,,,
,,,X,X,,,,,,,X,X,,,,,,,,,X,,,,,
CSMT,13:50,13:54,13:58,,,14:07,14:11,14:15,14:17,14:20,14:25,14:29,14:34,14:38,14:42,14:45,,14:46,14:54,14:58,15:01,15:03,,,15:09,15:10
Masjid,13:53,13:57,14:01,,,14:10,14:14,14:18,…,14:23,14:28,14:32,14:37,14:41,…,…,,14:49,14:57,15:01,15:04,…,,,15:12,…
Sandhurst Road,13:55,13:59,14:03,,,14:12,14:16,14:20,…,14:25,14:30,14:34,14:39,14:43,…,…,,14:51,14:59,15:03,15:06,…,,,15:14,…
Byculla,13:58,14:02,14:06,,,14:15,14:19,14:23,14:26,14:28,14:33,14:37,14:42,14:46,14:49,14:52,,14:54,15:02,15:06,15:10,15:11,,,15:17,15:18
Chinchpokli,14:00,14:04,14:08,,,14:17,14:21,14:25,…,14:30,14:35,14:39,14:44,14:48,…,…,,14:56,15:04,15:08,15:12,…,,,15:19,…
Currey Road,14:02,14:06,14:10,,,14:19,14:23,14:27,…,14:32,14:37,14:41,14:46,14:50,…,…,,14:58,15:06,15:10,15:14,…,,,15:21,…
Parel,14:05,14:09,14:13,,,14:22,14:26,14:30,…,14:35,14:40,14:44,14:49,14:53,…,…,14:57,15:01,15:09,15:13,15:17,…,,15:21,15:25,…
Dadar,14:08,14:12,14:16,14:21,,14:25,14:29,14:33,14:32,14:38,14:43,14:47,14:52,14:56,14:55,14:58,15:00,15:04,15:12,15:16,15:20,15:17,,15:24,15:28,15:24
Matunga,14:11,14:15,14:19,…,,14:28,14:32,14:36,…,14:41,14:46,14:50,14:55,14:59,…,…,15:03,15:07,15:15,15:19,15:23,…,,15:27,15:31,…
Sion,14:14,14:18,14:22,…,,14:31,14:35,14:39,…,14:44,14:49,14:53,14:58,15:02,…,…,15:06,15:10,15:18,15:22,15:26,…,,15:30,15:34,…
Kurla,14:18,14:22,14:26,14:29,14:29,14:35,14:39,14:43,14:40,14:48,14:53,14:57,15:02,15:06,15:02,15:05,15:10,15:14,15:22,15:26,15:30,15:24,,15:34,15:38,15:32
Vidyavihar,14:21,14:25,14:29,…,14:33,14:38,14:42,14:46,…,14:51,14:56,15:00,15:05,15:09,…,…,15:13,15:17,15:25,15:29,15:33,…,,15:37,15:41,…
Ghatkopar,14:24,14:28,14:32,14:33,14:36,14:41,14:45,14:49,14:44,14:54,14:59,15:03,15:08,15:12,15:06,15:09,15:16,15:20,15:28,15:32,15:36,15:28,,15:40,15:44,15:36
Vikhroli,14:28,14:32,14:36,…,14:40,14:45,14:49,14:53,…,14:58,15:03,15:07,15:12,15:16,…,…,15:20,15:24,15:32,15:36,15:40,…,,15:44,15:48,…
Kanjur Marg,14:31,14:35,14:39,…,14:43,14:48,14:52,14:56,…,15:01,15:06,15:10,15:15,15:19,…,…,15:23,15:27,15:35,15:39,15:43,…,,15:47,15:51,…
Bhandup,14:34,14:38,14:42,…,14:46,14:51,14:55,14:59,…,15:04,15:09,15:13,15:18,15:22,…,…,15:26,15:30,15:38,15:42,15:46,…,,15:50,15:54,…
Nahur,14:37,14:41,14:45,…,14:49,14:54,14:58,15:02,…,15:07,15:12,15:16,15:21,15:25,…,…,15:29,15:33,15:41,15:45,15:49,…,,15:53,15:57,…
Mulund,14:40,14:44,14:48,…,14:52,14:57,15:01,15:05,14:55,15:10,15:15,15:19,15:24,15:28,15:18,…,15:32,15:36,15:44,15:48,15:52,…,,15:56,16:00,15:48
Thane,14:45,14:49,14:54,14:47,14:56,15:01,15:05,15:09,15:00,15:15,15:19,15:25,15:29,15:33,15:21,15:25,15:37,15:41,15:49,15:53,15:58,15:43,15:58,16:01,16:05,15:52
Kalva,14:50,14:54,,,15:01,15:06,15:10,15:14,…,15:20,15:24,,15:34,15:38,…,…,15:42,15:46,15:54,15:58,,…,16:03,16:06,16:10,…
Mumbra,14:56,15:00,,,15:07,15:12,15:16,15:20,…,15:26,15:30,,15:40,15:44,…,…,15:48,15:52,16:00,16:04,,…,16:09,16:12,16:16,…
Diva,15:00,15:04,,,15:11,15:16,15:20,15:24,15:11,15:30,15:34,,15:44,15:48,…,15:36,15:52,15:56,16:04,16:08,,…,16:13,16:16,16:20,…
Kopar,15:05,15:09,,,15:16,15:21,15:25,15:29,…,15:35,15:39,,15:49,15:53,…,…,15:57,16:01,16:09,16:13,,…,16:18,16:21,16:25,…
Dombivli,15:08,15:13,,,15:19,15:24,15:28,15:32,15:16,15:38,15:42,,15:52,15:56,15:37,15:42,16:00,16:04,16:12,16:16,,15:59,16:21,16:24,16:28,16:08
Thakurli,15:12,,,,15:23,15:28,15:32,15:36,…,15:42,15:46,,15:56,16:00,…,…,16:04,16:08,16:16,16:20,,…,16:25,16:28,16:32,…
Kalyan,15:18,,,,15:29,15:34,15:38,15:42,15:26,15:49,15:53,,16:02,16:06,15:48,15:51,16:10,16:14,16:23,16:26,,16:07,16:31,16:34,16:39,16:18
Vithalwadi,15:23,,,,,,,15:47,,,,,16:07,,,15:55,,,16:27,,,16:11,16:35,,,16:22
Ulhas Nagar,15:26,,,,,,,15:50,,,,,16:10,,,15:58,,,16:30,,,16:14,16:38,,,16:24
Ambernath,15:30,,,,,,,15:54,,,,,16:15,,,16:03,,,16:36,,,16:18,16:42,,,16:28
Badlapur,15:39,,,,,,,16:02,,,,,,,,16:10,,,,,,16:27,16:52,,,16:36
Vangani,,,,,,,,,,,,,,,,16:18,,,,,,,,,,16:45
Shelu,,,,,,,,,,,,,,,,16:22,,,,,,,,,,16:49
Neral,,,,,,,,,,,,,,,,16:26,,,,,,,,,,16:53
Bhivpuri Road,,,,,,,,,,,,,,,,16:33,,,,,,,,,,17:01
Karjat,,,,,,,,,,,,,,,,16:42,,,,,,,,,,17:11
Palasdhari,,,,,,,,,,,,,,,,,,,,,,,,,,17:16
Kelavli,,,,,,,,,,,,,,,,,,,,,,,,,,17:23
Dolavli,,,,,,,,,,,,,,,,,,,,,,,,,,17:26
Lowjee,,,,,,,,,,,,,,,,,,,,,,,,,,17:30
Khopoli,,,,,,,,,,,,,,,,,,,,,,,,,,17:36
Shahad,,,,,,15:38,,,15:31,,,,,,15:53,,,16:18,,,,,,,16:43,
Ambivli,,,,,,15:41,,,15:35,,,,,,15:56,,,16:21,,,,,,,16:46,
Titwala,,,,,,15:49,,,15:44,,,,,,16:03,,,16:27,,,,,,,16:54,
Khadavli,,,,,,,,,15:51,,,,,,16:10,,,16:35,,,,,,,,
Vasind,,,,,,,,,15:58,,,,,,16:17,,,16:43,,,,,,,,
Asangaon,,,,,,,,,16:04,,,,,,16:25,,,16:49,,,,,,,,
Atgaon,,,,,,,,,16:13,,,,,,,,,16:58,,,,,,,,
Thansit,,,,,,,,,16:18,,,,,,,,,17:03,,,,,,,,
Khardi,,,,,,,,,16:23,,,,,,,,,17:08,,,,,,,,
Umbermalli,,,,,,,,,16:29,,,,,,,,,17:14,,,,,,,,
Kasara,,,,,,,,,16:41,,,,,,,,,17:26,,,,,,,,
