,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98050,98824,98534,98052,98726,98054,98328,98056,99024,98826,98330,98906,98058,98536,98060,98728,98332,98062,98064
,PLVD 10,B 24,V 28,PL 42,GN 26,PLVD 12,BR 26,PL 44,TPL 24,B 26,BR 28,GNPL 6,PL 46,V 30,PL 48,GN 28,BR 30,PL 50,PLVD 14
,,,$,,,X,,,$,,X,,,,,,,,X
Panvel,08:38,,,08:45,,08:49,,08:56,09:01,,,,09:09,,09:17,,,09:28,09:32
Khandeshwar,08:43,,,08:50,,08:54,,09:01,09:06,,,,09:14,,09:22,,,09:33,09:37
Mansarovar,08:46,,,08:53,,08:57,,09:04,09:09,,,,09:17,,09:25,,,09:36,09:40
Kharghar,08:49,,,08:56,,09:00,,09:07,09:12,,,,09:20,,09:28,,,09:39,09:43
Belapur CBD,08:53,,,09:00,,09:04,09:07,09:11,09:16,,09:20,,09:24,,09:32,,09:39,09:43,09:47
Seawood Darave,08:57,,,09:04,,09:08,09:11,09:15,09:20,,09:24,,09:28,,09:36,,09:43,09:47,09:51
Nerul,09:00,,,09:07,,09:11,09:14,09:18,09:24,,09:27,,09:31,,09:39,,09:46,09:50,09:54
Juinagar,09:03,,,09:10,,09:14,09:17,09:21,,,09:30,,09:34,,09:42,,09:49,09:53,09:57
Sanpada,09:06,,,09:13,,09:17,09:20,09:24,,,09:33,,09:37,,09:45,,09:52,09:56,10:00
Vashi,09:08,,09:12,09:16,,09:20,09:23,09:27,,,09:36,,09:40,09:44,09:48,,09:54,09:58,10:02
Mankhurd,09:17,,09:21,09:25,,09:29,09:32,09:36,,,09:45,,09:49,09:53,09:57,,10:02,10:06,10:10
Govandi,09:20,,09:24,09:28,,09:32,09:35,09:39,,,09:48,,09:52,09:56,10:00,,10:05,10:09,10:13
Chembur,09:22,,09:26,09:30,,09:34,09:37,09:41,,,09:50,,09:54,09:58,10:02,,10:07,10:11,10:15
Tilaknagar,09:26,,09:29,09:33,,09:37,09:40,09:44,,,09:53,,09:57,10:01,10:05,,10:10,10:14,10:18
Kurla,09:29,,09:32,09:36,,09:40,09:43,09:47,,,09:56,,10:00,10:04,10:08,,10:13,10:17,10:21
Chunabhatti,09:32,,09:35,09:39,,09:43,09:46,09:50,,,09:59,,10:03,10:07,10:11,,10:16,10:20,10:24
GTB Nagar,09:35,,09:38,09:42,,09:46,09:49,09:53,,,10:02,,10:06,10:10,10:14,,10:19,10:23,10:27
Goregaon,,,,,09:13,,,,,,,09:30,,,,09:46,,,
