Khadavli,,,,,,,,,,,,,,,
Titwala,,,11:54,,,,,,,,,,12:21,,
Ambivli,,,12:00,,,,,,,,,,12:27,,
Shahad,,,12:04,,,,,,,,,,12:31,,
Khopoli,,,,,,,,,,11:20,,,,,
Lowjee,,,,,,,,,,11:24,,,,,
Dolavli,,,,,,,,,,11:28,,,,,
Kelavli,,,,,,,,,,11:31,,,,,
Palasdhari,,,,,,,,,,11:38,,,,,
Karjat,,,,,,,,,,11:45,12:00,,,,
Bhivpuri road,,,,,,,,,,,12:09,,,,
Neral,,,,,,,,,,,12:16,,,,
Shelu,,,,,,,,,,,12:20,,,,
Vangani,,,,,,,,,,,12:24,,,,
Badlapur,11:41,,,12:15,,12:00,,,12:27,,12:32,,,,
Ambernath,11:49,,,12:24,12:03,12:08,,,12:36,,12:39,12:19,,,
Ulhas nagar,11:53,,,12:28,12:08,12:12,,,12:40,,12:43,12:24,,,
Vithalwadi,11:56,,,12:31,12:11,12:15,,,12:43,,12:46,12:27,,,
Kalyan,12:01,12:05,12:10,12:37,12:16,12:20,,12:24,12:48,,12:52,12:32,12:37,12:40,
Thakurli,12:08,12:12,12:16,,12:23,12:27,,12:31,,,…,12:37,12:42,12:46,
Dombivli,12:12,12:16,12:20,12:43,12:26,12:30,,12:34,12:54,,12:59,12:40,12:45,12:49,12:56
Kopar,12:16,12:20,12:24,…,12:29,12:33,,12:37,…,,…,12:43,12:48,12:52,13:00
Diwa,12:21,12:25,12:29,…,12:34,12:38,,12:42,…,,13:04,12:48,12:53,12:57,13:05
Mumbra,12:25,12:29,12:33,…,12:38,12:42,,12:46,…,,…,12:52,12:57,13:01,13:09
Kalva,12:31,12:35,12:39,…,12:44,12:48,,12:52,…,,…,12:58,13:03,13:07,13:15
Thane,12:37,12:41,12:45,13:00,12:49,12:53,12:56,12:57,13:10,,13:16,13:03,13:08,13:12,13:20
Mulund,12:42,12:46,12:50,...,12:54,12:58,13:02,,...,,13:20,13:07,13:12,13:16,13:24
Nahur,12:45,12:49,12:53,...,12:57,13:01,13:05,,...,,...,13:10,13:15,13:19,13:27
Bhandup,12:48,12:52,12:56,...,13:00,13:04,13:08,,...,,...,13:13,13:18,13:22,13:30
Kanjur marg,12:51,12:55,12:59,...,13:03,13:07,13:11,,...,,...,13:16,13:21,13:25,13:33
Vikhroli,12:54,12:58,13:02,...,13:06,13:10,13:14,,...,,...,13:19,13:24,13:28,13:36
Ghatkopar,12:58,13:02,13:06,13:15,13:10,13:14,13:18,,13:25,,13:32,13:23,13:28,13:32,13:40
Vidyavihar,13:01,13:05,13:09,...,13:13,13:17,13:21,,...,,...,13:26,13:31,13:35,13:43
Kurla,13:04,13:08,13:12,13:19,13:16,13:20,13:24,,13:29,,13:36,13:29,13:34,13:38,13:46
Sion,13:08,13:12,13:16,...,13:20,13:24,13:28,,...,,...,13:33,13:38,13:42,13:50
Matunga,13:11,13:15,13:19,...,13:23,13:27,13:31,,...,,...,13:36,13:41,13:45,13:53
Dadar,13:15,13:19,13:23,13:27,13:27,13:31,13:35,,13:38,,13:44,13:40,13:45,13:49,13:57
Parel,13:18,13:22,13:26,…,13:30,13:34,13:38,,,,…,13:43,13:48,13:52,14:00
Currey road,13:21,,13:29,…,13:33,13:37,13:41,,,,…,13:46,13:51,13:55,14:03
Chinchpokli,13:23,,13:31,…,13:35,13:39,13:43,,,,…,13:48,13:53,13:57,14:05
Byculla,13:25,,13:33,13:33,13:37,13:41,13:45,,,,13:50,13:50,13:55,13:59,14:07
Sandhurst road,13:28,,13:36,…,13:40,13:44,13:48,,,,…,13:53,13:58,14:02,14:10
Masjid,13:31,,13:39,…,13:43,13:47,13:51,,,,…,13:56,14:01,14:05,14:13
CSMT,13:34,,13:42,13:42,13:46,13:50,13:54,,,,13:59,13:59,14:04,14:08,14:16
