,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97007,96605,97009,96305,95101,97011,96607,97013,96507,95703,96003,95103,97015,97017,96609,96307,97203,95201,97019,96611,97205,96509,97021,97305,96309
,TK 3,TL 1,CK 3,A 5,S 5,CK 5,TL 3,CK 7,AN 3,K 5,SKP 3,S 7,CK 9,PK 1,TL 5,CA 1,DL 1,BL 1,PK 3,TL 7,CDL 1,KAN 3,K 7,T 3,A 7
,,,AC,,,,,,,15 C,,,,,,,,,,AC,,,,,
,,,X,,,X,,X,,X,,,,,,,,,X,X,,,,X,
CSMT,,05:28,,05:40,05:46,,05:51,,06:01,06:06,,06:10,,,06:14,,06:23,06:24,,06:30,,,06:37,06:41,06:48
Masjid,,05:31,,05:43,…,,05:54,,06:04,…,,…,,,06:17,,06:26,…,,06:33,,,06:40,06:44,06:51
Sandhurst Road,,05:33,,05:45,…,,05:56,,06:06,…,,…,,,06:19,,06:28,…,,06:35,,,06:42,06:46,06:53
Byculla,,05:36,,05:48,05:53,,05:59,,06:09,06:14,,06:17,,,06:22,,06:31,06:32,,06:38,,,06:45,06:49,06:56
Chinchpokli,,05:38,,05:50,…,,06:01,,06:11,…,,…,,,06:24,,06:33,…,,06:40,,,06:47,06:51,06:58
Currey Road,,05:40,,05:52,…,,06:03,,06:13,…,,…,,,06:26,,06:35,…,,06:42,,,06:49,06:53,07:00
Parel,,05:43,,05:55,…,,06:06,,06:16,…,,…,,06:25,06:29,,06:38,…,06:41,06:45,,,06:52,06:56,07:03
Dadar,,05:46,,05:58,05:59,,06:09,,06:19,06:21,,06:24,,06:28,06:32,,06:41,06:38,06:44,06:48,,,06:55,06:59,07:06
Matunga,,05:49,,06:01,…,,06:12,,06:22,…,,…,,06:31,06:35,,06:44,…,06:47,06:51,,,06:58,07:02,07:09
Sion,,05:52,,06:04,…,,06:15,,06:25,…,,…,,06:34,06:38,,06:47,…,06:50,06:54,,,07:01,07:05,07:12
Kurla,,05:56,,06:08,06:06,,06:19,,06:29,06:28,,06:31,,06:38,06:42,,06:51,06:45,06:54,06:58,,,07:05,07:09,07:16
Vidyavihar,,05:59,06:05,06:11,…,06:15,06:22,06:26,06:32,…,,…,06:37,06:41,06:45,06:49,06:54,…,06:57,07:01,07:04,,07:08,07:12,07:19
Ghatkopar,,06:02,06:08,06:14,06:10,06:18,06:25,06:29,06:35,06:32,,06:35,06:40,06:44,06:48,06:52,06:57,…,07:00,07:04,07:07,,07:11,07:15,07:22
Vikhroli,,06:06,06:12,06:18,…,06:22,06:29,06:33,06:39,…,,…,06:44,06:48,06:52,06:56,07:01,06:53,07:04,07:08,07:11,,07:15,07:19,07:26
Kanjur Marg,,06:09,06:15,06:21,…,06:25,06:32,06:36,06:42,…,,…,06:47,06:51,06:55,06:59,07:04,…,07:07,07:11,07:14,,07:18,07:22,07:29
Bhandup,,06:12,06:18,06:24,…,06:28,06:35,06:39,06:45,…,,…,06:50,06:54,06:58,07:02,07:07,…,07:10,07:14,07:17,,07:21,07:25,07:32
Nahur,,06:15,06:21,06:27,…,06:31,06:38,06:42,06:48,…,,…,06:53,06:57,07:01,07:05,07:10,…,07:13,07:17,07:20,,07:24,07:28,07:35
Mulund,,06:18,06:24,06:30,…,06:34,06:41,06:45,06:51,…,,…,06:56,07:00,07:04,07:08,07:13,07:01,07:16,07:20,07:23,,07:27,07:31,07:38
Thane,06:15,06:23,06:30,06:35,06:25,06:39,06:46,06:50,06:56,06:46,,06:49,07:01,07:05,07:08,07:12,07:17,07:05,07:21,07:25,07:28,,07:32,07:36,07:43
Kalva,06:20,06:28,06:36,06:40,…,06:44,06:51,06:55,07:01,…,,…,07:06,07:10,07:13,07:17,07:22,…,07:26,07:30,07:33,,07:37,,07:48
Mumbra,06:26,06:34,06:42,06:46,…,06:50,06:57,07:01,07:07,…,,…,07:12,07:16,07:19,07:23,07:28,…,07:32,07:36,07:39,,07:43,,07:54
Diva,06:30,06:38,06:46,06:50,…,06:54,07:01,07:05,07:11,…,,06:59,07:16,07:20,07:23,07:27,07:32,…,07:36,07:40,07:43,,07:47,,07:58
Kopar,06:35,06:43,06:51,06:55,…,06:59,07:06,07:10,07:16,…,,…,07:21,07:25,07:28,07:32,07:37,…,07:41,07:45,07:48,,07:52,,08:03
Dombivli,06:38,06:46,06:54,06:59,06:41,07:03,07:10,07:14,07:20,07:02,,07:05,07:25,07:29,07:32,07:35,07:41,07:20,07:45,07:49,07:52,,07:56,,08:07
Thakurli,06:42,06:50,06:57,07:03,…,07:07,07:15,07:19,07:24,…,,…,07:29,07:33,07:36,07:39,,…,07:49,07:53,,,08:00,,08:11
Kalyan,06:47,06:56,07:04,07:09,06:50,07:14,07:22,07:25,07:32,07:10,,07:15,07:35,07:39,07:43,07:47,,07:27,07:55,08:01,,08:04,08:06,,08:17
Vithalwadi,,,,7:13,6:54,,,,,,,7:19,,,,7:51,,7:31,,,,,,,8:21
