,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98356,98850,98126,99040,98128,98750,98130,98132,98134,98544,98852,98136,98138,99042,98546,98140,98752,98142,98144
,BR 52,B 50,PL 98,TPL 40,PL 100,GN 50,PLVD 30,PL 102,PL 104,V 38,B 52,PL 106,PLVD 32,TPL 42,V 40,PL 108,GN 52,PL 110,PL 112
,,,,,,,,,,X,,X,,,X,,,,
Panvel,,,14:20,14:24,14:31,,14:35,14:41,14:45,,,14:56,15:00,15:04,,15:08,,15:16,15:20
Khandeshwar,,,14:25,14:29,14:36,,14:40,14:46,14:50,,,15:01,15:05,15:09,,15:13,,15:21,15:25
Mansarovar,,,14:28,14:32,14:39,,14:43,14:49,14:53,,,15:04,15:08,15:12,,15:16,,15:24,15:28
Kharghar,,,14:31,14:35,14:42,,14:46,14:52,14:56,,,15:07,15:11,15:15,,15:19,,15:27,15:31
Belapur CBD,14:28,,14:35,14:39,14:46,,14:50,14:56,15:00,,,15:11,15:15,15:19,,15:23,,15:31,15:35
Seawood Darave,14:32,,14:39,14:43,14:50,,14:54,15:00,15:04,,,15:15,15:19,15:23,,15:27,,15:35,15:39
Nerul,14:35,,14:42,14:47,14:53,,14:57,15:03,15:07,,,15:18,15:22,15:27,,15:30,,15:38,15:42
Juinagar,14:38,,14:45,,14:56,,15:00,15:06,15:10,,,15:21,15:25,,,15:33,,15:41,15:45
Sanpada,14:41,,14:48,,14:59,,15:03,15:09,15:13,,,15:24,15:28,,,15:36,,15:44,15:48
Vashi,14:43,,14:50,,15:01,,15:05,15:11,15:15,15:19,,15:26,15:30,,15:33,15:38,,15:46,15:50
Mankhurd,14:51,,14:58,,15:09,,15:13,15:19,15:23,15:27,,15:34,15:38,,15:41,15:46,,15:54,15:58
Govandi,14:54,,15:01,,15:12,,15:16,15:22,15:26,15:30,,15:37,15:41,,15:44,15:49,,15:57,16:01
Chembur,14:56,,15:03,,15:14,,15:18,15:24,15:28,15:32,,15:39,15:43,,15:46,15:51,,15:59,16:03
Tilaknagar,14:59,,15:06,,15:17,,15:21,15:27,15:31,15:35,,15:42,15:46,,15:49,15:54,,16:02,16:06
Kurla,15:02,,15:09,,15:20,,15:24,15:30,15:34,15:38,,15:45,15:49,,15:52,15:57,,16:05,16:09
Chunabhatti,15:05,,15:12,,15:23,,15:27,15:33,15:37,15:41,,15:48,15:52,,15:55,16:00,,16:08,16:12
GTB Nagar,15:08,,15:15,,15:26,,15:30,15:36,15:40,15:44,,15:51,15:55,,15:58,16:03,,16:11,16:15
Goregaon,,,,,,14:59,,,,,,,,,,,15:35,,
