,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97327,97329,95905,97043,95209,97503,97609,95601,95305,97045,97213,97331,95503,95211,97611,97047,95603,95111,97333,97215,97049,95405,97051,95605,97335
,PT 3,T 27,T 29,K 29,BL 9,G 3,C 9,TL 11,A 11,TK 5,DL 9,T 31,AN 9,BL 11,C 11,K 31,TL 13,S 15,T 33,PDL1,K 33,N 11,K 35,TL 15,T 35
,,,,,,X,X,,,,,,,,X,,,,X,,,,,,X
CSMT,,09:01,09:05,09:05,09:09,09:09,09:12,09:12,09:15,,09:16,09:20,09:20,09:23,09:23,09:26,09:27,09:30,09:30,,09:34,09:34,09:37,09:38,09:41
Masjid,,09:04,…,09:08,…,09:12,09:15,…,…,,09:19,09:23,…,…,09:26,09:29,…,…,09:33,,09:37,…,09:40,…,09:44
Sandhurst Road,,09:06,…,09:10,…,09:14,09:17,…,…,,09:21,09:25,…,…,09:28,09:31,…,…,09:35,,09:39,…,09:42,…,09:46
Byculla,,09:09,…,09:13,09:16,09:17,09:20,09:20,09:23,,09:24,09:28,09:27,09:30,09:31,09:34,09:34,09:38,09:38,,09:42,09:42,09:45,09:46,09:49
Chinchpokli,,09:11,…,09:15,…,09:19,09:22,…,…,,09:26,09:30,…,…,09:33,09:36,…,…,09:40,,09:45,…,09:48,…,09:51
Currey Road,,09:13,…,09:17,…,09:21,09:24,…,…,,09:28,09:32,…,…,09:35,09:38,…,…,09:42,,09:48,…,09:51,…,09:54
Parel,09:12,09:16,…,09:20,…,09:24,09:27,…,…,,09:31,09:35,…,…,09:38,09:41,…,…,09:45,09:48,09:51,…,09:54,…,09:57
Dadar,09:15,09:19,09:17,09:23,09:22,09:27,09:30,09:26,09:29,,09:34,09:38,09:33,09:36,09:41,09:44,09:40,09:44,09:48,09:51,09:54,09:48,09:57,09:52,10:00
Matunga,09:18,09:22,…,09:26,…,09:30,09:33,…,…,,09:37,09:41,…,…,09:44,09:47,…,…,09:51,09:54,09:57,…,10:00,…,10:03
Sion,09:21,09:25,…,09:29,…,09:33,09:36,…,…,,09:40,09:44,…,…,09:47,09:50,…,…,09:54,09:57,10:00,…,10:03,…,10:06
Kurla,09:25,09:29,09:24,09:33,09:29,09:37,09:40,09:33,09:36,,09:44,09:48,09:40,09:43,09:51,09:54,09:47,09:51,09:58,10:01,10:04,09:55,10:07,09:59,10:10
Vidyavihar,09:28,09:32,…,09:36,…,09:40,,…,…,,09:47,09:51,…,…,,09:57,…,…,10:01,10:04,10:07,…,10:10,…,10:13
Ghatkopar,09:31,09:35,…,09:39,09:33,09:43,,09:37,09:40,,09:50,09:54,09:44,09:47,,10:00,09:51,09:55,10:04,10:07,10:10,09:59,10:13,10:03,10:16
Vikhroli,09:35,09:39,…,09:43,09:37,,,…,…,,09:54,09:58,…,…,,10:04,09:55,…,10:08,10:11,10:14,…,10:17,…,10:20
Kanjur Marg,09:38,09:42,…,09:46,…,,,…,…,,09:57,10:01,…,…,,10:07,…,…,10:11,10:14,10:17,…,10:20,…,10:23
Bhandup,09:41,09:45,…,09:49,…,,,09:45,09:48,,10:00,10:04,09:52,09:55,,10:10,,10:05,10:14,10:17,10:20,…,10:23,…,10:26
Nahur,09:44,09:49,…,09:52,…,,,…,…,,10:03,10:07,…,…,,10:13,…,…,10:17,10:20,10:23,…,10:26,…,10:29
Mulund,09:47,09:53,09:40,09:57,09:45,,,…,…,,10:06,10:10,…,…,,10:16,10:04,…,10:20,10:23,10:26,10:12,10:29,10:16,10:32
Thane,09:53,10:00,09:46,10:03,09:51,,,09:55,09:58,10:06,10:11,10:16,10:02,10:05,,10:20,10:10,10:14,10:25,10:28,10:31,10:17,10:34,10:21,10:38
Kalva,,,,10:08,…,,,…,…,10:11,10:16,,…,…,,10:25,…,…,,10:33,10:36,…,10:40,…,
Mumbra,,,,10:14,…,,,…,…,10:17,10:22,,…,…,,10:31,…,…,,10:39,10:42,…,10:46,…,
Diva,,,,10:18,…,,,…,…,10:21,10:26,,…,…,,10:35,…,…,,10:43,10:46,10:28,10:50,10:32,
Kopar,,,,10:23,…,,,…,…,10:26,10:31,,…,…,,10:40,…,…,,10:48,10:51,…,10:55,…,
Dombivli,,,,10:26,10:06,,,10:11,10:15,10:29,10:34,,10:18,10:21,,10:43,10:25,10:30,,10:51,10:54,10:35,10:58,10:39,
Thakurli,,,,10:30,…,,,…,…,10:33,,,…,…,,10:47,…,…,,,10:58,…,11:02,…,
Kalyan,,,,10:37,10:13,,,10:18,10:22,10:40,,,10:26,10:29,,10:53,10:33,10:38,,,11:04,10:43,11:08,10:47,
Vithalwadi,,,,,10:17,,,,10:26,,,,,10:34,,,,10:42,,,,,,,
Ulhas Nagar,,,,,10:20,,,,10:29,,,,,10:37,,,,10:45,,,,,,,
Ambernath,,,,,10:24,,,,10:34,,,,,10:41,,,,10:49,,,,,,,
Badlapur,,,,,10:32,,,,,,,,,10:49,,,,10:56,,,,,,,
Vangani,,,,,,,,,,,,,,,,,,11:04,,,,,,,
Shelu,,,,,,,,,,,,,,,,,,11:08,,,,,,,
Neral,,,,,,,,,,,,,,,,,,11:12,,,,,,,
Bhivpuri Road,,,,,,,,,,,,,,,,,,11:19,,,,,,,
Karjat,,,,,,,,,,,,,,,,,,11:28,,,,,,,
Palasdhari,,,,,,,,,,,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,,,,,,,,,,,
Shahad,,,,,,,,10:23,,,,,10:32,,,,10:38,,,,,10:48,,10:52,
Ambivli,,,,,,,,10:26,,,,,10:35,,,,10:41,,,,,10:51,,10:55,
Titwala,,,,,,,,10:35,,,,,10:41,,,,10:50,,,,,10:57,,11:04,
Khadavli,,,,,,,,,,,,,10:48,,,,,,,,,11:04,,,
Vasind,,,,,,,,,,,,,10:55,,,,,,,,,11:11,,,
Asangaon,,,,,,,,,,,,,11:05,,,,,,,,,11:20,,,
Atgaon,,,,,,,,,,,,,,,,,,,,,,11:29,,,
Thansit,,,,,,,,,,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,,,,,,,,11:39,,,
Umbermalli,,,,,,,,,,,,,,,,,,,,,,11:45,,,
