,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97219,95115,97345,95219,97619,97059,95607,97347,95313,95221,96513,97061,97349,95609,97621,96621,97351,97623,95117,96009,96109,97353,95315,97063,96623
,DL 13,S 19,T 47,BL 19,C 19,K 43,TL 19,T 49,A 19,DBL 1,TAN 3,PK 11,T 51,TL 21,C 21,TL 23,T 53,C 23,S 21,SKP 9,TS 5,T 55,A 21,K 45,TL 25
,,,,,,,,,,AC,,,,,,,,,,,,,,,
,,,X,,X,,,X,,X,,,,,,,,,,,,,,,
CSMT,10:34,10:36,10:39,10:40,10:44,10:48,10:48,10:51,10:52,,,,10:56,10:58,11:00,11:04,11:07,11:12,11:14,,,11:16,11:18,11:20,11:24
Masjid,10:37,…,10:42,…,10:47,10:51,…,10:54,…,,,,10:59,…,11:03,11:07,11:10,11:15,…,,,11:19,…,11:23,11:27
Sandhurst Road,10:39,…,10:44,…,10:49,10:53,…,10:56,…,,,,11:01,…,11:05,11:09,11:12,11:17,…,,,11:21,…,11:25,11:29
Byculla,10:42,10:44,10:47,10:47,10:52,10:56,10:55,10:59,10:59,,,,11:04,11:05,11:08,11:12,11:15,11:20,11:21,,,11:24,11:25,11:28,11:32
Chinchpokli,10:44,…,10:49,…,10:54,10:58,…,11:01,…,,,,11:06,…,11:10,11:14,11:17,11:22,…,,,11:26,…,11:30,11:34
Currey Road,10:46,…,10:51,…,10:56,11:00,…,11:03,…,,,,11:08,…,11:12,11:16,11:19,11:24,…,,,11:28,…,11:32,11:36
Parel,10:51,…,10:55,…,10:59,11:03,…,11:06,…,,,11:09,11:12,…,11:15,11:19,11:22,11:27,…,,,11:31,…,11:35,11:39
Dadar,10:55,10:50,10:59,10:53,11:02,11:06,11:01,11:09,11:05,11:08,,11:12,11:15,11:11,11:19,11:22,11:25,11:30,11:27,,,11:34,11:31,11:38,11:42
Matunga,10:59,…,11:03,…,11:06,11:10,…,11:13,…,…,,11:16,11:19,…,11:22,11:25,11:28,11:33,…,,,11:37,…,11:41,11:45
Sion,11:02,…,11:06,…,11:09,11:13,…,11:16,…,…,,11:19,11:22,…,11:25,11:28,11:31,11:36,…,,,11:40,…,11:44,11:48
Kurla,11:06,10:57,11:10,11:00,11:13,11:17,11:08,11:20,11:12,11:15,,11:23,11:26,11:18,11:29,11:32,11:35,11:40,11:34,,,11:44,11:38,11:48,11:52
Vidyavihar,11:09,…,11:13,…,,11:20,…,11:23,…,…,,11:26,11:29,…,,11:35,11:38,,…,,,11:47,…,11:51,11:55
Ghatkopar,11:12,11:01,11:16,11:04,,11:23,11:12,11:26,11:16,11:19,,11:29,11:32,11:22,,11:38,11:41,,11:38,,,11:50,11:42,11:54,11:58
Vikhroli,11:16,…,11:20,11:08,,11:27,…,11:30,…,…,,11:33,11:36,…,,11:42,11:45,,…,,,11:54,…,11:58,12:02
Kanjur Marg,11:19,…,11:23,…,,11:30,…,11:33,…,…,,11:36,11:39,…,,11:45,11:48,,…,,,11:57,…,12:01,12:05
Bhandup,11:22,11:09,11:26,,,11:33,,11:36,…,…,,11:39,11:42,…,,11:48,11:51,,…,,,12:00,11:50,12:04,12:08
Nahur,11:25,…,11:29,…,,11:36,…,11:39,…,…,,11:42,11:45,…,,11:51,11:54,,…,,,12:03,…,12:07,12:11
Mulund,11:28,…,11:32,11:16,,11:39,11:24,11:42,…,…,,11:45,11:48,11:34,,11:54,11:57,,11:49,,,12:06,…,12:10,12:14
Thane,11:33,11:17,11:37,11:21,,11:45,11:28,11:48,11:31,11:34,11:49,11:52,11:55,11:40,,12:00,12:03,,11:53,,12:05,12:11,11:58,12:15,12:19
Kalva,11:37,…,,…,,11:50,…,,…,…,11:54,11:57,,11:45,,12:06,,,…,,12:10,,…,12:20,12:24
Mumbra,11:43,…,,…,,11:56,…,,…,…,12:00,12:03,,11:51,,12:12,,,…,,12:16,,…,12:26,12:30
Diva,11:47,…,,…,,12:00,…,,…,…,12:04,12:07,,11:55,,12:16,,,…,,12:20,,12:09,12:30,12:34
Kopar,11:52,…,,…,,12:05,…,,…,…,12:09,12:12,,12:00,,12:21,,,…,,12:25,,…,12:35,12:39
Dombivli,11:55,11:32,,11:36,,12:08,11:44,,11:47,11:50,12:13,12:16,,12:03,,12:24,,,12:08,,12:28,,12:15,12:38,12:43
Thakurli,,…,,…,,12:12,…,,…,…,12:18,12:21,,12:07,,12:28,,,…,,12:32,,…,12:42,12:47
