Tilaknagar,09:26,,09:29,09:33,,09:37,09:40,09:44,,09:53,,09:57,10:01,10:05,,10:10,10:14,10:18
Kurla,09:29,,09:32,09:36,,09:40,09:43,09:47,,09:56,,10:00,10:04,10:08,,10:13,10:17,10:21
Chunabhatti,09:32,,09:35,09:39,,09:43,09:46,09:50,,09:59,,10:03,10:07,10:11,,10:16,10:20,10:24
GTB Nagar,09:35,,09:38,09:42,,09:46,09:49,09:53,,10:02,,10:06,10:10,10:14,,10:19,10:23,10:27
Goregaon,,,,,09:13,,,,,,09:30,,,,09:46,,,
Ramnagar,,,,,09:17,,,,,,09:34,,,,09:50,,,
Jogeshwari,,,,,09:20,,,,,,09:37,,,,09:53,,,
Andheri,,,,,09:24,,,,,,09:41,,,,09:57,,,
Vileparle,,,,,09:28,,,,,,09:45,,,,10:01,,,
Santacruz,,,,,09:31,,,,,,09:48,,,,10:04,,,
Khar Road,,,,,09:34,,,,,,09:51,,,,10:07,,,
Bandra,,09:27,,,09:38,,,,09:51,,09:57,,,,10:11,,,
Mahim Jn,,09:31,,,09:42,,,,09:55,,10:01,,,,10:14,,,
King's Circle,,09:34,,,09:45,,,,09:58,,10:04,,,,10:17,,,
Vadala Road,09:41,09:41,09:44,09:48,09:52,09:52,09:56,10:00,10:04,10:08,10:10,10:12,10:16,10:20,10:23,10:26,10:30,10:34
Sewri,,09:44,09:47,09:51,09:55,,09:59,10:03,10:07,10:11,,10:15,10:19,10:23,10:26,10:29,10:33,
Cotton Green,,09:47,09:50,09:54,09:58,,10:02,10:06,10:10,10:14,,10:18,10:22,10:26,10:29,10:32,10:36,
Reay Road,,09:49,09:52,09:56,10:00,,10:04,10:08,10:12,10:16,,10:20,10:24,10:28,10:31,10:34,10:38,
Dockyard Road,,09:52,09:55,09:59,10:03,,10:07,10:11,10:15,10:19,,10:23,10:27,10:31,10:34,10:37,10:41,
Sandhurst Road,,09:54,09:57,10:01,10:05,,10:09,10:13,10:17,10:21,,10:25,10:29,10:33,10:36,10:39,10:43,
Masjid,,09:56,09:59,10:03,10:07,,10:11,10:15,10:19,10:23,,10:27,10:31,10:35,10:38,10:41,10:45,
Mumbai CSMT,,09:59,10:02,10:06,10:10,,10:14,10:18,10:22,10:26,,10:30,10:34,10:38,10:41,10:45,10:48,
