Lowjee,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Palasdhari,,,,,,,,,,,,,,,
Karjat,,,,,,,,,16:00,,,,,,
Bhivpuri road,,,,,,,,,16:09,,,,,,
Neral,,,,,,,,,16:16,,,,,,
Shelu,,,,,,,,,16:20,,,,,,
Vangani,,,,,,,,,16:24,,,,,,
Badlapur,,,,16:18,,,,,16:32,,,,,,
Ambernath,16:21,,,16:26,,,,,16:39,,,,16:45,,
Ulhas nagar,16:26,,,16:30,,,,,16:43,,,,16:50,,
Vithalwadi,16:29,,,16:33,,,,,16:46,,,,16:53,,
Kalyan,16:34,,16:17,16:38,16:42,,16:48,16:24,16:54,,,,16:58,,17:03
Thakurli,,,16:23,,,,,16:30,,,,,,,
Dombivli,16:40,,16:26,16:45,16:50,,16:55,16:33,17:00,,16:38,,17:04,,17:09
Kopar,…,,16:29,…,…,,…,16:36,…,,16:42,,…,,…
Diwa,…,,16:34,…,…,,17:00,16:41,…,,16:47,,…,,…
Mumbra,…,,16:38,…,…,,…,16:45,…,,16:51,,…,,…
Kalva,…,,16:44,…,…,,…,16:51,…,,16:57,,…,,…
Thane,16:55,16:43,16:49,17:00,17:05,,17:10,16:56,17:15,16:59,17:02,17:06,17:19,17:10,17:24
Mulund,...,16:48,16:53,17:04,17:09,,...,17:01,17:19,17:05,17:08,17:11,...,17:15,...
Nahur,...,16:51,16:56,...,...,,...,17:04,...,17:08,17:11,17:14,...,17:18,
Bhandup,17:03,16:54,16:59,...,...,,...,17:07,...,17:11,17:14,17:17,17:25,17:21,...
Kanjur marg,...,16:57,17:02,...,...,,...,17:10,...,17:14,17:17,17:20,...,17:24,...
Vikhroli,...,17:00,17:05,...,...,,...,17:13,...,17:17,17:20,17:23,...,17:27,...
Ghatkopar,17:11,17:04,17:09,17:15,17:20,,17:25,17:17,17:30,17:21,17:24,17:27,17:33,17:31,17:37
Vidyavihar,...,17:07,17:12,…,...,,...,17:20,...,17:24,17:27,17:30,...,17:34,...
Kurla,17:15,17:10,17:15,17:19,17:24,17:19,17:29,17:23,17:34,17:27,17:30,17:33,17:37,17:37,17:41
Sion,...,17:14,17:19,...,...,17:23,...,17:27,...,17:31,17:34,17:37,...,17:41,...
Matunga,...,17:17,17:22,...,...,17:26,...,17:30,...,17:34,17:37,17:40,...,17:44,...
Dadar,17:23,17:20,17:26,17:27,17:32,17:29,17:37,17:33,17:42,17:37,17:40,17:43,17:45,17:47,17:49
Parel,…,17:23,17:29,…,…,17:32,…,17:36,…,17:40,17:43,17:46,,17:50,…
Currey road,…,17:26,,…,…,17:35,…,17:39,…,17:43,17:46,17:49,,,…
Chinchpokli,…,17:28,,…,…,17:37,…,17:41,…,17:45,17:48,17:51,,,…
Byculla,17:29,17:30,,17:33,17:38,17:39,17:43,17:43,17:48,17:47,17:50,17:53,,,17:55
Sandhurst road,…,17:33,,…,…,17:42,…,17:46,…,17:50,17:53,17:56,,,…
Masjid,…,17:36,,…,…,17:45,…,17:49,…,17:53,17:56,17:59,,,…
CSMT,17:37,17:40,,17:41,17:46,17:48,17:51,17:53,17:57,17:57,18:00,18:03,,,18:06
