TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
96105,08:37,,,,,,,,,,,,,,,,,,,,,,,,,
96603,08:41,,,,,,,,,,,,,,,,,,,,,,,,,
96107,08:45,,,,,,,,,,,,,,,,,,,,,,,,,
96503,,,,,,,,,,,,,,,,,,,,,,,,,,
96201,,,,,,,,,,,,,,,,,,,,,,,,,,
97003,,,,,,,,,,,,,,,,,,,,,,,,,,
97005,08:52,,,,,,,,,,,,,,,10:17,,,,,,,,,,
96405,08:53,,,,,,,,,,,,,,,,,,,,,,,,,
96505,,,,,,,,,,,,,,09:58,,,,,,,,,,,,
96303,,,,,,,,,,,,,,,,,,10:40,,,11:05,,,,,
95701,09:01,,,,,,,,,,,,,,,,,,,,,,,,,
96301,,,,09:12,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,,,,,,,,,,,,,,,,,,,,,,,,,,
96101,,,,,,,,,,,,,,10:37,,,,,,,,,,,,
97301,,,,,,,,,,,,,,,,10:32,,,,,,,,,,
96001,,,,,,,,,,,,,,,,,,,,,,,,,,
96501,,,,,,,,,,,,,,,,,,,,,,,,,,
96103,,,,,,,,,,,,,,10:18,,,,,,,10:23,,,,,
97001,,,,,,,,,,,,,,,,,,,,,,,,,,
96601,,,,,,,,,,,,,,,,,,,,,,,,,,
96403,,,,,,,,,,,,,,,,,,,,,,,,,,
97201,,,,,,,,,,,,,,10:26,,,,,,,10:32,,,11:05,,
95001,,,,,,,,,,,,,,,,10:49,,,,,,,,,,
97303,,,,,,,,,,,,,,,,,,,,,,,,,,
96105,,,,,,,,,,,,,,10:53,,,,,,,,,,,,
