TRAIN,CSMT,MasjidSandhurst Road,BycullaChinchpokli,Currey RoadParel,DadarMatunga,SionKurla,VidyaviharGhatkopar,VikhroliKanjur Marg,BhandupNahur,MulundThane,KalvaMumbra,DivaKopar,DombivliThakurli,KalyanVithalwadi,Ulhas NagarAmbernath,BadlapurVangani,SheluNeral,Bhivpuri RoadKarjat,PalasdhariKelavli,DolavliLowjee,KhopoliShahad,AmbivliTitwala,KhadavliVasind,AsangaonAtgaon,ThansitKhardi,UmbermalliKasara
96505,,,,19:56,,,,,,,,,,,,,,,,,,,,,,
96303,,,,,,,,,,,,,,,,,,,,,,,,,,
95701,19:46,,,,,,,,,,,,,20:53,,,,,,,20:58,,,,,
96301,19:50,,,,,,,,,,,,,,,,,,,,,,,,,
97601,19:50,,,,,,,,,,,,,,,21:41,,,,,,,,,,
96401,19:55,,,,,,,,,,,,,,,,,,,,,,,,,
96101,20:00,,,,,,,,,,,,,21:17,,,,,,,21:21,,,21:52,,
97301,20:00,,,,,,,,,,,,,21:28,,,,,,,,,,,,
96001,20:04,,,,,,,,,,,,,21:33,,,,,,,21:37,,,,,
96501,,,,,,,,,,,,,,,,,,,,,,,,,,
96103,20:13,,,,,,,,,,,,,,,,,,,,,,,,,
97001,,,,20:32,,,,,,,,,,21:45,,,,,,,,,,,,
96601,,,,,,,,,,,,,21:44,,,,,,,,,,,,,
96403,20:26,,,,,,,,,,,,,21:58,,,,,,,,,,,,
97201,,,,,,,,,,,,,,,,,,,,,,,,,,
95001,20:30,,,,,,,,,,,,,22:02,,,,,,,22:06,,,,,
97303,,,,,,,,,,,,,,,,,,,,,,,,,,
96105,20:38,,,,,,,,,,,,,,,,,,,,,,,,,
96603,20:41,,,,,,,,,,,,,,,,,,,,,,,,,
96107,,,,20:59,,,,,,,,,,22:14,,,,,,,,,,,,
96503,20:41,,,,,,,,,,,,,,,,,,,,23:06,,,,,
96201,20:44,,,,,,,,,,,,,21:52,,,,,,,21:57,,,,,
97003,20:47,,,,,,,,,,,,,,,,,,,,,,,,,
97005,,,,,,,,,,,,,22:08,,,,,,,,,,,,,
96405,20:52,,,,,,,,,,,,,,,,,,,,,,,,,
96505,20:56,,,,,,,,,,,,,22:25,,,,,,,22:29,,,23:00,,
96303,,,,,,,,,,,,,,22:29,,,,,,,,,,,,
95701,21:04,,,,,,,,,,,,,,,,,,,,,,,,,
96301,21:08,,,,,,,,,,,,,,,22:56,,,,,,,,,,
97601,21:12,,,,,,,,,,,,22:31,,,,,,,,,,,,,
96401,,,,,,,,,,,,,,22:45,,,,,,,,,,,,
96101,21:20,,,,,,,,,,,,,22:49,,,,,,,22:53,,,,,
97301,21:26,,,,,,,,,,,,,,,,,,,,,,,,,
96001,,,,21:39,,,,,,,,,,22:53,,,,,,,,,,,,
96501,21:28,,,,,,,,,,,,,,,23:17,,,,,,,,,,
96103,21:32,,,,,,,,,,,,,23:03,,,,,,,23:08,,,,,
97001,,,,,,,,,,,,,,,,,,,,,,,,,,
96601,21:40,,,,,,,,,,,,,,,,,,,,,,,,,
96403,,,,,,,22:10,,,,,,,23:05,,,,,,,,,,,,
97201,21:44,,,,,,,,,,,,,,,23:33,,,,,,,,,,
95001,,,,22:03,,,,,,,,,,23:17,,,,,,,,,,,,
97303,21:52,,,,,,,,,,,,,23:22,,,,,,,,,,,,
96105,,,,,,22:23,,,,,,,,23:26,,,,,,,,,,,,
96603,,,,,,,,,,,,,,,,,,,,,,,,,,
96107,21:58,,,,,,,,,,,,,,,,,,,,,,,,,
96503,22:00,,,,,,,,,,,,,23:30,,,,,,,23:34,,,,,
96201,,,,,,,,,,,,,,23:10,,,,,,,,,,,,
97003,22:04,,,,,,,,,,,,,23:34,,,,,,,,,,,,
97005,22:08,,,,,,,,,,,,,,,,,,,,,,,,,
96405,,,,,,,,,,,,,,23:44,,,,,,,,,,,,
96505,,,,,,,,,,,,,,,,,,,,,,,,,,
96303,22:24,,,,,,,,,,,,,23:52,,,,,,,,,,,,
95701,22:25,,,,,,,,,,,,,,,23:52,,,,,,,,,,
96301,22:28,,,,,,,,,,,,,,,,,,,,,,,,,
97601,,,,,,,,,,,,,,,,,,,,,,,,,,
96401,,,,22:49,,,,,,,,,,,,,,,,,,,,,,
96101,22:38,,,,,,,,,,,,,,,,,,,,,,,,,
97301,22:42,,,,,,,,,,,,,,,,,,,,,,,,,
96001,22:46,,,,,,,,,,,,,,,,,,,,,,,,,
96501,22:47,,,,,,,,,,,,,00:01,,,,,,,,,,,,
96103,22:50,,,,,,,,,,,00:05,,00:18,,,,,,,,,,,,
97001,,,,,,,,,,,,,,,,,,,,,,,,,,
96601,,,,23:13,,,,,,,,,,,,,,,,,,,,,,
96403,23:00,,,,,,,,,,,,,,,,,,,,,,,,,
97201,23:04,,,,,,,,,,,,,,,,,,,,,,,,,
95001,23:08,,,,,,,,,,,,,,,,,,,,,,,,,
97303,23:12,,,,,,,,,,,,,,,,,,,,,,,,,
96105,23:16,,,,,,,,00:03,,,,,00:44,,,,,,,,,,,,
96603,23:18,,,,,,,,,,,,,,,,,,,,,,,,,
96107,,,,,,,,,,,,,,,,,,,,,,,,,,
96503,23:30,,,,,,,,,,,,,,,,,,,,,,,,,
96201,,,,,,,,,,,,,,,,,,,,,,,,,,
97003,23:38,,,,,,,,,,,,,,,,,,,,,,,,,
97005,23:42,,,,,,,,,,,,,01:11,,,,,,,,,,,,
96405,23:46,,,,,,,,,,,,,,,,,,,,,,,,,
96505,23:51,,,,,,,,,,,,,,,,,,,,,,,,,
96303,23:55,,,,,,,,,,,,,,,,,,,,,,,,,
95701,23:58,,,,,,,,,,,,,,,,,,,,,,,,,
