Bhivpuri road,,,,,,,,,,,,,,,
Neral,,,,,,,,,,,,,,,
Shelu,,,,,,,,,,,,,,,
Vangani,,,,,,,,,,,,,,,
Badlapur,,,,,13:48,,,,,,,14:11,,,
Ambernath,,,,,13:56,13:35,,,,,,14:19,,14:24,
Ulhas nagar,,,,,14:00,13:40,,,,,,14:23,,14:29,
Vithalwadi,,,,,14:03,13:43,,,,,,14:26,,14:32,
Kalyan,13:35,,14:02,13:43,14:09,13:48,,13:52,13:55,,14:04,14:31,14:08,14:37,14:11
Thakurli,13:41,,…,13:49,,13:54,,13:58,14:01,,14:10,,14:13,,14:17
Dombivli,13:44,13:48,14:09,13:52,14:15,13:57,,14:01,14:04,14:08,14:13,14:37,14:16,14:44,14:20
Kopar,13:47,13:52,…,13:56,…,14:00,,14:04,14:07,14:12,14:16,…,14:19,…,14:23
Diwa,13:52,13:57,…,14:01,…,14:05,,14:09,14:12,14:17,14:21,…,14:24,14:49,14:28
Mumbra,13:56,14:01,…,14:05,…,14:09,,14:13,14:16,14:21,14:25,…,14:28,…,14:32
Kalva,14:02,14:07,…,14:11,…,14:15,,14:19,14:22,14:27,14:31,…,14:34,…,14:38
Thane,14:07,14:12,14:24,14:16,14:30,14:20,14:22,14:24,14:28,14:32,14:36,14:52,14:39,15:00,14:43
Mulund,14:12,14:17,...,14:21,...,14:25,14:28,,14:32,14:37,14:41,14:56,14:44,...,14:48
Nahur,14:15,14:20,...,14:24,...,14:28,14:31,,14:35,14:40,14:44,...,14:47,...,14:51
Bhandup,14:18,14:23,...,14:27,...,14:31,14:34,,14:38,14:43,14:47,...,14:50,...,14:54
Kanjur marg,14:21,14:26,...,14:30,...,14:34,14:37,,14:41,14:46,14:50,...,14:53,...,14:57
Vikhroli,14:24,14:29,...,14:33,...,14:37,14:40,,14:44,14:49,14:53,...,14:56,...,15:00
Ghatkopar,14:28,14:33,14:40,14:37,14:46,14:41,14:44,,14:48,14:53,14:57,15:08,15:00,15:15,15:04
Vidyavihar,14:31,14:36,...,14:40,...,14:44,14:47,,14:51,14:56,15:00,...,15:03,...,15:07
Kurla,14:34,14:39,14:44,14:43,14:51,14:47,14:50,,14:54,14:59,15:03,15:12,15:06,15:19,15:10
Sion,14:38,14:43,...,14:47,...,14:51,14:54,,14:58,15:03,15:07,...,15:10,...,15:14
Matunga,14:41,14:46,...,14:50,...,14:54,14:57,,15:01,15:06,15:10,...,15:13,...,15:17
Dadar,14:45,14:50,14:52,14:54,14:59,14:58,15:01,,15:05,15:10,15:14,15:20,15:17,15:27,15:21
Parel,14:48,14:53,…,14:57,,15:01,15:04,,15:08,15:13,15:17,…,15:20,…,15:24
Currey road,14:51,,…,15:00,,15:04,15:07,,15:11,15:16,,…,15:23,…,15:27
Chinchpokli,14:53,,…,15:02,,15:06,15:09,,15:13,15:18,,…,15:25,…,15:29
Byculla,14:55,,14:58,15:04,,15:08,15:11,,15:15,15:20,,15:26,15:27,15:33,15:31
Sandhurst road,14:58,,…,15:07,,15:11,15:14,,15:18,15:23,,…,15:30,…,15:34
Masjid,15:01,,…,15:10,,15:14,15:17,,15:21,15:26,,…,15:33,…,15:37
CSMT,15:04,,15:08,15:13,,15:17,15:20,,15:24,15:30,,15:35,15:36,15:41,15:41
