,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97035,97317,97037,95107,97319,97211,96617,97321,95301,97323,97603,95403,95709,97039,97501,97605,95303,97325,95903,97041,95207,97607,95711,96005,95109
,PK 7,T 17,K 21,S 11,T 19,DL 7,TTL 5,PT 1,DA 1,T 21,C 3,N 9,K 23,CK 13,G 1,C 5,A 9,T 23,T 25,K 25,BL 7,C 7,K 27,SKP 5,S 13
,,,,,,,,,,,,,15 C,,,,,,,AC,,,AC,,
,,,,,X,,,X,,,X,,X,X,,,,X,X,X,,,X,,
CSMT,,08:08,08:12,08:16,08:16,08:20,,,,08:26,08:29,08:33,08:36,,08:37,08:41,08:45,08:45,08:48,08:49,08:52,08:53,08:56,,09:01
Masjid,,08:11,08:15,…,08:19,08:23,,,,08:29,08:32,…,…,,08:40,08:44,…,08:48,…,08:52,…,08:56,…,,…
Sandhurst Road,,08:13,08:17,…,08:21,08:25,,,,08:31,08:34,…,…,,08:42,08:46,…,08:50,…,08:54,…,08:58,…,,…
Byculla,,08:16,08:20,08:24,08:24,08:28,,,,08:34,08:37,08:42,08:45,,08:45,08:49,08:53,08:53,08:56,08:57,09:00,09:01,09:03,,09:08
Chinchpokli,,08:18,08:22,…,08:26,08:30,,,,08:36,08:39,…,…,,08:47,08:51,…,08:55,…,08:59,…,09:03,…,,…
Currey Road,,08:20,08:24,…,08:28,08:32,,,,08:38,08:41,…,…,,08:49,08:53,…,08:57,…,09:01,…,09:05,…,,…
Parel,08:17,08:23,08:27,…,08:31,08:35,,08:38,,08:41,08:44,…,…,,08:52,08:56,…,09:00,…,09:04,…,09:08,…,,…
Dadar,08:22,08:26,08:30,08:32,08:34,08:38,,08:41,08:42,08:44,08:47,08:48,08:51,,08:55,08:59,09:00,09:03,09:03,09:07,09:07,09:11,09:10,,09:14
Matunga,08:25,08:29,08:33,…,08:37,08:41,,08:45,…,08:48,08:51,…,…,,08:59,09:03,…,09:06,…,09:10,…,09:14,…,,…
Sion,08:28,08:32,08:36,…,08:40,08:44,,08:48,…,08:51,08:54,…,…,,09:02,09:06,…,09:09,…,09:13,…,09:17,…,,…
Kurla,08:32,08:36,08:40,08:39,08:44,08:48,,08:52,08:49,08:55,08:59,08:55,08:58,,09:06,09:10,09:07,09:13,09:10,09:17,09:14,09:21,09:17,,09:21
Vidyavihar,08:35,08:39,08:43,…,08:47,08:51,,08:55,…,08:58,,…,…,09:01,09:09,,…,09:16,…,09:20,…,,…,,…
Ghatkopar,08:38,08:42,08:46,08:43,08:50,08:54,,08:58,08:53,09:01,,08:59,09:02,09:04,09:12,,09:11,09:20,…,09:24,09:18,,09:21,,09:25
Vikhroli,08:42,08:46,08:50,…,08:54,08:58,,09:02,…,09:05,,…,…,09:08,,,…,09:24,09:18,09:28,…,,…,,…
Kanjur Marg,08:45,08:49,08:53,…,08:57,09:01,,09:05,…,09:08,,…,…,09:11,,,…,09:27,…,09:31,…,,…,,…
Bhandup,08:48,08:52,08:56,…,09:00,09:04,,09:08,09:00,09:11,,…,…,09:14,,,09:19,09:30,…,09:34,…,,09:29,,09:33
Nahur,08:51,08:55,08:59,…,09:03,09:07,,09:11,…,09:14,,…,…,09:17,,,…,09:33,…,09:37,…,,…,,…
Mulund,08:54,08:58,09:02,…,09:06,09:10,,09:14,…,09:17,,09:11,09:14,09:20,,,…,09:36,09:27,09:40,09:30,,…,,…
Thane,08:59,09:04,09:07,08:56,09:12,09:15,09:18,09:19,09:06,09:23,,09:15,09:18,09:25,,,09:27,09:42,09:33,09:45,09:34,,09:37,,09:41
Kalva,09:06,,09:14,…,,09:20,09:23,,…,,,…,…,09:30,,,…,,,09:50,…,,…,,…
Mumbra,09:12,,09:20,…,,09:26,09:29,,…,,,…,…,09:36,,,…,,,09:56,…,,…,,…
Diva,09:16,,09:24,09:05,,09:30,09:33,,…,,,…,…,09:40,,,…,,,10:00,…,,…,,…
Kopar,09:21,,09:29,…,,09:35,09:38,,…,,,…,…,09:45,,,…,,,10:05,…,,…,,…
Dombivli,09:24,,09:32,09:09,,09:38,09:41,,09:22,,,09:30,09:33,09:49,,,09:43,,,10:08,09:49,,09:52,,09:56
Thakurli,09:28,,09:36,…,,,09:45,,…,,,…,…,09:53,,,…,,,10:12,…,,…,,…
Kalyan,09:34,,09:42,09:19,,,09:52,,09:30,,,09:38,09:40,10:00,,,09:51,,,,09:56,,09:58,,10:04
Vithalwadi,,,,9:24,,,,,9:34,,,,,,,,9:55,,,,10:01,,,,10:08
Ulhas Nagar,,,,9:27,,,,,9:37,,,,,,,,9:58,,,,10:04,,,,10:11
Ambernath,,,,9:31,,,,,9:42,,,,,,,,10:04,,,,10:08,,,,10:15
Badlapur,,,,9:38,,,,,,,,,,,,,,,,,10:17,,,,10:22
Vangani,,,,9:47,,,,,,,,,,,,,,,,,,,,,10:30
Shelu,,,,9:51,,,,,,,,,,,,,,,,,,,,,10:34
Neral,,,,9:55,,,,,,,,,,,,,,,,,,,,,10:38
Bhivpuri Road,,,,10:02,,,,,,,,,,,,,,,,,,,,,10:45
Karjat,,,,10:12,,,,,,,,,,,,,,,,,,,,10:40,10:54
Palasdhari,,,,,,,,,,,,,,,,,,,,,,,,10:45,
Kelavli,,,,,,,,,,,,,,,,,,,,,,,,10:52,
Dolavli,,,,,,,,,,,,,,,,,,,,,,,,10:55,
Lowjee,,,,,,,,,,,,,,,,,,,,,,,,10:59,
Khopoli,,,,,,,,,,,,,,,,,,,,,,,,11:05,
Shahad,,,,,,,9:56,,,,,9:43,,,,,,,,,,,,,
Ambivli,,,,,,,9:59,,,,,9:46,,,,,,,,,,,,,
Titwala,,,,,,,10:07,,,,,9:52,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,9:59,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,10:06,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,10:12,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,10:21,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,10:26,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,10:31,,,,,,,,,,,,,
Umbermalli,,,,,,,,,,,,10:37,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,10:48,,,,,,,,,,,,,
