Umbermali,,,,
Khardi,,,,
Thansit,,,,
Atgaon,,,,
Asangaon,,,,15:43
Vasind,,,,15:51
Khadavli,,,,15:58
Titwala,15:35,15:58,,16:05
Ambivli,15:41,16:04,,16:11
Shahad,15:45,16:07,,16:14
Khopoli,,,14:55,
