,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98329,98831,98095,98523,98733,98331,98097,98525,98907,98099,98333,98833,99023,98101,98735,98103,98105,98835,98107,98109
,BR 21,B 31,PL 79,V 21,GN 33,BRVD 9,PL 81,V 23,PLGN 7,PL 83,BR 23,B 33,TPL 23,PL 85,GN 35,PL 87,PL 89,B 35,PLVD 17,PL 91
,,,,X,,,,,,,,,,,,,X,,X,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,10:56,11:00,11:04,11:08,11:12,,11:16,11:20,,11:26,11:32,11:36,TNA,11:40,11:48,11:52,11:56,12:00,,12:08
Masjid,10:59,11:03,11:07,11:11,11:15,,11:19,11:23,,11:29,11:35,11:39,12:00,11:43,11:51,11:55,11:59,12:03,,12:11
Sandhurst Road,11:02,11:06,11:10,11:14,11:18,,11:22,11:26,,11:32,11:38,11:42,,11:46,11:54,11:58,12:02,12:06,,12:14
Dockyard Road,11:04,11:08,11:12,11:16,11:20,,11:24,11:28,,11:34,11:40,11:44,,11:48,11:56,12:00,12:04,12:08,,12:16
Reay Road,11:06,11:10,11:14,11:18,11:22,,11:26,11:30,,11:36,11:42,11:46,,11:50,11:58,12:02,12:06,12:10,,12:18
Cotton Green,11:08,11:12,11:16,11:20,11:24,,11:28,11:32,,11:38,11:44,11:48,,11:52,12:00,12:04,12:08,12:12,,12:20
Sewri,11:11,11:15,11:19,11:23,11:27,,11:31,11:35,,11:41,11:47,11:51,,11:55,12:03,12:07,12:11,12:15,,12:23
Vadala Road,11:14,11:18,11:22,11:26,11:30,11:30,11:34,11:38,11:42,11:45,11:50,11:54,,11:58,12:06,12:10,12:14,12:18,12:18,12:26
King's Circle,,11:22,,,11:34,,,,11:47,,,11:59,,,12:10,,,12:22,,
Mahim Jn,,11:25,,,11:37,,,,11:50,,,12:02,,,12:13,,,12:24,,
Bandra,,11:29,,,11:41,,,,11:54,,,12:06,,,12:17,,,12:28,,
Khar Road,,,,,11:45,,,,11:58,,,,,,12:21,,,,,
Santacruz,,,,,11:48,,,,12:01,,,,,,12:24,,,,,
Vileparle,,,,,11:51,,,,12:04,,,,,,12:27,,,,,
Andheri,,,,,11:55,,,,12:08,,,,,,12:31,,,,,
Jogeshwari,,,,,11:59,,,,12:12,,,,,,12:35,,,,,
Ramnagar,,,,,12:02,,,,12:15,,,,,,12:38,,,,,
Goregaon,,,,,12:06,,,,12:19,,,,,,12:42,,,,,
GTB Nagar,11:19,,11:27,11:31,,11:35,11:39,11:43,,11:51,11:55,,,12:03,,12:15,12:19,,12:23,12:31
