,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98301,98001,98801,98003,98303,98803,98005,98701,98007,99003,98009,98011,98703,98013,98705,98015,98017,98707,98019,98805
,BR 1,PL 1,B 1,PL 3,BRVD 1,B 3,PL 5,GN 1,PL 7,TPL 3,PLVD 1,PL 9,GN 3,PL 11,GN 5,PL 13,PL 15,GN 7,PL 17,B 5
,,,,,,,,,,,X,,X,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,00:05,00:13,00:17,00:24,,00:36,00:40,04:28,04:32,TNA,,04:52,04:56,05:06,05:10,05:18,05:22,05:26,05:30,05:33
Masjid,00:08,00:16,00:20,00:27,,00:39,00:43,04:31,04:35,05:12,,04:55,04:59,05:09,05:13,05:21,05:25,05:29,05:33,05:36
Sandhurst Road,00:11,00:19,00:23,00:30,,00:42,00:46,04:34,04:38,,,04:58,05:02,05:12,05:16,05:24,05:28,05:32,05:36,05:39
Dockyard Road,00:13,00:21,00:25,00:32,,00:44,00:48,04:36,04:40,,,05:00,05:04,05:14,05:18,05:26,05:30,05:34,05:38,05:41
Reay Road,00:15,00:23,00:27,00:34,,00:46,00:50,04:38,04:42,,,05:02,05:06,05:16,05:20,05:28,05:32,05:36,05:40,05:43
Cotton Green,00:17,00:25,00:29,00:36,,00:48,00:52,04:40,04:44,,,05:04,05:08,05:18,05:22,05:30,05:34,05:38,05:42,05:45
Sewri,00:20,00:28,00:32,00:39,,00:51,00:55,04:43,04:47,,,05:07,05:11,05:21,05:25,05:33,05:37,05:41,05:45,05:48
Vadala Road,00:23,00:31,00:35,00:42,00:50,00:54,00:58,04:46,04:50,,05:06,05:10,05:14,05:24,05:28,05:36,05:40,05:44,05:48,05:51
King's Circle,,,00:39,,,00:58,,04:50,,,,,05:18,,05:32,,,05:48,,05:55
Mahim Jn,,,00:41,,,01:00,,04:53,,,,,05:21,,05:35,,,05:51,,05:58
Bandra,,,00:45,,,01:04,,04:57,,,,,05:25,,05:39,,,05:55,,06:02
Khar Road,,,,,,,,05:01,,,,,05:29,,05:43,,,05:59,,
Santacruz,,,,,,,,05:04,,,,,05:32,,05:46,,,06:02,,
Vileparle,,,,,,,,05:07,,,,,05:35,,05:49,,,06:05,,
Andheri,,,,,,,,05:11,,,,,05:39,,05:53,,,06:09,,
Jogeshwari,,,,,,,,05:15,,,,,05:43,,05:57,,,06:13,,
Ramnagar,,,,,,,,05:18,,,,,05:46,,06:00,,,06:16,,
Goregaon,,,,,,,,05:22,,,,,05:50,,06:04,,,06:20,,
GTB Nagar,00:28,00:36,,00:47,00:55,,01:03,,04:55,,05:11,05:15,,05:29,,05:41,05:45,,05:53,
