TRAIN,Churchgate,Marine Lines,Charni Road,Grant Road,Mumbai Central,Mahalaxmi,Lower Parel,Elphinstone Road,Dadar,Matunga Road,Mahim Jn,Bandra,Khar Road,Santa Cruz,Vile Parle,Andheri,Jogeshwari,Ram Mandir,Goregaon,Malad,Kandivali,Borivali,Dahisar,Mira Road,Bhayandar,Naigaon,Vasai Road,Nallasopara,Virar
94079,18:22,18:25,18:27,18:30,18:32,,,,18:39,,,18:45,,,,18:54,,,,,,19:08,19:12,19:17,19:22,19:28,19:33,19:39,19:46
94081,18:28,18:31,18:33,18:36,18:38,,,,18:45,,,18:51,,,,19:00,,,,,,19:16,19:21,19:26,19:31,19:36,19:41,19:46,19:56
94131,18:38,18:41,18:43,18:46,18:48,18:51,18:54,18:57,18:59,19:01,19:04,19:08,19:12,19:16,19:20,19:25,19:29,19:32,19:34,19:38,19:41,19:47,19:51,19:56,20:03,,,,
94083,19:00,19:03,19:05,19:08,19:10,,,,19:18,,,19:23,,,,19:31,,,,,,19:43,19:48,19:53,19:58,20:04,20:09,20:14,20:22
94085,,,,,,,,,19:38,,,19:45,,,,19:54,,,,,,20:12,20:16,20:21,20:27,,,,
94087,,,,,,,,,,,,19:52,19:56,19:59,20:02,20:07,20:10,20:13,20:15,20:20,20:23,20:28,20:33,20:38,20:43,,,,
94089,19:43,19:46,19:48,19:51,19:53,,,,20:01,,,20:06,,,,20:15,,,,,,20:32,20:36,20:41,20:46,20:52,20:57,21:02,21:09
94091,19:58,20:01,20:03,20:06,20:08,,,,20:15,,,20:21,,,,20:31,,,,,,20:45,20:49,20:54,20:59,21:05,21:10,21:15,21:21
94121,20:07,20:10,20:12,20:15,20:17,20:20,20:23,20:26,20:28,20:30,20:33,20:37,20:40,20:42,20:45,20:51,20:55,20:58,21:02,,,,,,,,,,
94093,20:27,20:30,20:32,20:35,20:37,,,,20:44,,,20:49,,,,20:58,,,,,,21:14,21:19,21:24,21:29,21:34,21:39,21:45,
94133,,,,,,,,,,,,,,,,21:08,21:12,21:15,21:17,21:21,21:24,21:30,21:35,21:40,21:45,21:51,21:58,,
94095,,,,,,,,,21:19,,,21:26,,,,21:35,,,,,,21:52,21:58,22:03,22:08,22:14,22:20,22:25,22:32
94097,21:23,21:26,21:28,21:31,21:33,21:36,21:39,21:42,21:44,21:46,21:49,21:53,21:56,21:58,22:01,22:07,22:10,22:13,22:15,22:19,22:22,22:28,22:32,22:37,22:43,,,,
94099,21:51,21:54,21:56,21:59,22:01,,,,22:08,,,22:14,,,,22:22,22:25,,22:29,22:34,,,,,,,,,
94101,21:57,22:00,22:02,22:05,22:07,,,,22:14,,,22:20,,,,22:29,,,,,,22:45,22:50,22:55,23:00,23:06,23:11,23:16,23:22
94103,,,,,,,,,,,,,,,,,,,,,,23:19,23:24,23:29,23:34,23:40,23:45,23:50,23:56
94105,,,,,,,,,,,,,,,,23:55,,,,,,00:10,00:13,00:18,00:25,,,,
