,,,,,,,,PANVEL-GOREGAON-MUMBAI CSMT,,,,,,,,,,,
Stations,98530,98038,98324,98722,98040,98042,99020,98532,98820,98044,98604,99022,98904,98046,98822,98048,98724,98606,98326
,V 24,PL 32,BR 22,GN 22,PLVD 8,PL 34,TPL 20,V 26,B 20,PL 36,M 4,TPL 22,GNPL 4,PL 38,B 22,PL 40,GN 24,CM 2,BR 24
,,,,,,$,,,,,,,,L/SPL,,,,,
,,,,,,X,,,,,X,,,X,,,,,X
Panvel,,07:47,,,07:55,07:59,08:04,,,08:09,,08:15,,08:19,,08:26,,,
Khandeshwar,,07:52,,,08:00,08:04,08:09,,,08:14,,08:20,,08:24,,08:31,,,
Mansarovar,,07:55,,,08:03,08:07,08:12,,,08:17,,08:23,,08:27,,08:34,,,
Kharghar,,07:58,,,08:06,08:10,08:15,,,08:20,,08:26,,08:30,,08:37,,,
Belapur CBD,,08:02,08:06,,08:10,08:14,08:19,,,08:24,,08:30,,08:34,,08:41,,,08:49
Seawood Darave,,08:06,08:10,,08:14,08:18,08:23,,,08:28,,08:34,,08:38,,08:45,,,08:53
Nerul,,08:09,08:13,,08:17,08:21,08:27,,,08:31,,08:38,,08:41,,08:48,,,08:56
Juinagar,,08:12,08:16,,08:20,08:24,,,,08:34,,,,08:44,,08:51,,,08:59
Sanpada,,08:15,08:19,,08:23,08:27,,,,08:37,,,,08:47,,08:54,,,09:02
Vashi,08:13,08:17,08:21,,08:25,08:29,,08:33,,08:39,,,,08:49,,08:56,,,09:04
Mankhurd,08:21,08:25,08:29,,08:33,08:37,,08:41,,08:48,08:53,,,08:57,,09:04,,,09:13
Govandi,08:24,08:28,08:32,,08:36,08:40,,08:44,,08:51,08:56,,,09:00,,09:07,,,09:16
Chembur,08:26,08:30,08:34,,08:38,08:42,,08:46,,08:53,08:58,,,09:02,,09:09,,09:14,09:18
Tilaknagar,08:29,08:33,08:37,,08:41,08:45,,08:49,,08:56,09:01,,,09:05,,09:12,,09:18,09:22
Kurla,08:32,08:36,08:40,,08:44,08:48,,08:52,,08:59,09:04,,,09:08,,09:15,,09:21,09:25
Chunabhatti,08:35,08:39,08:43,,08:47,08:51,,08:55,,09:02,09:07,,,09:11,,09:18,,09:24,09:28
GTB Nagar,08:38,08:42,08:46,,08:50,08:54,,08:58,,09:05,09:10,,,09:14,,09:21,,09:27,09:31
Goregaon,,,,08:17,,,,,,,,,08:39,,,,08:51,,
