,,,,,,,,MUMBAI  CSMT-GOREGAON- PANVEL,,,,,,,,,,,,
Stations,98904,98723,98069,98509,99015,98823,98071,98511,98725,98319,98073,98513,99017,98321,98075,98825,98077,98515,98079,98727
,GNPL 4,GN 23,PL 57,V 7,TPL 15,B 23,PL 59,V 9,GN 25,BRVD 5,PL 61,V 11,TPL 17,BR 15,PLVD 13,B 25,PL 63,V 13,PL 65,GN 27
,,,,,$,,,X,,,,X,,X,X,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mumbai CSMT,,09:02,09:06,09:10,TNA,09:14,09:18,09:22,09:26,,09:30,09:34,TNA,09:38,,09:42,09:45,09:48,09:52,09:55
Masjid,,09:05,09:09,09:13,09:39,09:17,09:21,09:25,09:29,,09:33,09:37,10:01,09:41,,09:45,09:48,09:51,09:55,09:58
Sandhurst Road,,09:08,09:12,09:16,,09:20,09:24,09:28,09:32,,09:36,09:40,,09:44,,09:48,09:51,09:54,09:58,10:01
Dockyard Road,,09:10,09:14,09:18,,09:22,09:26,09:30,09:34,,09:38,09:42,,09:46,,09:50,09:53,09:56,10:00,10:03
Reay Road,,09:12,09:16,09:20,,09:24,09:28,09:32,09:36,,09:40,09:44,,09:48,,09:52,09:55,09:58,10:02,10:05
Cotton Green,,09:14,09:18,09:22,,09:26,09:30,09:34,09:38,,09:42,09:46,,09:50,,09:54,09:57,10:00,10:04,10:07
Sewri,,09:17,09:21,09:25,,09:29,09:33,09:37,09:41,,09:45,09:49,,09:53,,09:57,10:00,10:03,10:07,10:10
Vadala Road,09:20,09:20,09:24,09:28,,09:32,09:36,09:40,09:44,09:45,09:48,09:52,,09:56,09:59,10:00,10:03,10:06,10:10,10:14
King's Circle,,09:24,,,,09:36,,,09:48,,,,,,,10:04,,,,10:18
Mahim Jn,,09:27,,,,09:39,,,09:51,,,,,,,10:07,,,,10:21
Bandra,,09:31,,,,09:43,,,09:55,,,,,,,10:11,,,,10:25
Khar Road,,09:35,,,,,,,09:59,,,,,,,,,,,10:29
Santacruz,,09:38,,,,,,,10:02,,,,,,,,,,,10:32
Vileparle,,09:41,,,,,,,10:05,,,,,,,,,,,10:35
Andheri,,09:45,,,,,,,10:09,,,,,,,,,,,10:39
Jogeshwari,,09:49,,,,,,,10:13,,,,,,,,,,,10:43
Ramnagar,,09:52,,,,,,,10:16,,,,,,,,,,,10:46
Goregaon,,09:56,,,,,,,10:22,,,,,,,,,,,10:50
GTB Nagar,09:25,,09:29,09:33,,,09:41,09:45,,09:49,09:53,09:57,,10:01,10:05,,10:09,10:12,10:15,
