,,,,,,,,,,,CSMT- KALYAN - KHOPOLI- KASARA,,,,,,,,,,,,,,,
STATION,97233,95721,95611,97107,97235,97373,96517,95125,97109,95233,96637,97237,97375,96323,97113,97239,95319,97115,97377,95723,96325,95509,97379,96639,95127,97117
,DL 23,K 79,DTL 1,K 81,DL 25,T 75,AN 17,S 29,PK 21,BL 33,TL 37,DL 27,PT 5,TA 1,K 83,DL 29,A 35,K 85,T 77,K 87,A 37,AN 19,T 79,TL 39,S 31,CK 19
,,15 C,AC,,AC,,,,,,,,,,,AC,,,,AC,,,,,,
,,X,,,X,,,,,,,,X,,,X,,,X,X,,,,,,
Ambernath,,,,,,,,16:54,,16:58,,,,17:37,,,17:24,,,,17:54,,,,17:45,
Badlapur,,,,,,,,17:03,,17:08,,,,,,,,,,,,,,,17:52,
Vangani,,,,,,,,17:12,,,,,,,,,,,,,,,,,18:00,
Shelu,,,,,,,,17:16,,,,,,,,,,,,,,,,,18:04,
Neral,,,,,,,,17:20,,,,,,,,,,,,,,,,,18:08,
Bhivpuri Road,,,,,,,,17:27,,,,,,,,,,,,,,,,,18:15,
Karjat,,,,,,,,17:37,,,,,,,,,,,,,,,,,18:24,
Palasdhari,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,,,,,,,,,,,,
Shahad,,,16:28,,,,17:06,,,,17:14,,,,,,,,,,,17:34,,17:55,,
Ambivli,,,16:31,,,,17:09,,,,17:17,,,,,,,,,,,17:37,,17:58,,
Titwala,,,16:39,,,,17:15,,,,17:25,,,,,,,,,,,17:43,,18:06,,
Khadavli,,,,,,,17:22,,,,,,,,,,,,,,,17:50,,,,
Vasind,,,,,,,17:29,,,,,,,,,,,,,,,17:57,,,,
Asangaon,,,,,,,17:37,,,,,,,,,,,,,,,18:06,,,,
Atgaon,,,,,,,,,,,,,,,,,,,,,,,,,,
Thansit,,,,,,,,,,,,,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbermalli,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasara,,,,,,,,,,,,,,,,,,,,,,,,,,
