station,94002,94004,94110,94006,94122,94008,94010,94012,94112,94014,94016,94124,94018
Vile Parle,,,,,,,14:18,,,,,,
Santa Cruz,,,,,,,14:21,,,,,,
Khar Road,,,,,,,14:24,,,,,,
BANDRA,12:03,12:32,13:18,13:22,13:33,14:19,14:28,14:28,15:00,15:04,,16:11,16:23
Mahim Jn.,,,,,,,14:31,,,,,,
Matunga Road,,,,,,,14:34,,,,,,
DADAR,12:09,12:37,13:23,13:28,13:39,14:25,14:38,14:34,15:06,15:10,,16:17,16:29
Prabhadevi,,,,,,,14:40,,,,,,
Lower Parel,,,,,,,14:43,,,,,,
Mahalakshmi,,,,,,,14:46,,,,,,
M'BAI CENTRAL(L),12:16,12:44,13:30,13:35,13:46,14:32,14:49,14:41,15:13,15:17,,16:24,16:36
Grant Road,12:18,12:46,13:32,13:37,13:48,14:34,14:51,14:43,15:15,15:19,,16:26,16:38
Charni Road,12:20,12:48,13:34,13:39,13:50,14:36,14:53,14:45,15:17,15:21,,16:28,16:40
Marine Lines,12:23,12:51,13:37,13:42,13:53,14:39,14:56,14:48,15:20,15:24,,16:31,16:43
CHURCHGATE,12:27,12:57,13:41,13:48,14:00,14:44,15:00,14:53,15:23,15:28,,16:35,16:47
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
UP AC TRAINS,,,,,,,,,,,,,
VIRAR,,15:45,16:20,,16:32,16:48,,,17:00,,,18:20,18:33
Nallasopara,,15:51,16:26,,16:39,16:54,,,17:06,,,18:26,18:40
VASAI ROAD,,15:56,16:31,,16:44,16:59,,,17:11,,,18:31,18:45
Naigaon,,16:02,16:35,,16:50,17:05,,,17:16,,,18:36,18:50
BHAYANDAR,,16:08,16:41,16:45,16:55,17:11,,,17:22,,,18:42,18:56
Mira Road,,16:14,16:46,16:51,17:00,17:16,,,17:27,,,18:47,19:01
Dahisar,,16:18,16:50,16:55,17:04,17:20,,,17:31,,,18:52,19:05
BORIVALI,16:18,16:24,16:55,17:00,17:10,17:26,17:27,17:28,17:36,18:08,18:52,18:58,19:10
Kandivali,16:25,,,,,,17:34,,,,,,
Malad,16:28,,,,,,17:37,,,,,,
Goregaon,16:31,,,,,,17:40,,,,,,
Ram Mandir,,,,,,,17:42,,,,,,
Jogeshwari,16:36,,,,,,17:45,,,,,,
ANDHERI,16:40,16:38,17:08,17:15,17:25,,17:50,17:44,17:51,18:23,19:06,19:14,19:24
Vile Parle,,,,,,,17:54,,,,,,
Santa Cruz,,,,,,,17:57,,,,,,
Khar Road,,,,,,,18:00,,,,,,
BANDRA,16:51,16:48,17:17,,17:35,,18:04,17:54,18:00,18:32,19:15,19:24,19:34
Mahim Jn.,,,,,,,18:07,,,,,,
Matunga Road,,,,,,,18:10,,,,,,
DADAR,16:57,16:54,17:23,,17:41,,18:14,18:00,18:06,18:37,19:21,19:31,19:40
Prabhadevi,,,,,,,18:16,,,,,,
Lower Parel,,,,,,,18:19,,,,,,
Mahalakshmi,,,,,,,18:22,,,,,,
M'BAI CENTRAL(L),17:04,17:01,17:30,,17:50,,18:25,18:07,18:13,18:44,19:28,,19:47
Grant Road,,,,,,,18:27,,,,,,
Charni Road,,,,,,,18:29,,,,,,
Marine Lines,,,,,,,18:32,,,,,,
CHURCHGATE,17:12,17:09,17:39,,17:58,,18:35,18:17,18:25,18:52,19:36,,19:55
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
UP AC TRAINS,,,,,,,,,,,,,
VIRAR,,18:30,,19:51,,20:07,,20:29,,21:16,21:28,,
Nallasopara,,18:37,,19:57,,20:14,,20:36,,21:22,21:34,,
VASAI ROAD,,18:42,,20:02,,20:19,,20:41,,21:27,21:39,22:20,
Naigaon,,18:47,,20:06,,20:23,,20:46,,21:31,21:44,22:25,
BHAYANDAR,,18:53,19:23,20:12,20:20,20:29,20:36,20:52,21:15,21:37,21:50,22:31,22:56
Mira Road,,18:58,19:29,20:17,20:27,20:34,20:42,20:57,21:21,21:43,21:55,22:36,23:02
Dahisar,,19:03,19:34,20:21,20:32,20:39,20:46,21:01,21:25,21:48,21:59,22:40,23:06
BORIVALI,,19:08,19:38,20:26,20:37,20:45,20:50,21:06,21:31,21:53,22:04,22:46,23:11
Kandivali,,19:13,,,20:42,,,,,,,,
Malad,,19:16,,,20:46,,,,,,,,
Goregaon,19:06,19:19,,,20:49,,,,,,,,
Ram Mandir,19:09,19:21,,,20:51,,,,,,,,
Jogeshwari,19:12,19:24,,,20:54,,,,,,,,
ANDHERI,19:16,19:29,19:53,20:41,20:59,20:58,21:03,21:20,21:46,22:06,22:20,,
Vile Parle,19:20,19:33,,,,,,,,,,,
Santa Cruz,19:23,19:36,,,,,,,,,,,
Khar Road,19:26,19:39,,,,,,,,,,,
BANDRA,19:30,19:44,20:01,20:51,,21:06,21:12,21:30,21:56,22:14,22:29,,
Mahim Jn.,19:33,,,,,,,,,,,,
Matunga Road,19:36,,,,,,,,,,,,
DADAR,19:40,,20:06,20:57,,21:14,21:18,21:36,22:02,22:19,22:35,,
Prabhadevi,19:42,,,,,,,,,,,,
Lower Parel,19:45,,,,,,,,,,,,
Mahalakshmi,19:48,,,,,,,,,,,,
M'BAI CENTRAL(L),19:51,,20:14,21:04,,,21:25,21:43,22:09,22:26,22:42,,
Grant Road,19:53,,,21:06,,,21:27,21:45,22:11,22:28,22:44,,
Charni Road,19:55,,,21:08,,,21:29,21:47,22:13,22:30,22:46,,
Marine Lines,19:58,,,21:11,,,21:32,21:50,22:16,22:33,22:49,,
CHURCHGATE,20:01,,20:23,21:19,,,21:36,21:53,22:21,22:38,22:52,,
W.E.F. 19.02.2026,,,,,,,,,,,,,
STATIONS,,,,,,,,,,,,,
UP AC TRAINS,,,,,,,,,,,,,
VIRAR,22:44,,,,,,,,,,,,
Nallasopara,22:51,,,,,,,,,,,,
VASAI ROAD,22:56,,,,,,,,,,,,
Naigaon,23:00,,,,,,,,,,,,
BHAYANDAR,23:06,,,,,,,,,,,,
Mira Road,23:11,,,,,,,,,,,,
Dahisar,23:15,,,,,,,,,,,,
BORIVALI,23:21,,,,,,,,,,,,
Kandivali,,,,,,,,,,,,,
Malad,,,,,,,,,,,,,
Goregaon,,,,,,,,,,,,,
Ram Mandir,,,,,,,,,,,,,
Jogeshwari,,,,,,,,,,,,,
ANDHERI,23:37,,,,,,,,,,,,
Vile Parle,,,,,,,,,,,,,
Santa Cruz,,,,,,,,,,,,,
Khar Road,,,,,,,,,,,,,
BANDRA,,,,,,,,,,,,,
Mahim Jn.,,,,,,,,,,,,,
Matunga Road,,,,,,,,,,,,,
DADAR,,,,,,,,,,,,,
Prabhadevi,,,,,,,,,,,,,
Lower Parel,,,,,,,,,,,,,
Mahalakshmi,,,,,,,,,,,,,
M'BAI CENTRAL(L),,,,,,,,,,,,,
Grant Road,,,,,,,,,,,,,
Charni Road,,,,,,,,,,,,,
Marine Lines,,,,,,,,,,,,,
CHURCHGATE,,,,,,,,,,,,,
