route_id,service_id,trip_id,direction_id
CL,DAILY,CR_DN_95713_1,0
CL,DAILY,CR_DN_97053_1,0
CL,DAILY,CR_DN_95215_1,0
CL,DAILY,CR_DN_97339_1,0
CL,DAILY,CR_DN_95309_1,0
CL,DAILY,CR_DN_97055_1,0
CL,DAILY,CR_DN_95407_1,0
CL,DAILY,CR_DN_97341_1,0
CL,DAILY,CR_DN_95217_1,0
CL,DAILY,CR_DN_97217_1,0
CL,DAILY,CR_DN_95311_1,0
CL,DAILY,CR_DN_97057_1,0
CL,DAILY,CR_DN_95715_1,0
CL,DAILY,CR_DN_97343_1,0
CL,DAILY,CR_DN_97617_1,0
CL,DAILY,CR_DN_97219_1,0
CL,DAILY,CR_DN_95115_1,0
CL,DAILY,CR_DN_97345_1,0
CL,DAILY,CR_DN_95219_1,0
CL,DAILY,CR_DN_97619_1,0
CL,DAILY,CR_DN_97059_1,0
CL,DAILY,CR_DN_95607_1,0
CL,DAILY,CR_DN_97347_1,0
CL,DAILY,CR_DN_95313_1,0
CL,DAILY,CR_DN_95221_1,0
CL,DAILY,CR_DN_96513_1,0
CL,DAILY,CR_DN_97061_1,0
CL,DAILY,CR_DN_97349_1,0
CL,DAILY,CR_DN_95609_1,0
CL,DAILY,CR_DN_97621_1,0
CL,DAILY,CR_DN_96621_1,0
CL,DAILY,CR_DN_97351_1,0
CL,DAILY,CR_DN_97623_1,0
CL,DAILY,CR_DN_95117_1,0
CL,DAILY,CR_DN_96009_1,0
CL,DAILY,CR_DN_96109_1,0
CL,DAILY,CR_DN_97353_1,0
CL,DAILY,CR_DN_95315_1,0
CL,DAILY,CR_DN_97063_1,0
CL,DAILY,CR_DN_96623_1,0
CL,DAILY,CR_DN_97065_1,0
CL,DAILY,CR_DN_97221_1,0
CL,DAILY,CR_DN_97067_1,0
CL,DAILY,CR_DN_95801_1,0
CL,DAILY,CR_DN_97355_1,0
CL,DAILY,CR_DN_96311_1,0
CL,DAILY,CR_DN_95409_1,0
CL,DAILY,CR_DN_97357_1,0
CL,DAILY,CR_DN_95223_1,0
CL,DAILY,CR_DN_97069_1,0
CL,DAILY,CR_DN_96625_1,0
CL,DAILY,CR_DN_96313_1,0
CL,DAILY,CR_DN_97223_1,0
CL,DAILY,CR_DN_97071_1,0
CL,DAILY,CR_DN_95225_1,0
CL,DAILY,CR_DN_96203_1,0
CL,DAILY,CR_DN_97073_1,0
